
[00:00:00.000 --> 00:00:02.000]  (梁俊傑) 各位姐妹早安
[00:00:02.000 --> 00:00:07.000]  我們給掌聲Place Team
[00:00:07.000 --> 00:00:10.000]  不知道大家有沒有留意
[00:00:10.000 --> 00:00:15.000]  這隊Place Team是三寶的
[00:00:15.000 --> 00:00:16.000]  陌生的
[00:00:16.000 --> 00:00:19.000]  大家應該沒有見過他們的配搭
[00:00:19.000 --> 00:00:23.000]  原來這隊Place Team是新成立的Place Team
[00:00:23.000 --> 00:00:26.000]  他們的名字很有意思
[00:00:26.000 --> 00:00:31.000]  他們這隊Place Team的名字叫G Major
[00:00:31.000 --> 00:00:35.000]  知不知道大家為什麼叫G Major
[00:00:35.000 --> 00:00:37.000]  原來這隊名字很有意思
[00:00:37.000 --> 00:00:40.000]  G Major就是音符
[00:00:40.000 --> 00:00:44.000]  我不懂音樂,所以我不知道G Major是什麼
[00:00:44.000 --> 00:00:47.000]  但他們這個名字是有意思的
[00:00:47.000 --> 00:00:49.000]  不知道大家能否猜到
[00:00:49.000 --> 00:00:53.000]  G是God,God is Major
[00:00:53.000 --> 00:00:57.000]  我們真的要給掌聲
[00:00:57.000 --> 00:01:00.000]  他們這隊名字都改得很好
[00:01:00.000 --> 00:01:04.000]  因為神是他們的主要
[00:01:04.000 --> 00:01:09.000]  我們盼望第四子堂的每一個弟兄姐妹
[00:01:09.000 --> 00:01:13.000]  都用這件事成為我們的立志
[00:01:13.000 --> 00:01:15.000]  神是我們的Major
[00:01:15.000 --> 00:01:18.000]  不單是說話,不單是口號
[00:01:18.000 --> 00:01:22.000]  而是我們在生命裏面活現出來
[00:01:22.000 --> 00:01:25.000]  成為一個美好的見證
[00:01:25.000 --> 00:01:27.000]  盼望G Major這隊Place Team
[00:01:27.000 --> 00:01:30.000]  裏面也有我們第四子堂的成員
[00:01:30.000 --> 00:01:33.000]  很感恩,不知道大家認不認得他們
[00:01:33.000 --> 00:01:36.000]  兩位弟兄,在Place Team裏面很重要
[00:01:36.000 --> 00:01:38.000]  Man和Billy,都很感恩
[00:01:38.000 --> 00:01:41.000]  他們在第四子堂開始的時候
[00:01:41.000 --> 00:01:45.000]  加入敬拜隊成為其中一員
[00:01:45.000 --> 00:01:48.000]  我們希望看到繼續有其他弟兄姐妹
[00:01:48.000 --> 00:01:51.000]  加入在第四子堂服侍的團隊裏面
[00:01:51.000 --> 00:01:55.000]  今天我們會繼續分享
[00:01:55.000 --> 00:01:57.000]  關於在文素記裏面的訊息
[00:01:57.000 --> 00:02:00.000]  我們進入經文之前
[00:02:00.000 --> 00:02:03.000]  我們都要一起禱告,一起祈禱
[00:02:03.000 --> 00:02:06.000]  天父,我們將我們一起去到
[00:02:06.000 --> 00:02:09.000]  領受祢說話的時間,恭敬的交給祢
[00:02:09.000 --> 00:02:13.000]  我們真的希望祢的說話
[00:02:13.000 --> 00:02:16.000]  真的成為我們腳前的燈,路上的光
[00:02:16.000 --> 00:02:19.000]  亦都好像我們剛才唱的詩歌
[00:02:19.000 --> 00:02:22.000]  我們能夠晝夜的思想
[00:02:22.000 --> 00:02:26.000]  讓神祢的說話深刻在我們的生命裏面
[00:02:26.000 --> 00:02:30.000]  亦都能夠讓我們不單止被祢的說話提醒
[00:02:30.000 --> 00:02:32.000]  亦都被祢的說話鼓勵
[00:02:32.000 --> 00:02:34.000]  以致在我們的生命裏面
[00:02:34.000 --> 00:02:40.000]  我們能夠繼續去經歷上帝的恩典和祢的慈愛
[00:02:40.000 --> 00:02:42.000]  讓我們的生命能夠流露
[00:02:42.000 --> 00:02:45.000]  一個合乎祢心意的品格
[00:02:45.000 --> 00:02:48.000]  在這個地上繼續去行善
[00:02:48.000 --> 00:02:51.000]  繼續去成為祢自己的見證
[00:02:51.000 --> 00:02:53.000]  我們感謝祢,聽我們的祈禱
[00:02:53.000 --> 00:02:56.000]  奉靠耶穌基督,得聖名字,祈求,阿們
[00:02:56.000 --> 00:02:59.000]  最近大家留意新聞
[00:02:59.000 --> 00:03:04.000]  我想大家比較留意的是緬甸的地震
[00:03:04.000 --> 00:03:09.000]  我們都知道是一個很嚴重的天災
[00:03:09.000 --> 00:03:12.000]  大家都在禱告裏面繼續去紀念
[00:03:12.000 --> 00:03:15.000]  另一個新聞,我想大家比較留意的就是
[00:03:15.000 --> 00:03:19.000]  最近的貿易戰
[00:03:19.000 --> 00:03:24.000]  剛剛美國總統說在不同的國家裏面
[00:03:24.000 --> 00:03:26.000]  去實施不同的對應的關稅
[00:03:26.000 --> 00:03:31.000]  去實施一些關稅
[00:03:31.000 --> 00:03:34.000]  在不同的國家裏面
[00:03:34.000 --> 00:03:39.000]  似乎貿易戰已經在爆發中
[00:03:39.000 --> 00:03:44.000]  究竟這個貿易戰會帶來一個世界什麼的影響呢
[00:03:44.000 --> 00:03:46.000]  我們都不知道
[00:03:46.000 --> 00:03:49.000]  但我想我們的經濟一定會受影響
[00:03:49.000 --> 00:03:54.000]  我們看到今天我們的地上真的不是很平安
[00:03:54.000 --> 00:03:58.000]  不單止剛剛說的這些沒有戰火的貿易戰
[00:03:58.000 --> 00:04:00.000]  其實有戰火的戰爭
[00:04:00.000 --> 00:04:04.000]  其實都在這個世界裏面不斷地出現
[00:04:04.000 --> 00:04:08.000]  大家知道歐洲的烏克蘭
[00:04:08.000 --> 00:04:10.000]  俄羅斯的戰爭
[00:04:10.000 --> 00:04:13.000]  中東的以色列,巴勒斯坦
[00:04:13.000 --> 00:04:15.000]  非洲一些的國家
[00:04:15.000 --> 00:04:18.000]  其實都有很多的戰火在裏面
[00:04:18.000 --> 00:04:24.000]  就好像美國已故的一個作家
[00:04:24.000 --> 00:04:28.000]  叫做蘇珊·桑塔格
[00:04:28.000 --> 00:04:31.000]  她說的話我覺得都很真實
[00:04:31.000 --> 00:04:33.000]  她說戰爭總是常態
[00:04:33.000 --> 00:04:36.000]  和平才是例外
[00:04:36.000 --> 00:04:38.000]  其實你想清楚一點是真的
[00:04:38.000 --> 00:04:40.000]  其實我們是很感恩
[00:04:40.000 --> 00:04:45.000]  我們是活在一段相對和平的時間
[00:04:45.000 --> 00:04:49.000]  和活在一個相對和平的地方裏面
[00:04:49.000 --> 00:04:51.000]  但你想想其實在這麼多年
[00:04:51.000 --> 00:04:54.000]  或者在我們的上一代或再上一代
[00:04:54.000 --> 00:04:58.000]  其實他們都是在經歷戰爭的影響
[00:04:58.000 --> 00:05:01.000]  所以其實這個人說的話是真的
[00:05:01.000 --> 00:05:05.000]  戰爭在世界裏面是常態
[00:05:05.000 --> 00:05:09.000]  其實和平是一個很例外的一種情況
[00:05:09.000 --> 00:05:13.000]  所以我們為何經常都求
[00:05:13.000 --> 00:05:16.000]  希望未來都是世界和平
[00:05:16.000 --> 00:05:18.000]  這個真是一個願望
[00:05:18.000 --> 00:05:22.000]  因為這個願望究竟何時真的能夠發生
[00:05:22.000 --> 00:05:25.000]  真是能夠世界和平我們都不知道
[00:05:25.000 --> 00:05:29.000]  但這個真是我們心裏面的一個願望
[00:05:29.000 --> 00:05:33.000]  今日我們看的經文是文數記的31章
[00:05:33.000 --> 00:05:36.000]  其實都是一場戰爭
[00:05:36.000 --> 00:05:40.000]  但這場戰爭是一個很特別的戰爭
[00:05:40.000 --> 00:05:44.000]  這場戰爭是以色列人進入迦南地之前
[00:05:44.000 --> 00:05:46.000]  第一場的戰爭
[00:05:46.000 --> 00:05:52.000]  所以我們說這場戰爭是有一個示範的作用
[00:05:52.000 --> 00:05:56.000]  即是這場戰爭預告了
[00:05:56.000 --> 00:05:59.000]  這班以色列人進入迦南地之後
[00:05:59.000 --> 00:06:04.000]  其實他們都會不停地面對不同的戰爭
[00:06:04.000 --> 00:06:08.000]  究竟他們應該怎樣去打這些戰爭呢?
[00:06:08.000 --> 00:06:13.000]  在第31章裏面我們就嘗試了解一下
[00:06:13.000 --> 00:06:15.000]  我們看第一個段落
[00:06:15.000 --> 00:06:19.000]  就是第31章的第一節到第12節
[00:06:19.000 --> 00:06:22.000]  我給的題目是一個復仇的戰爭
[00:06:22.000 --> 00:06:23.000]  復仇之戰
[00:06:23.000 --> 00:06:26.000]  我們一起去讀這12節的經文
[00:06:26.000 --> 00:06:28.000]  準備,1,2,3
[00:06:28.000 --> 00:06:31.000]  「耶和華吩咐摩西說:
[00:06:31.000 --> 00:06:35.000]  你要為以色列人向米顛人報仇
[00:06:35.000 --> 00:06:38.000]  然後歸到你列祖先那裏
[00:06:38.000 --> 00:06:40.000]  摩西吩咐白成說:
[00:06:40.000 --> 00:06:45.000]  要在你們中間叫人帶兵器去攻擊米顛
[00:06:45.000 --> 00:06:48.000]  為耶和華向米顛報仇
[00:06:48.000 --> 00:06:51.000]  從以色列眾支派中
[00:06:51.000 --> 00:06:54.000]  每支派要派一千人去打仗
[00:06:54.000 --> 00:06:57.000]  於是從以色列千萬人中
[00:06:57.000 --> 00:07:00.000]  每支派徵召一千人
[00:07:00.000 --> 00:07:02.000]  一共一萬二千名
[00:07:02.000 --> 00:07:05.000]  帶著兵器預備打仗
[00:07:05.000 --> 00:07:08.000]  摩西派他們去打仗
[00:07:08.000 --> 00:07:10.000]  每支派一千人
[00:07:10.000 --> 00:07:13.000]  又派以利亞薩祭司的兒子
[00:07:13.000 --> 00:07:15.000]  菲利哈同去
[00:07:15.000 --> 00:07:20.000]  菲利哈手裏拿著聖鎖的器皿和吹號的號筒
[00:07:20.000 --> 00:07:24.000]  他們遵照耶和華所吩咐摩西的
[00:07:24.000 --> 00:07:26.000]  與米顛打仗
[00:07:26.000 --> 00:07:28.000]  殺了所有的藍丁
[00:07:28.000 --> 00:07:30.000]  在所殺的人中
[00:07:30.000 --> 00:07:32.000]  他們殺了米顛的王
[00:07:32.000 --> 00:07:36.000]  就是以美、利金、蘇爾、
[00:07:36.000 --> 00:07:39.000]  胡爾、利巴五個米顛的王
[00:07:39.000 --> 00:07:43.000]  又用刀殺了比爾的兒子巴蘭
[00:07:43.000 --> 00:07:47.000]  以色列人擄了米顛的婦女和孩童
[00:07:47.000 --> 00:07:50.000]  搶奪他們一切的生畜
[00:07:50.000 --> 00:07:53.000]  牛羊和所有的財物
[00:07:53.000 --> 00:07:57.000]  又用火焚燒了他們所住的一切城鎮
[00:07:57.000 --> 00:08:00.000]  和所有的營寨
[00:08:00.000 --> 00:08:03.000]  以色列人把一切老物和略物
[00:08:03.000 --> 00:08:06.000]  連人和生畜都帶走
