
[00:00:00.000 --> 00:00:09.760]  好,敬拜隊帶領我們敬拜,其實數算上帝的恩典是我們生命中一件很重要的事
[00:00:09.760 --> 00:00:17.040]  可能我們很忙,這陣子也很忙,DSE也在考,應該考到尾
[00:00:17.040 --> 00:00:22.080]  可能大專的你們也在考試,也在預備Final
[00:00:22.080 --> 00:00:29.440]  所以我們也在提醒自己,上帝和我們同在,祂的作為從來沒有改變,其實是很重要的一件事
[00:00:29.440 --> 00:00:36.880]  我們開始的時候,分享訊息的時候,我很想先講個故事給大家聽
[00:00:36.880 --> 00:00:40.960]  這個故事是之前發生,在美國的時候
[00:00:40.960 --> 00:00:47.120]  那時候我在一間華人教會,一直去服侍那些
[00:00:47.120 --> 00:00:51.600]  我有個朋友在那裡做兒童看顧的工作
[00:00:51.600 --> 00:01:02.560]  可能大家都知道,父母上崇拜,子女就放下,就有兒童看顧,就是一些義工的弟兄姐妹會去照顧
[00:01:02.560 --> 00:01:10.800]  那時候就一直看著小朋友,又滾又玩,飛來飛去,照顧小朋友
[00:01:10.800 --> 00:01:18.640]  突然有個小朋友走過去搞電掣,不知道你看到小朋友搞電掣會怎樣
[00:01:18.640 --> 00:01:24.400]  我朋友就很緊張,看到馬上就嚇著他,不要啊,不要搞電掣
[00:01:24.400 --> 00:01:32.080]  一嚇完之後就糟糕了,那個小朋友就在那裡哭,哭到停不了
[00:01:32.080 --> 00:01:39.120]  然後電光火石之間,他媽媽又突然出現了,然後就問為什麼他哭了
[00:01:39.120 --> 00:01:43.760]  很簡單解釋,搞電掣,我嚇著他就完了
[00:01:43.760 --> 00:01:52.240]  誰知道他媽媽就出來繼續罵我朋友,就說為什麼你罵到他哭,搞電掣又怎樣,你為什麼可以罵到他哭
[00:01:52.240 --> 00:01:57.680]  然後我朋友馬上呆了,之後還要投訴他
[00:01:57.680 --> 00:02:08.560]  真的很淒慘的一件事,我覺得很複雜的時候,父母這件事太過保護,整件事變得完全扭曲了
[00:02:08.560 --> 00:02:13.520]  搞電掣是一個危險的事,你提醒他是一樣保護他的東西
[00:02:13.520 --> 00:02:22.480]  但到最後他會覺得不應該這樣發生,因為他實在覺得可能我兒女的感受更加重要
[00:02:22.480 --> 00:02:28.240]  我兒女的這件事更加重要,以致覺得放下這些東西
[00:02:28.240 --> 00:02:35.920]  這個故事裏面,我看到他都說,慢慢在想,其實有時候人都會這樣,會不會
[00:02:35.920 --> 00:02:42.640]  有時候有些人去提醒我們一些事情,告訴我們不要這樣做,這樣是錯的,這樣是不對的
[00:02:42.640 --> 00:02:47.200]  這樣是有危險的,但我們心裏面有時候都會不想去聽
[00:02:47.200 --> 00:02:53.360]  我們心裏面可能都會很想去反抗,逃避,逃避被人罵的過程
