
[00:00:00.000 --> 00:00:02.000]  讓我們也預備好自己
[00:00:02.000 --> 00:00:04.000]  來聆聽神的話
[00:00:04.000 --> 00:00:06.000]  我們一起低頭祈禱
[00:00:06.000 --> 00:00:12.000]  親愛的主,親愛的神
[00:00:12.000 --> 00:00:14.000]  我們感謝祢
[00:00:14.000 --> 00:00:16.000]  感謝祢真的從重架
[00:00:16.000 --> 00:00:18.000]  來救贖我們每一個
[00:00:18.000 --> 00:00:21.000]  祢的愛在十字架上顯明
[00:00:21.000 --> 00:00:24.000]  主在這個紀念祢的日子裡
[00:00:24.000 --> 00:00:26.000]  願意祢也使用孩子
[00:00:26.000 --> 00:00:29.000]  今天能夠清楚宣講祢的話
[00:00:29.000 --> 00:00:33.000]  也讓聽者能夠放下他們的前類
[00:00:33.000 --> 00:00:35.000]  專心在祢的話語裡
[00:00:35.000 --> 00:00:37.000]  被聖靈充滿
[00:00:37.000 --> 00:00:39.000]  讓我們知道
[00:00:39.000 --> 00:00:41.000]  祢來的日子很近
[00:00:41.000 --> 00:00:44.000]  讓我們也勤力地多作主公
[00:00:44.000 --> 00:00:46.000]  將來見祢面的時候
[00:00:46.000 --> 00:00:48.000]  可以被祢稱為又忠心
[00:00:48.000 --> 00:00:50.000]  又良善的管家
[00:00:50.000 --> 00:00:53.000]  求祢使用這段時間
[00:00:53.000 --> 00:00:54.000]  祝福這段時間
[00:00:54.000 --> 00:00:56.000]  我們在祈禱奉主耶穌基督
[00:00:56.000 --> 00:00:58.000]  得聖的名字祈求
[00:00:58.000 --> 00:01:00.000]  阿門
[00:01:00.000 --> 00:01:02.000]  弟兄姊妹
[00:01:02.000 --> 00:01:04.000]  2023年
[00:01:04.000 --> 00:01:05.000]  眨眼間
[00:01:05.000 --> 00:01:07.000]  是不是好像過了一大半
[00:01:07.000 --> 00:01:10.000]  下個星期是什麼節日
[00:01:10.000 --> 00:01:12.000]  中秋節
[00:01:12.000 --> 00:01:16.000]  不知道大家吃了中秋節的飯沒有
[00:01:16.000 --> 00:01:18.000]  或者約了
[00:01:18.000 --> 00:01:20.000]  或者提早吃
[00:01:20.000 --> 00:01:23.000]  中國人對於過時過節
[00:01:23.000 --> 00:01:24.000]  很重視的
[00:01:24.000 --> 00:01:25.000]  就是可以一家人
[00:01:25.000 --> 00:01:28.000]  整整齊齊地坐下來吃一頓飯
[00:01:28.000 --> 00:01:41.000]  在上一年有一套香港電影
[00:01:41.000 --> 00:01:43.000]  以家庭做主題
[00:01:43.000 --> 00:01:46.000]  名字叫做過時過節
[00:01:46.000 --> 00:01:48.000]  不知道有沒有人看過
[00:01:48.000 --> 00:01:50.000]  哇,沒有人看過
[00:01:50.000 --> 00:01:53.000]  可能是比較偏門的人在這裡
[00:01:53.000 --> 00:01:55.000]  沒有人看過
[00:01:55.000 --> 00:01:57.000]  其實這套電影是講
[00:01:57.000 --> 00:01:59.000]  用家庭來做主題
[00:01:59.000 --> 00:02:03.000]  故事是用倒敘法來拍攝
[00:02:03.000 --> 00:02:05.000]  就是講八年前
[00:02:05.000 --> 00:02:07.000]  一餐很混亂
[00:02:07.000 --> 00:02:10.000]  搞到家庭關係都撕裂了的
[00:02:10.000 --> 00:02:12.000]  一個冬至團圓飯
[00:02:12.000 --> 00:02:16.000]  大家看到海報上的人的樣子
[00:02:16.000 --> 00:02:18.000]  都很黑黑的
[00:02:18.000 --> 00:02:20.000]  好像很多心病
[00:02:20.000 --> 00:02:21.000]  大家都
[00:02:21.000 --> 00:02:23.000]  經過了八年的時間
[00:02:23.000 --> 00:02:26.000]  他們再次坐在一起的時候
