
[00:00:00.000 --> 00:00:05.000]  我們在領受神說話之前一起禱告吧
[00:00:05.000 --> 00:00:10.000]  慈悲仁愛的天父
[00:00:10.000 --> 00:00:15.000]  我們認定你的話語是我們生命中的權威
[00:00:15.000 --> 00:00:19.000]  求主今天早上賜給我們有清心
[00:00:19.000 --> 00:00:23.000]  讓我們在真理裏遇見你
[00:00:23.000 --> 00:00:26.000]  求聖靈照亮我們心中的眼睛
[00:00:26.000 --> 00:00:29.000]  讓我們明白你的心意
[00:00:29.000 --> 00:00:33.000]  以上禱告是奉主耶穌基督的聖命而求
[00:00:33.000 --> 00:00:34.000]  阿們
[00:00:34.000 --> 00:00:37.000]  弟兄姊妹
[00:00:37.000 --> 00:00:41.000]  你們有沒有曾經試過一些處境
[00:00:41.000 --> 00:00:44.000]  是當你信服神的吩咐的時候
[00:00:44.000 --> 00:00:48.000]  卻是為你帶來一場人生的風暴呢
[00:00:48.000 --> 00:00:51.000]  你當時的心情是怎樣的呢
[00:00:51.000 --> 00:00:55.000]  而你遇到那些處境
[00:00:55.000 --> 00:01:01.000]  最後你選擇怎樣去回應或解決那個問題呢
[00:01:01.000 --> 00:01:06.000]  回想我信主的第一天
[00:01:06.000 --> 00:01:09.000]  三福隊和我決志信主之後
[00:01:09.000 --> 00:01:10.000]  就告訴我
[00:01:10.000 --> 00:01:13.000]  鼓勵我最少要和一個人分享
[00:01:13.000 --> 00:01:15.000]  你已經信了耶穌
[00:01:15.000 --> 00:01:19.000]  我很開心地回去和媽媽說
[00:01:19.000 --> 00:01:21.000]  自己信了耶穌
[00:01:21.000 --> 00:01:24.000]  但我沒有想過這個聽話的背後
[00:01:24.000 --> 00:01:27.000]  竟然有一場風暴在等著我
[00:01:27.000 --> 00:01:30.000]  我和媽媽分享完之後
[00:01:30.000 --> 00:01:32.000]  她淡淡然地跟我說
[00:01:32.000 --> 00:01:35.000]  要和我脫離母女關係
[00:01:35.000 --> 00:01:38.000]  她說當生育了我這個女兒
[00:01:38.000 --> 00:01:42.000]  之後她足足有一個月沒有理睬我
[00:01:42.000 --> 00:01:45.000]  她氣得連飯都不和我一起吃
[00:01:45.000 --> 00:01:48.000]  我聽到她就回房間
[00:01:48.000 --> 00:01:50.000]  我進房間她才出來
[00:01:51.000 --> 00:01:55.000]  由於當時我父母是我的人生焦點
[00:01:55.000 --> 00:01:58.000]  所以回想那一個月的日子
[00:01:58.000 --> 00:02:01.000]  對於我來說比死更難受
[00:02:01.000 --> 00:02:05.000]  我每天回到家就以淚洗面
[00:02:05.000 --> 00:02:10.000]  當時我落入了一個很沮喪的情緒
[00:02:10.000 --> 00:02:11.000]  如果你是我
[00:02:11.000 --> 00:02:14.000]  你會怎樣解決這件事呢
[00:02:14.000 --> 00:02:19.000]  今天很想和大家看一段很熟悉的經文
[00:02:19.000 --> 00:02:23.000]  就是《馬可福音》四章35至41節
[00:02:23.000 --> 00:02:28.000]  一班門徒似乎都遇上了一場關乎生命的危機
[00:02:28.000 --> 00:02:32.000]  我們首先一起看看這件事是怎樣發生
