
[00:00:00.000 --> 00:00:05.480]  我在星期四的下午跟一位人士對話的時候
[00:00:05.480 --> 00:00:07.520]  他是全程沒有戴口罩的
[00:00:07.520 --> 00:00:10.640]  星期五收到消息就說他確診了
[00:00:10.640 --> 00:00:13.560]  我就不想感染咪高峰
[00:00:13.560 --> 00:00:14.680]  就戴著口罩
[00:00:14.680 --> 00:00:16.640]  而且我一直以來
[00:00:16.640 --> 00:00:19.800]  上年的八月我就打了第四針
[00:00:19.800 --> 00:00:21.040]  到現在了
[00:00:21.040 --> 00:00:23.480]  神的恩典是
[00:00:23.480 --> 00:00:24.800]  我不知道為什麼
[00:00:24.800 --> 00:00:28.440]  祂會令到我無論是核酸檢測也好
[00:00:28.440 --> 00:00:30.200]  我們自我檢測也好
[00:00:30.200 --> 00:00:31.320]  都是陰性的
[00:00:31.320 --> 00:00:35.280]  所以我是維持在一線那裡
[00:00:35.280 --> 00:00:38.680]  如果神有祂的心意
[00:00:38.680 --> 00:00:47.400]  我都希望我這一線跑到最終點線
[00:00:47.400 --> 00:00:51.680]  因為時下流行是說贏在起跑線
[00:00:51.680 --> 00:00:53.680]  贏在終點線
[00:00:53.680 --> 00:00:55.920]  不過贏在起跑線
[00:00:55.920 --> 00:01:00.160]  有時候未必是贏在終點線
[00:01:00.160 --> 00:01:02.760]  有時候輸在起跑線
[00:01:02.760 --> 00:01:06.480]  也未必一定是贏在終點線
[00:01:06.480 --> 00:01:09.240]  有時候有些人在開始的時候超前
[00:01:09.240 --> 00:01:12.720]  但是到最後就像龜兔賽跑一樣落後了
[00:01:12.720 --> 00:01:15.000]  但是有時候開始的時候沒有什麼準備
[00:01:15.000 --> 00:01:18.480]  也未必到最後被淘汰
[00:01:18.480 --> 00:01:21.640]  我還記得上一年
[00:01:21.640 --> 00:01:23.680]  我在這裡跟大家分享的是
[00:01:23.680 --> 00:01:25.680]  但爾利書第一章
[00:01:25.680 --> 00:01:28.760]  今天就跟大家分享第六章
[00:01:28.760 --> 00:01:30.960]  從世界各國的角度來看
[00:01:30.960 --> 00:01:32.960]  在第一章裡面我們看到
[00:01:32.960 --> 00:01:36.600]  但爾利他的家底也不錯
[00:01:36.600 --> 00:01:38.600]  出身很好,是個貴族
[00:01:38.600 --> 00:01:41.400]  他又有一個晉朗
[00:01:41.400 --> 00:01:43.960]  又是一個很聰明的人
[00:01:43.960 --> 00:01:48.160]  應該是贏在起跑線
[00:01:48.160 --> 00:01:50.360]  不過國破家亡
[00:01:50.360 --> 00:01:52.800]  他淪為一個亡國奴之餘
[00:01:52.800 --> 00:01:55.280]  還被人擄到皇宮那裡
[00:01:55.280 --> 00:01:57.120]  好像落後了
[00:01:57.120 --> 00:01:58.920]  但是他在皇宮那裡
[00:01:58.920 --> 00:02:01.560]  上一年,如果大家去看但爾利書就知道
[00:02:01.560 --> 00:02:03.920]  他在皇宮那裡接受了訓練
[00:02:03.920 --> 00:02:05.920]  似乎又是跑回前了
[00:02:05.920 --> 00:02:08.560]  好像落後,又跑前,落後,跑前
[00:02:08.560 --> 00:02:11.280]  不過他在訓練當中也好
[00:02:11.280 --> 00:02:15.160]  他在人生職場服侍也好
[00:02:15.160 --> 00:02:17.160]  都面對種種的挑戰
[00:02:17.160 --> 00:02:19.640]  好像又落後了
[00:02:19.640 --> 00:02:22.600]  不過我們看到淑玲的角度
[00:02:22.600 --> 00:02:25.880]  其實她已經贏在起跑線了
[00:02:25.880 --> 00:02:28.160]  因為第一章第八節裡
[00:02:28.160 --> 00:02:30.480]  就說了她因為為神的緣故
[00:02:30.480 --> 00:02:32.480]  她要在她的信仰裡站穩
[00:02:32.480 --> 00:02:36.760]  甚至在飲食上也要站穩
[00:02:36.760 --> 00:02:39.240]  不願意得罪神
[00:02:39.240 --> 00:02:41.240]  我們中國人就有一句話
[00:02:41.240 --> 00:02:43.800]  「蓋棺倫定」
[00:02:43.800 --> 00:02:46.120]  人的一生功過
