
[00:00:00.000 --> 00:00:06.000]  謝謝Watson帶領我們去慶拜的時間
[00:00:06.000 --> 00:00:12.000]  鼎子會我不知道你現在在什麼位置去慶拜
[00:00:12.000 --> 00:00:14.000]  也鼓勵你
[00:00:14.000 --> 00:00:19.000]  縱然我們今年一開學年頭又沒有實體
[00:00:19.000 --> 00:00:22.000]  但是我想我們無論它是什麼地方
[00:00:22.000 --> 00:00:25.000]  我們仍然可以透過我們去慶拜
[00:00:25.000 --> 00:00:27.000]  我們聽到你話語成為我們的提醒
[00:00:27.000 --> 00:00:31.000]  剛才文姐姐在IG上說每一次打風
[00:00:31.000 --> 00:00:33.000]  網上崇拜都一定有我的份
[00:00:33.000 --> 00:00:36.000]  我也不知道這是好還是不好
[00:00:36.000 --> 00:00:40.000]  但是很感恩的是我們仍然能夠透過網上崇拜
[00:00:40.000 --> 00:00:42.000]  我們一起去聽到你的話語
[00:00:42.000 --> 00:00:46.000]  我想上個禮拜合堂崇拜的頂椎
[00:00:46.000 --> 00:00:47.000]  不知道大家是否記得
[00:00:47.000 --> 00:00:50.000]  德佑牧師他和大家分享過
[00:00:50.000 --> 00:00:52.000]  今年新的年題叫做
[00:00:52.000 --> 00:00:55.000]  "Transform Our Life, Growing for Christ"
[00:00:55.000 --> 00:00:58.000]  希望透過我們的生命
[00:00:58.000 --> 00:01:00.000]  能夠成為一個吸引眼球的生命
[00:01:00.000 --> 00:01:02.000]  讓更多人去認識信仰
[00:01:02.000 --> 00:01:06.000]  今年我們的同工也有一個新的嘗試
[00:01:06.000 --> 00:01:09.000]  希望我們在每一個同工的聖經中
[00:01:09.000 --> 00:01:12.000]  去選一個人物透過他們的生命的見證
[00:01:12.000 --> 00:01:14.000]  看看他們有什麼特質
[00:01:14.000 --> 00:01:16.000]  都同樣成為我們學習的對象
[00:01:16.000 --> 00:01:19.000]  今天想和大家分享一個題目叫做
[00:01:19.000 --> 00:01:23.000]  應該提到
[00:01:23.000 --> 00:01:26.000]  就是做一個有吉士的記錄圖
[00:01:26.000 --> 00:01:28.000]  我選了"旦爾利"
[00:01:28.000 --> 00:01:30.000]  在這幾個月裡
[00:01:30.000 --> 00:01:32.000]  和大家一起透過旦爾利的生命
[00:01:32.000 --> 00:01:33.000]  看看有什麼
[00:01:33.000 --> 00:01:35.000]  同樣成為我們學習的地方
[00:01:35.000 --> 00:01:37.000]  今天和大家分享的是
[00:01:37.000 --> 00:01:39.000]  旦爾利書一章的經文
[00:01:39.000 --> 00:01:41.000]  其實只是21字的經文
[00:01:41.000 --> 00:01:46.000]  請大家先聽我讀一次這段的經文
[00:01:46.000 --> 00:01:49.000]  讓大家知道旦爾利書的經文說什麼
[00:01:49.000 --> 00:01:51.000]  是旦爾利書的一章
[00:01:51.000 --> 00:01:54.000]  英文是這樣說的
[00:01:54.000 --> 00:01:55.000]  它說
[00:01:55.000 --> 00:02:23.000]  (朗讀)
[00:02:23.000 --> 00:02:35.000]  (朗讀)
[00:02:35.000 --> 00:02:52.000]  (朗讀)
[00:02:52.000 --> 00:03:12.000]  (朗讀)
[00:03:12.000 --> 00:03:34.000]  (朗讀)
[00:03:34.000 --> 00:03:56.000]  (朗讀)
[00:03:56.000 --> 00:04:20.000]  (朗讀)
[00:04:20.000 --> 00:04:39.000]  (朗讀)
[00:04:39.000 --> 00:04:53.000]  (朗讀)
[00:04:53.000 --> 00:05:09.000]  (朗讀)
[00:05:09.000 --> 00:05:11.000]  大家剛才讀了
[00:05:11.000 --> 00:05:15.000]  我們看了21字的經文
[00:05:15.000 --> 00:05:17.000]  我們也會問一個問題
[00:05:17.000 --> 00:05:19.000]  究竟旦爾利書的背景是什麼
[00:05:19.000 --> 00:05:23.000]  讓我和大家講解一點
[00:05:23.000 --> 00:05:25.000]  讓大家知道旦爾利的處境是什麼
[00:05:25.000 --> 00:05:27.000]  其實旦爾利書分了兩部分
[00:05:27.000 --> 00:05:29.000]  你會看到
[00:05:29.000 --> 00:05:32.000]  頭六章都是講一些歷史事件的巨多
[00:05:32.000 --> 00:05:34.000]  而書的後半部分
[00:05:34.000 --> 00:05:36.000]  就是講旦爾利去領受不同的異象
[00:05:36.000 --> 00:05:38.000]  當我們看旦爾利書的時候
