
[00:00:00.000 --> 00:00:03.000]  早晨,弟子妹
[00:00:03.000 --> 00:00:07.000]  很感恩能夠跟大家一起去敬拜神
[00:00:07.000 --> 00:00:09.000]  亦都感謝敬拜小組
[00:00:09.000 --> 00:00:14.000]  簡舉的幾首詩歌都很預備我們心一起在當中進入今天的經文
[00:00:14.000 --> 00:00:16.000]  首先我們一起有個祈禱
[00:00:16.000 --> 00:00:23.000]  天父實在多謝你讓我們今天能夠站在你面前去敬拜讚美你
[00:00:23.000 --> 00:00:26.000]  因為你是配得一切榮耀重讚
[00:00:26.000 --> 00:00:32.000]  願意我們獻上的歌聲,願意我們獻上的心都能夠呈獻給你
[00:00:32.000 --> 00:00:36.000]  願你月立,亦都求你使用孩子在當中預備的訊息
[00:00:36.000 --> 00:00:39.000]  讓你的說話成為我們的提醒幫助
[00:00:39.000 --> 00:00:41.000]  再一次多謝你聽我們禱告
[00:00:41.000 --> 00:00:43.000]  以上禱告奉主命求,阿們
[00:00:43.000 --> 00:00:52.000]  首先都少少今早發現原來大家手上的大綱和我的講道解綱有少少不同
[00:00:52.000 --> 00:00:54.000]  希望大家留意
[00:00:54.000 --> 00:00:58.000]  今日的題目是小心生命的裂縫
[00:00:58.000 --> 00:01:02.000]  不知道大家聽見裂縫的時候會想起什麼
[00:01:02.000 --> 00:01:06.000]  可能會不會在家中或逛街的時候
[00:01:06.000 --> 00:01:08.000]  看到一些很舊的樓宇
[00:01:08.000 --> 00:01:10.000]  有些裂縫出現的時候
[00:01:10.000 --> 00:01:15.000]  就會很擔心會不會有些石屎的剝落會打到人呢
[00:01:15.000 --> 00:01:22.000]  又或者會不會坐的士突然間看到擋風玻璃原來有個裂縫出現
[00:01:22.000 --> 00:01:27.000]  又或者會不會在逛街的時候那些玻璃會粉碎呢
[00:01:27.000 --> 00:01:28.000]  弄傷人呢
[00:01:28.000 --> 00:01:32.000]  甚至人與人之間的關係都可能會出現裂縫
[00:01:32.000 --> 00:01:34.000]  大受影響
[00:01:34.000 --> 00:01:37.000]  相信大家都很明白裂縫的出現
[00:01:37.000 --> 00:01:39.000]  若果不盡快去處理的時候
[00:01:39.000 --> 00:01:41.000]  裂縫會越來越大
[00:01:41.000 --> 00:01:44.000]  可能有一日一發不可收拾
[00:01:44.000 --> 00:01:49.000]  若果這個裂縫是發生在我們和神的關係當中的時候
[00:01:49.000 --> 00:01:52.000]  同樣都會帶來很大的影響
[00:01:52.000 --> 00:01:56.000]  所以今天很想透過獵王寄上三章
[00:01:56.000 --> 00:01:58.000]  一段大家可能很熟悉的經文
[00:01:58.000 --> 00:02:01.000]  看看今天我們的屬靈生命
[00:02:01.000 --> 00:02:05.000]  如何可以在當中避免一些裂縫出現呢
[00:02:05.000 --> 00:02:09.000]  首先我們要重溫第一第二章的內容
[00:02:09.000 --> 00:02:13.000]  第一章開始的時候說到大胃王的年老邁
[00:02:13.000 --> 00:02:18.000]  大胃兒子亞多尼亞趁著父親年老衰弱
[00:02:18.000 --> 00:02:21.000]  一心想爭奪王位
[00:02:21.000 --> 00:02:23.000]  後來也拿丹建議下
[00:02:23.000 --> 00:02:25.000]  拔士巴進見大胃
[00:02:25.000 --> 00:02:29.000]  提醒大胃曾經因他所羅門繼承了王位
[00:02:29.000 --> 00:02:34.000]  所以大胃馬上封了所羅門
[00:02:34.000 --> 00:02:37.000]  成為一個以色列的王
[00:02:37.000 --> 00:02:40.000]  因此亞多尼亞的繼母就失敗了
[00:02:40.000 --> 00:02:43.000]  第二章說到大胃臨終的時候
[00:02:43.000 --> 00:02:47.000]  祝福所羅門要作一個堅強的大丈夫
[00:02:47.000 --> 00:02:50.000]  謹守耶華吩咐的律例
[00:02:50.000 --> 00:02:51.000]  無論你做什麼
[00:02:51.000 --> 00:02:53.000]  無論你往哪裡去
[00:02:53.000 --> 00:02:55.000]  這樣才能夠萬事亨通
[00:02:55.000 --> 00:02:58.000]  國位才可以延續下去
[00:02:58.000 --> 00:03:00.000]  另一方面大胃向所羅門交代
[00:03:00.000 --> 00:03:04.000]  他應該如何處理虐壓侍媒等人
[00:03:04.000 --> 00:03:06.000]  剷除留無辜人的血
[00:03:06.000 --> 00:03:08.000]  以及威脅王位的人
[00:03:08.000 --> 00:03:12.000]  確保所羅門的王位得到建立
[00:03:12.000 --> 00:03:16.000]  正正就是第二章結束最後的一句話
[00:03:16.000 --> 00:03:18.000]  所以我們看到
[00:03:18.000 --> 00:03:22.000]  當所羅門王清除威脅王位的人之後
[00:03:22.000 --> 00:03:25.000]  如果你是作者的時候
[00:03:25.000 --> 00:03:29.000]  不知道大家會如何開始寫第三章的內容呢?
