
[00:00:00.000 --> 00:00:04.000]  今天我們是教會的神學主一
[00:00:04.000 --> 00:00:10.000]  所以我們請了恩福聖經學院的神學院的講師
[00:00:10.000 --> 00:00:14.000]  伍惠蘭講師來到我們中間
[00:00:14.000 --> 00:00:16.000]  來跟我們分享上帝的說話
[00:00:16.000 --> 00:00:20.000]  所以一開始的時候我們會看一段短片
[00:00:20.000 --> 00:00:34.000]  過去我們一起經歷了全球的瘟疫蔓延
[00:00:34.000 --> 00:00:50.000]  國際疫情嚴重
[00:00:50.000 --> 00:00:54.000]  天災 戰火連連
[00:00:54.000 --> 00:01:00.000]  在世界各地很多人都流離失所
[00:01:00.000 --> 00:01:10.000]  在這個時代我們作為基督徒應該怎樣面對呢?
[00:01:10.000 --> 00:01:23.000]  我們又應該怎樣去回應神的召命呢?
[00:01:23.000 --> 00:01:26.000]  在未來的七月三日下午三時至五時
[00:01:26.000 --> 00:01:30.000]  恩福神學院舉辦了一個呼召探討日講座
[00:01:30.000 --> 00:01:35.000]  由黃子良博士分享在瘟疫戰亂中應該怎樣回應召命
[00:01:35.000 --> 00:01:37.000]  歡迎你參加報名
[00:01:37.000 --> 00:01:41.000]  一起在這個大時代回應神的召命
[00:01:41.000 --> 00:01:45.000]  另外為了鼓勵恩福的弟兄姊妹一起參與侍奉
[00:01:45.000 --> 00:01:47.000]  恩福神學院聯同恩福堂
[00:01:47.000 --> 00:01:51.000]  開辦了聖經研究小木人培訓證書及蒙彭課程
[00:01:51.000 --> 00:01:53.000]  透過這個信徒領袖課程
[00:01:53.000 --> 00:01:56.000]  一方面讓弟兄姊妹盡心研讀聖經
[00:01:56.000 --> 00:02:01.000]  另一方面幫助弟兄姊妹在教木同工的領導下協助牧羊
[00:02:01.000 --> 00:02:06.000]  一同關乎侍工同心實踐大使命
[00:02:06.000 --> 00:02:08.000]  有關以上兩個項目的詳情
[00:02:08.000 --> 00:02:13.000]  請瀏覽我們的Instagram、Facebook和恩福神學院的網頁
[00:02:13.000 --> 00:02:30.000]  (音樂)
[00:02:30.000 --> 00:02:32.000]  祈求師父平安
[00:02:32.000 --> 00:02:36.000]  很多挑戰
[00:02:36.000 --> 00:02:40.000]  我剛才聽到主席說我們面對很多挑戰
[00:02:40.000 --> 00:02:45.000]  但其實神幫我們做了一些自我保護機制
[00:02:45.000 --> 00:02:50.000]  例如你有沒有試過不小心碰到熱的東西
[00:02:50.000 --> 00:02:52.000]  立即會縮手
[00:02:52.000 --> 00:02:56.000]  其實這個叫做本能反射
[00:02:56.000 --> 00:02:58.000]  不過如果說本能反射
[00:02:58.000 --> 00:03:03.000]  倒不如說這是神創造的一個自我保護機制
[00:03:03.000 --> 00:03:05.000]  如果你碰到熱的東西
[00:03:05.000 --> 00:03:07.000]  不懂得放手的話
[00:03:07.000 --> 00:03:10.000]  不是刻意想碰它
[00:03:10.000 --> 00:03:11.000]  不懂得放手的話
[00:03:11.000 --> 00:03:14.000]  即是我們不懂得逃離危險
[00:03:14.000 --> 00:03:16.000]  溫水煮蛙聽過吧
[00:03:16.000 --> 00:03:18.000]  溫水煮蛙這個比喻
[00:03:18.000 --> 00:03:21.000]  一隻青蛙掉進熱水裡
[00:03:21.000 --> 00:03:23.000]  就很自然彈出來了
[00:03:23.000 --> 00:03:24.000]  就像我們吃火鍋
[00:03:24.000 --> 00:03:25.000]  白灼蝦那樣
[00:03:25.000 --> 00:03:28.000]  蝦就跳出來
[00:03:28.000 --> 00:03:30.000]  但如果你把它放在冷水裡
[00:03:30.000 --> 00:03:33.000]  游來游去
[00:03:33.000 --> 00:03:35.000]  當它適應了溫度的時候
[00:03:35.000 --> 00:03:38.000]  慢慢又加熱一點
[00:03:38.000 --> 00:03:40.000]  到它真的想跳出來的時候
[00:03:40.000 --> 00:03:43.000]  我相信它已經被人煞熟了
[00:03:43.000 --> 00:03:46.000]  這些就是它沒有本能反射
[00:03:46.000 --> 00:03:51.000]  已經失去了危機感
[00:03:51.000 --> 00:03:54.000]  同樣的我們在這個世界裡
[00:03:54.000 --> 00:03:57.000]  好像青蛙在煮溫水
[00:03:57.000 --> 00:03:58.000]  世界的價值觀
[00:03:58.000 --> 00:04:03.000]  很多時候和神的教導有矛盾
[00:04:03.000 --> 00:04:04.000]  不時都是這樣
[00:04:04.000 --> 00:04:08.000]  如果我們對是非黑白沒有敏銳的話
[00:04:08.000 --> 00:04:11.000]  就很容易被潛移默化了
[00:04:11.000 --> 00:04:15.000]  就好像一隻在溫水裡的青蛙
[00:04:15.000 --> 00:04:18.000]  當然我們不是要避開這個世界
[00:04:18.000 --> 00:04:21.000]  也不會刻意避世
[00:04:21.000 --> 00:04:25.000]  但我們不應該受這個世界的價值觀影響
[00:04:25.000 --> 00:04:29.000]  反而我們的道德標準要更高一點
[00:04:29.000 --> 00:04:31.000]  說就容易了
[00:04:31.000 --> 00:04:33.000]  就像在講台裡說
[00:04:33.000 --> 00:04:34.000]  說就容易
[00:04:34.000 --> 00:04:36.000]  做就做得到嗎
[00:04:36.000 --> 00:04:39.000]  聖經裡有幾個人物
[00:04:39.000 --> 00:04:42.000]  今天我們會看到這幾個人物
[00:04:42.000 --> 00:04:43.000]  他們在年輕的時候
[00:04:43.000 --> 00:04:44.000]  就像大家一樣
[00:04:44.000 --> 00:04:47.000]  年輕的時候就知道他們在這個世界
[00:04:47.000 --> 00:04:50.000]  但他們不屬於這個世界
[00:04:50.000 --> 00:04:54.000]  我們今天看的是《但異理書》第一章的記述
[00:04:54.000 --> 00:04:57.000]  在看經文之前我們一起祈禱
