
[00:00:00.000 --> 00:00:03.000]  大英姐妹很開心
[00:00:03.000 --> 00:00:06.000]  剛才一起去敬拜
[00:00:06.000 --> 00:00:08.000]  不如我們給點掌聲我們小鳳團隊
[00:00:08.000 --> 00:00:10.000]  試試敬拜AV Team
[00:00:10.000 --> 00:00:14.000]  大家一起努力去為我們服侍
[00:00:14.000 --> 00:00:16.000]  讓我們可以進入敬拜很重要
[00:00:16.000 --> 00:00:18.000]  剛才的敬拜是很大的體會
[00:00:18.000 --> 00:00:21.000]  其實每一個基督徒或者
[00:00:21.000 --> 00:00:24.000]  我們生命裏面都不斷經歷拉扯
[00:00:24.000 --> 00:00:27.000]  生命裏面有時看不見
[00:00:27.000 --> 00:00:30.000]  有時信心會有軟弱不足的時間
[00:00:30.000 --> 00:00:32.000]  但其實每一次的敬拜
[00:00:32.000 --> 00:00:34.000]  都好像幫我們打氣
[00:00:34.000 --> 00:00:35.000]  幫我們加力
[00:00:35.000 --> 00:00:38.000]  盼望今個星期我們的敬拜
[00:00:38.000 --> 00:00:40.000]  可以幫你將來這個星期
[00:00:40.000 --> 00:00:43.000]  你可以帶著信心和勇氣去面對
[00:00:43.000 --> 00:00:46.000]  新年快樂
[00:00:46.000 --> 00:00:48.000]  因為將來新年
[00:00:48.000 --> 00:00:51.000]  下星期就新年
[00:00:51.000 --> 00:00:56.000]  可惜沒有機會和大家一起過新年
[00:00:56.000 --> 00:00:59.000]  所以利是這部分就沒有辦法了
[00:00:59.000 --> 00:01:02.000]  不過給一些新年的祝福與祝
[00:01:02.000 --> 00:01:04.000]  預祝大家新年快樂
[00:01:04.000 --> 00:01:06.000]  身體健康
[00:01:06.000 --> 00:01:09.000]  大家學心 學業進步
[00:01:09.000 --> 00:01:12.000]  拿抽繩出來大家吹牛平安
[00:01:12.000 --> 00:01:16.000]  所以祝大家可以有個開心的新年
[00:01:16.000 --> 00:01:21.000]  可以和家人過個開心的新年
[00:01:21.000 --> 00:01:25.000]  不如我們一起開始有個祈禱好不好
[00:01:26.000 --> 00:01:46.000]  (祈禱)
