
[00:00:00.000 --> 00:00:03.180]  我們在港道之先一齊去禱告
[00:00:03.180 --> 00:00:12.200]  親愛的主人感謝您在今天再一次帶領我們回來的聖殿當中
[00:00:12.200 --> 00:00:16.520]  我們一齊去敬拜祢 一齊去經歷祢
[00:00:16.520 --> 00:00:23.500]  主人剛才在詩歌裡我們能夠用口去唱盡 唱頌神祢的愛
[00:00:23.500 --> 00:00:30.500]  主人在這一刻當我們去預備自己去聆聽祢的道的時候
[00:00:30.500 --> 00:00:36.500]  讓我們更加能夠去明白了解神的愛是何等的美好
[00:00:36.500 --> 00:00:43.500]  何等的偉大 何等去進入我們每一個人的生命裡面
[00:00:43.500 --> 00:00:46.500]  主人求祢 祢的靈臨到我們當中
[00:00:46.500 --> 00:00:49.500]  讓我們能夠打開我們自己
[00:00:49.500 --> 00:00:55.500]  打開 預備好我們能夠更深的去聽祢的話語
[00:00:55.500 --> 00:00:58.500]  更多的去回應上帝的道
[00:00:58.500 --> 00:01:03.500]  我們同心合意的禱告 交託 感恩奉教主獨特性的名字
[00:01:03.500 --> 00:01:04.500]  阿們
[00:01:04.500 --> 00:01:11.500]  首先很想問大家一個問題
[00:01:11.500 --> 00:01:18.500]  你們曾幾何時有沒有試過會覺得自己有種孤獨的感覺
[00:01:18.500 --> 00:01:20.500]  自己有種累的感覺
[00:01:20.500 --> 00:01:26.500]  現在都可能覺得累累的 會不會啊
[00:01:26.500 --> 00:01:36.500]  但奇怪的是 有些時候明明都沒有做過什麼很辛苦很辛苦的事
[00:01:36.500 --> 00:01:39.500]  沒有去擔過泥 沒有去跑馬拉松
[00:01:39.500 --> 00:01:42.500]  但仍然都會說好累啊
[00:01:42.500 --> 00:01:45.500]  有沒有這些經歷啊
[00:01:45.500 --> 00:01:47.500]  有啦
[00:01:47.500 --> 00:01:51.500]  有時我們的累不是因為我們做了多少
[00:01:51.500 --> 00:01:57.500]  而是好像人裡面突然間沒了力
[00:01:57.500 --> 00:02:04.500]  亦都可能試過一日完了回家 坐下了
[00:02:04.500 --> 00:02:07.500]  可能應該可以覺得幾舒服
[00:02:07.500 --> 00:02:09.500]  因為沒有人催我做事
[00:02:09.500 --> 00:02:14.500]  沒有人再要我說這樣說那樣
[00:02:14.500 --> 00:02:20.500]  但奇怪的是 仍然有一種很累的感覺
[00:02:20.500 --> 00:02:25.500]  坐在沙發 或者拿著電話在滾
[00:02:25.500 --> 00:02:30.500]  甚至開著電視 在飛台飛台再飛台
[00:02:30.500 --> 00:02:33.500]  但又不是在看裡面的內容
[00:02:33.500 --> 00:02:37.500]  只是不想停
[00:02:37.500 --> 00:02:41.500]  當有whatsapp叮叮叮的時候
[00:02:41.500 --> 00:02:44.500]  問一下會不會有空出來吃飯
[00:02:44.500 --> 00:02:47.500]  但你看到了 又沒有馬上回覆
[00:02:47.500 --> 00:02:51.500]  不是對對方有什麼問題
[00:02:51.500 --> 00:02:54.500]  而是那一刻不太想見人
[00:02:54.500 --> 00:02:57.500]  甚至說不太想去回應
[00:02:57.500 --> 00:03:03.500]  聽說我們有時候可能都會在這種累的狀態
[00:03:03.500 --> 00:03:06.500]  不想再試 不想再走
[00:03:06.500 --> 00:03:10.500]  甚至在表面上看上去都幾正常
[00:03:10.500 --> 00:03:12.500]  正正常常是一個人
[00:03:12.500 --> 00:03:17.500]  但在裡面有一種空
[00:03:17.500 --> 00:03:21.500]  今天我們一起看的一段經文
[00:03:21.500 --> 00:03:24.500]  一個很出名的先知 以利亞
[00:03:24.500 --> 00:03:28.500]  但你會發現他不是站在一個高峰裡面
[00:03:28.500 --> 00:03:31.500]  反而正正在高峰跌落一個低谷
[00:03:31.500 --> 00:03:34.500]  而是他裡面說的一句話
[00:03:34.500 --> 00:03:40.500]  可能都在震動我們心裡的一些感受
[00:03:40.500 --> 00:03:44.500]  我們一起去看看獵王記上十九章
[00:03:44.500 --> 00:03:49.500]  當一個人同樣說累了 算了的時候
[00:03:49.500 --> 00:03:52.500]  神會怎樣對他呢
[00:03:52.500 --> 00:03:57.500]  我們一起看看獵王記上十九章
[00:03:57.500 --> 00:03:59.500]  一至四節的經文
[00:03:59.500 --> 00:04:04.500]  我第一個的分題是當人走到心靈裡面的殘餘住
[00:04:04.500 --> 00:04:07.500]  我們一起讀這四節經文 準備起
[00:04:29.500 --> 00:04:31.500]  好 我們先讀到這裡
[00:05:00.500 --> 00:05:04.500]  我們先不要急著
[00:05:04.500 --> 00:05:07.500]  當以利亞落到這個崗頸的時候
[00:05:07.500 --> 00:05:10.500]  神怎樣去幫先知
[00:05:10.500 --> 00:05:13.500]  我們首先去停一停 看一件事
[00:05:13.500 --> 00:05:17.500]  為什麼先知以利亞會去到這個地步呢
