
[00:00:00.000 --> 00:00:02.000]  請主妹好
[00:00:02.000 --> 00:00:07.000]  我感恩可以有機會在這裡跟大家分享神的話語
[00:00:07.000 --> 00:00:10.000]  我們講道之前我們一起低頭祈禱
[00:00:10.000 --> 00:00:12.000]  慈悲天父我們感恩
[00:00:12.000 --> 00:00:15.000]  主祢將寶貴的話語賜給我們
[00:00:15.000 --> 00:00:18.000]  主真是無論得時不得時
[00:00:18.000 --> 00:00:21.000]  主祢的話語都成為我們的亮光
[00:00:21.000 --> 00:00:23.000]  成為我們的幫助
[00:00:23.000 --> 00:00:25.000]  成為我們的盼望
[00:00:25.000 --> 00:00:27.000]  成為我們的安慰
[00:00:27.000 --> 00:00:30.000]  求主祢只是在我們當中運行
[00:00:30.000 --> 00:00:33.000]  親自來做教導提醒
[00:00:33.000 --> 00:00:35.000]  奉耶穌基督的名求
[00:00:35.000 --> 00:00:36.000]  阿們
[00:00:36.000 --> 00:00:41.000]  我想問大家有什麼是會改變人的行為呢?
[00:00:41.000 --> 00:00:44.000]  有什麼會改變人的行為呢?
[00:00:44.000 --> 00:00:46.000]  其實很多東西都會改變人的行為
[00:00:46.000 --> 00:00:49.000]  其實是一樣東西會改變人的行為
[00:00:49.000 --> 00:00:51.000]  是知識
[00:00:51.000 --> 00:00:54.000]  知識是不是能夠改變人的行為呢?
[00:00:54.000 --> 00:00:56.000]  我解釋給你聽
[00:00:56.000 --> 00:01:00.000]  你小時候你媽媽叫你不要賭錢
[00:01:00.000 --> 00:01:02.000]  不要吸毒
[00:01:02.000 --> 00:01:07.000]  你知道賭錢和吸毒有後果
[00:01:07.000 --> 00:01:09.000]  那你就不做
[00:01:09.000 --> 00:01:10.000]  這些沒有難度的
[00:01:10.000 --> 00:01:11.000]  因為知識
[00:01:11.000 --> 00:01:15.000]  第二個例子就是經驗的知識
[00:01:15.000 --> 00:01:18.000]  你試過一次被人騙
[00:01:18.000 --> 00:01:21.000]  那你下次會怎樣呢?
[00:01:21.000 --> 00:01:24.000]  下次你就會吸取教訓
[00:01:24.000 --> 00:01:26.000]  因為你被人騙了
[00:01:26.000 --> 00:01:27.000]  同意嗎?
[00:01:27.000 --> 00:01:29.000]  那就改變行為
[00:01:29.000 --> 00:01:33.000]  所有不明來歷的電話都不接
[00:01:33.000 --> 00:01:35.000]  那就保護我們
[00:01:35.000 --> 00:01:37.000]  這是改變行為
[00:01:37.000 --> 00:01:39.000]  但有些行為
[00:01:39.000 --> 00:01:41.000]  知識是改變不了的
[00:01:41.000 --> 00:01:42.000]  為什麼呢?
[00:01:42.000 --> 00:01:46.000]  這些行為和我們的基本慾念
[00:01:46.000 --> 00:01:49.000]  我們想要的東西是有抵觸的
[00:01:49.000 --> 00:01:51.000]  我認識一些姐妹
[00:01:51.000 --> 00:01:53.000]  認識了她幾十年
[00:01:53.000 --> 00:01:56.000]  從年輕到幾十歲
[00:01:56.000 --> 00:01:58.000]  還是要減肥
[00:01:58.000 --> 00:02:01.000]  減了幾十年都減不了
[00:02:01.000 --> 00:02:06.000]  為什麼一輩子圍繞在減肥的生命裡呢?
[00:02:06.000 --> 00:02:07.000]  為什麼呢?
[00:02:07.000 --> 00:02:09.000]  她喜歡吃甜食
[00:02:09.000 --> 00:02:12.000]  她又喜歡吃油炸食物
[00:02:12.000 --> 00:02:15.000]  那不可能減肥的
[00:02:15.000 --> 00:02:17.000]  原來當我們知識
[00:02:17.000 --> 00:02:20.000]  我們都知道這些是不能做的
[00:02:20.000 --> 00:02:26.000]  但我們抗拒不了我們裡面的慾望的時候
[00:02:26.000 --> 00:02:28.000]  那我們就不能夠
[00:02:28.000 --> 00:02:31.000]  知識就改變不了我們的行為
[00:02:31.000 --> 00:02:34.000]  我們明知道那件事是不對的
[00:02:34.000 --> 00:02:35.000]  所以我們說
[00:02:35.000 --> 00:02:37.000]  有些人永遠學不到東西
[00:02:37.000 --> 00:02:39.000]  無論你怎樣教他
[00:02:39.000 --> 00:02:40.000]  他都學不到東西
[00:02:40.000 --> 00:02:43.000]  直到他跌了一下
[00:02:43.000 --> 00:02:45.000]  痛得很厲害
[00:02:45.000 --> 00:02:47.000]  那他可能會學到
[00:02:47.000 --> 00:02:51.000]  所以想再問大家多一個問題
[00:02:51.000 --> 00:02:54.000]  苦難的目的是什麼呢?
[00:02:54.000 --> 00:02:56.000]  你不要誤會我不是說藥百記
[00:02:56.000 --> 00:02:58.000]  苦難的目的是什麼呢?
[00:02:58.000 --> 00:03:01.000]  我想跟大家從另一個角度
[00:03:01.000 --> 00:03:04.000]  來探討這個苦難的問題
[00:03:04.000 --> 00:03:08.000]  我的港島經文是從不認識的馬拿
[00:03:08.000 --> 00:03:11.000]  馬拿可以代表神的話語
[00:03:11.000 --> 00:03:13.000]  神的食物
[00:03:13.000 --> 00:03:17.000]  靠著神的話語而活
