
[00:00:00.000 --> 00:00:04.000]  都有兩年多沒有在這個講台跟大家分享神的說話
[00:00:04.000 --> 00:00:07.000]  站在這裡當然是很興奮
[00:00:07.000 --> 00:00:10.000]  簡單說說我這兩年多的日子如何
[00:00:10.000 --> 00:00:13.000]  當然是可以多睡一點覺
[00:00:13.000 --> 00:00:15.000]  精神好了一點
[00:00:15.000 --> 00:00:17.000]  兒子去了讀神學
[00:00:17.000 --> 00:00:19.000]  久不久我會飛過去探望他
[00:00:19.000 --> 00:00:22.000]  所以分享了很多上帝的恩典
[00:00:22.000 --> 00:00:24.000]  有很多人突然間很關心
[00:00:24.000 --> 00:00:26.000]  有時久不久都會找我
[00:00:26.000 --> 00:00:27.000]  甚至想約我去喝茶
[00:00:27.000 --> 00:00:30.000]  很可惜我很怕有人請我喝茶
[00:00:30.000 --> 00:00:32.000]  所以很多時候都遠距離
[00:00:32.000 --> 00:00:36.000]  但都是在每一天每一天記掛大家
[00:00:36.000 --> 00:00:38.000]  當然有時都會去其他教會
[00:00:38.000 --> 00:00:40.000]  分享一些訊息各方面的
[00:00:40.000 --> 00:00:43.000]  所以大體上生活都是一起安康
[00:00:43.000 --> 00:00:46.000]  所以多謝大家在禱告裡面的紀念
[00:00:46.000 --> 00:00:48.000]  好,那麼長話短說
[00:00:48.000 --> 00:00:50.000]  正式進入我們今天所分享的訊息
[00:00:50.000 --> 00:00:51.000]  好嗎?
[00:00:51.000 --> 00:00:52.000]  好
[00:00:52.000 --> 00:00:56.000]  下個禮拜是聖誕節了
[00:00:56.000 --> 00:00:57.000]  是吧?
[00:00:57.000 --> 00:01:00.000]  好想在聖誕節來臨期間
[00:01:00.000 --> 00:01:01.000]  好想在這些日子裡
[00:01:01.000 --> 00:01:05.000]  跟大家一起用約翰福音的第一章
[00:01:05.000 --> 00:01:07.000]  第一章的前部分
[00:01:07.000 --> 00:01:11.000]  去分享耶穌基督降生的意義
[00:01:11.000 --> 00:01:14.000]  還有我們的回應
[00:01:14.000 --> 00:01:16.000]  不知道你會怎麼回應
[00:01:16.000 --> 00:01:18.000]  世人可能一到聖誕節
[00:01:18.000 --> 00:01:20.000]  可能這個聖誕節比較黯然一點
[00:01:20.000 --> 00:01:24.000]  我們都記掛大埔裡面的火災的災民
[00:01:24.000 --> 00:01:26.000]  但我們依然不忘記
[00:01:26.000 --> 00:01:28.000]  耶穌基督的降生
[00:01:28.000 --> 00:01:30.000]  祂的意義
[00:01:30.000 --> 00:01:32.000]  還有我們領受了這些訊息後
[00:01:32.000 --> 00:01:34.000]  我們怎麼去回應
[00:01:34.000 --> 00:01:35.000]  今天就很想跟大家一起
[00:01:35.000 --> 00:01:37.000]  透過約翰福音的一章
[00:01:37.000 --> 00:01:39.000]  6到18節的時候
[00:01:39.000 --> 00:01:41.000]  跟大家一起去思考這個問題
[00:01:41.000 --> 00:01:43.000]  如果手上有程序單張的時候
[00:01:43.000 --> 00:01:45.000]  你可以拿這個程序表的時候
[00:01:45.000 --> 00:01:47.000]  我們一起中讀有關的經文
[00:01:47.000 --> 00:01:49.000]  不然你可以拿出你手上的聖經
[00:01:49.000 --> 00:01:51.000]  或者你手機裡面的聖經app
[00:01:51.000 --> 00:01:53.000]  一起中讀這篇經文
[00:01:53.000 --> 00:01:55.000]  好嗎?
[00:01:55.000 --> 00:01:57.000]  約翰福音的一章
[00:01:57.000 --> 00:01:59.000]  6到18節
[00:01:59.000 --> 00:02:01.000]  他說
[00:02:01.000 --> 00:02:05.000]  「有一個人是從神那裡差來的,名叫約翰,
[00:02:05.000 --> 00:02:10.000]  這人來為要作見證,就是為光作見證,
[00:02:10.000 --> 00:02:13.000]  叫眾人因他可以信。
[00:02:13.000 --> 00:02:18.000]  他不是那光,乃是要為光作見證,
[00:02:18.000 --> 00:02:24.000]  那光是真光,照亮一切生在世上的人。
[00:02:24.000 --> 00:02:28.000]  他在世界,世界也是藉著他做的,
[00:02:28.000 --> 00:02:31.000]  世界卻不認識他。
[00:02:31.000 --> 00:02:33.000]  他到自己的地方來,
[00:02:33.000 --> 00:02:36.000]  自己的人都不接待他,
[00:02:36.000 --> 00:02:40.000]  凡接待他的,就是信他名的人,
[00:02:40.000 --> 00:02:44.000]  他就賜他們權柄,作神的兒女。
[00:02:44.000 --> 00:02:47.000]  這等人不是從血氣生的,
[00:02:47.000 --> 00:02:49.000]  不是從情慾生的,
[00:02:49.000 --> 00:02:51.000]  也不是從仁義生的,
[00:02:51.000 --> 00:02:54.000]  乃是從神生的。
[00:02:54.000 --> 00:02:58.000]  到成了肉身,住在我們中間,
[00:02:58.000 --> 00:03:01.000]  充充滿滿有恩典,有真理,
[00:03:01.000 --> 00:03:04.000]  我們也見過他的榮光,
[00:03:04.000 --> 00:03:08.000]  正是父獨生子的榮光。
[00:03:08.000 --> 00:03:11.000]  約翰為他作見證,
[00:03:11.000 --> 00:03:13.000]  喊著說:
[00:03:13.000 --> 00:03:15.000]  「這就是我曾說,
[00:03:15.000 --> 00:03:17.000]  那在我以後來的,
[00:03:17.000 --> 00:03:20.000]  反成了在我以前的,
[00:03:20.000 --> 00:03:24.000]  人他本來在我以前。」
[00:03:24.000 --> 00:03:26.000]  從他豐滿的恩典裡,
[00:03:26.000 --> 00:03:28.000]  我們都領受了,
[00:03:28.000 --> 00:03:30.000]  而且欣賞加恩。
[00:03:30.000 --> 00:03:33.000]  律法本是藉著摩西傳的,
[00:03:33.000 --> 00:03:38.000]  恩典和真理都是由耶穌基督來的。
[00:03:38.000 --> 00:03:40.000]  從來每一個人看見神,
[00:03:40.000 --> 00:03:43.000]  自由在附懷他的獨生子,
[00:03:43.000 --> 00:03:46.000]  將他表明出來,
[00:03:46.000 --> 00:03:48.000]  我們一起低頭祈禱。
[00:03:48.000 --> 00:03:51.000]  使彼阿天母上帝在正當聖誕節來臨的時候,
[00:03:51.000 --> 00:03:53.000]  多謝你自己透過這段經文,
[00:03:53.000 --> 00:03:55.000]  再一次讓我們反思反省,
[00:03:55.000 --> 00:03:57.000]  主你道成肉身,
[00:03:57.000 --> 00:03:59.000]  來到你的世界上的意義。
[00:03:59.000 --> 00:04:02.000]  當我們今天領受你的禱授,
[00:04:02.000 --> 00:04:05.000]  神求你自己的聖靈親自在我們當中,
[00:04:05.000 --> 00:04:07.000]  開我們的心眼,
[00:04:07.000 --> 00:04:09.000]  以致我們能夠看得清楚,
[00:04:09.000 --> 00:04:11.000]  以致我們能夠知道如何回應,
[00:04:11.000 --> 00:04:13.000]  活出你的心意,
[00:04:13.000 --> 00:04:15.000]  將你的光傳開去,
[00:04:15.000 --> 00:04:17.000]  讓你的家能似福保守,
[00:04:17.000 --> 00:04:19.000]  給我們力量,
[00:04:19.000 --> 00:04:21.000]  求聖靈在我們當中動功,
[00:04:21.000 --> 00:04:22.000]  幫助我們,
[00:04:22.000 --> 00:04:23.000]  聽我們祈禱,
[00:04:23.000 --> 00:04:25.000]  交託一份耶穌命求,
[00:04:25.000 --> 00:04:27.000]  阿們。
[00:04:27.000 --> 00:04:31.000]  我相信大家都很熟悉這個《約翰福音》,
[00:04:31.000 --> 00:04:36.000]  有些人甚至背起這本書給我們提醒,
[00:04:36.000 --> 00:04:39.000]  《約翰福音》是一本相當特別的科幻書信,
[00:04:39.000 --> 00:04:42.000]  與其他三本不相同,
[00:04:42.000 --> 00:04:49.000]  第一句,可能其他書卷都是一些敘事的形式開始,
[00:04:49.000 --> 00:04:51.000]  講述施洗約翰出世,
[00:04:51.000 --> 00:04:53.000]  講述耶穌基督的家譜,
[00:04:53.000 --> 00:04:58.000]  講述瑪利亞和約瑟耶穌出生前的經歷,
[00:04:58.000 --> 00:05:00.000]  但《約翰福音》卻很不同,
[00:05:00.000 --> 00:05:02.000]  第一句是太初有道,
[00:05:02.000 --> 00:05:04.000]  道與神同在,
[00:05:04.000 --> 00:05:05.000]  道就是神。
[00:05:05.000 --> 00:05:08.000]  留意這個宣告,
[00:05:08.000 --> 00:05:12.000]  不但肯定耶穌基督的神聖,
