
[00:00:00.000 --> 00:00:03.880]  今天的題目是「你是一個如何的存在」
[00:00:03.880 --> 00:00:05.120]  為何會有這個名字呢?
[00:00:05.120 --> 00:00:06.720]  其實我想了很久也想不到這個名字
[00:00:06.720 --> 00:00:08.360]  本來也想到一個很老套的名字
[00:00:08.360 --> 00:00:10.160]  就是「跟隨世界」
[00:00:10.160 --> 00:00:12.320]  「為主義而活」
[00:00:12.320 --> 00:00:13.680]  這些老套的名字
[00:00:13.680 --> 00:00:14.880]  為何我突然想到這個題目呢?
[00:00:14.880 --> 00:00:16.080]  就是因為我看了一部韓劇
[00:00:16.080 --> 00:00:17.320]  (笑)
[00:00:17.320 --> 00:00:19.320]  韓劇裡的女主角
[00:00:19.320 --> 00:00:20.920]  有很多不如意的事
[00:00:20.920 --> 00:00:22.080]  有很多不幸的事
[00:00:22.080 --> 00:00:23.920]  發生在她的身上
[00:00:23.920 --> 00:00:25.200]  然後她形容自己
[00:00:25.200 --> 00:00:27.760]  「我是一個災難的存在」
[00:00:27.760 --> 00:00:30.680]  總是有災難在我身邊發生
[00:00:30.680 --> 00:00:32.480]  或者在我生命裡發生
[00:00:32.480 --> 00:00:35.480]  她這樣形容自己
[00:00:35.480 --> 00:00:41.440]  有時候人很容易覺得
[00:00:41.440 --> 00:00:43.400]  自己周遭發生的事
[00:00:43.400 --> 00:00:45.320]  就去認定自己是一個怎樣的人
[00:00:45.320 --> 00:00:47.640]  又或者見到別人
[00:00:47.640 --> 00:00:48.400]  周圍發生的事
[00:00:48.400 --> 00:00:49.480]  或者見到他的生活行為
[00:00:49.480 --> 00:00:53.520]  我們很容易定義這個人是一個怎樣的人
[00:00:53.520 --> 00:00:57.200]  究竟我是一個怎樣的存在呢?
[00:00:57.200 --> 00:01:00.600]  最近我在網上看了一篇文章
[00:01:00.600 --> 00:01:02.600]  是講述年輕人有很多壓力
[00:01:02.600 --> 00:01:06.440]  情緒病、抑鬱症的狀況越來越多
[00:01:06.440 --> 00:01:08.760]  這個標題其實很吸引我
[00:01:08.760 --> 00:01:10.440]  應該說不是吸引
[00:01:10.440 --> 00:01:13.840]  很紮心看到這個標題
[00:01:13.840 --> 00:01:15.840]  它說
[00:01:15.840 --> 00:01:19.160]  「不想活也不敢死」
[00:01:19.160 --> 00:01:21.600]  一個年輕人的心聲
[00:01:21.600 --> 00:01:24.560]  「不想活也不敢死」
[00:01:24.560 --> 00:01:31.800]  如果人只是有這個不想活也不想死的存在
[00:01:31.800 --> 00:01:33.800]  其實真的很痛苦
[00:01:33.800 --> 00:01:34.520]  是嗎?
[00:01:34.520 --> 00:01:36.960]  真的很困難、很痛苦
[00:01:36.960 --> 00:01:38.600]  弟兄姊妹
[00:01:38.600 --> 00:01:42.280]  我們又是一個如何的存在?
[00:01:42.280 --> 00:01:43.880]  作為基督徒的我們
[00:01:43.880 --> 00:01:44.800]  我們都知道
[00:01:44.800 --> 00:01:46.000]  或者我們都很期望
[00:01:46.000 --> 00:01:47.640]  成為一個活出基督
[00:01:47.640 --> 00:01:50.240]  或者活出信仰的存在
[00:01:50.240 --> 00:01:52.880]  是一個很有積極
[00:01:52.880 --> 00:01:56.320]  很有能量、很有生命力
[00:01:56.320 --> 00:01:58.960]  我們的生命行為能夠彰顯神的榮耀
[00:01:58.960 --> 00:02:00.800]  能夠行出神的旨意
[00:02:00.800 --> 00:02:02.800]  我想我們都會這樣期望
[00:02:02.800 --> 00:02:05.160]  上帝都這樣期望我們
[00:02:05.160 --> 00:02:06.560]  但是
[00:02:06.560 --> 00:02:09.840]  我們又怎樣才能做到呢?
[00:02:09.840 --> 00:02:10.720]  又或者
