
[00:00:00.000 --> 00:00:03.720]  今天很想和大家宣講一段經文
[00:00:03.720 --> 00:00:07.000]  就是《創世記》十六章和二十一章
[00:00:07.000 --> 00:00:08.600]  很想和大家分享一個題目
[00:00:08.600 --> 00:00:10.800]  就是神是一個怎樣的神呢?
[00:00:10.800 --> 00:00:12.800]  神就是看顧人的神
[00:00:12.800 --> 00:00:16.600]  很想和大家一起讀這一段經文
[00:00:16.600 --> 00:00:19.200]  因為時間關係
[00:00:19.200 --> 00:00:22.000]  所以我只想和大家讀十六章
[00:00:22.000 --> 00:00:23.200]  選擇了的經文
[00:00:23.200 --> 00:00:25.000]  有三章是PowerPoint的
[00:00:25.000 --> 00:00:27.800]  我想請姐妹先讀
[00:00:27.800 --> 00:00:29.600]  第二章就請弟兄,好嗎?
[00:00:29.600 --> 00:00:32.600]  第三章我們一起讀,可以嗎?
[00:00:32.600 --> 00:00:35.000]  可以吧?好,我們一起來吧
[00:00:35.000 --> 00:00:36.600]  好,姐妹
[00:00:36.600 --> 00:00:39.200]  (文字)阿伯蘭與夏甲親近
[00:00:39.200 --> 00:00:41.400]  夏甲就懷了孕
[00:00:41.400 --> 00:00:43.600]  夏甲見自己有了孕
[00:00:43.600 --> 00:00:46.000]  就興翰他的主母
[00:00:46.000 --> 00:00:48.000]  撒萊對阿伯蘭說
[00:00:48.000 --> 00:00:49.800]  我因你受屈
[00:00:49.800 --> 00:00:53.200]  我把我的婢女送到你的懷中
[00:00:53.200 --> 00:00:55.200]  他見自己有了孕
[00:00:55.200 --> 00:00:56.600]  就興翰我
[00:00:56.600 --> 00:01:00.600]  願耶和華在你我之間主持公道
[00:01:00.600 --> 00:01:02.800]  阿伯蘭對撒萊說
[00:01:02.800 --> 00:01:05.000]  你的婢女在你手中
[00:01:05.000 --> 00:01:08.600]  你看怎樣好就怎樣待她吧
[00:01:08.600 --> 00:01:11.200]  於是撒萊虐待夏甲
[00:01:11.200 --> 00:01:14.800]  他就從撒萊面前逃走了
[00:01:14.800 --> 00:01:16.200]  請弟兄
[00:01:16.200 --> 00:01:17.800]  (文字)你若果愛撒萊
[00:01:17.800 --> 00:01:20.600]  當我愛你,就算你忘記我
[00:01:20.600 --> 00:01:22.400]  就算我得到主子
[00:01:22.400 --> 00:01:24.400]  我都想將你送到你懷中
[00:01:24.400 --> 00:01:27.200]  如同你愛他,就愛他
[00:01:27.200 --> 00:01:29.400]  撒萊對你一樣愛他
[00:01:29.400 --> 00:01:31.000]  你從他來愛我
[00:01:31.000 --> 00:01:32.800]  如同我愛你一樣愛他
[00:01:32.800 --> 00:01:34.200]  (文字)夏甲回答
[00:01:34.200 --> 00:01:38.000]  我從我對著撒萊面前逃走了
[00:01:38.000 --> 00:01:40.600]  耶和華的使者對他說
[00:01:40.600 --> 00:01:43.000]  回到我對著撒萊面前
