
[00:00:00.000 --> 00:00:03.840]  各位電影節目的朋友們,大家好
[00:00:03.840 --> 00:00:08.480]  大家可能不太熟悉我,我先介紹一下我自己,Rex Mok
[00:00:08.480 --> 00:00:13.760]  今天能夠在大家當中分享神的話語,我都很感恩
[00:00:13.760 --> 00:00:16.800]  開始的時候我想問大家一個問題
[00:00:16.800 --> 00:00:22.720]  我想問一下,你身邊的朋友或者同學,其實知不知道你是基督徒?
[00:00:22.720 --> 00:00:26.960]  有些知道,但不是全部都知道
[00:00:26.960 --> 00:00:33.520]  你記不記得他們知道你是基督徒的時候,他們的反應是怎樣的?
[00:00:33.520 --> 00:00:38.240]  他們有沒有反應?
[00:00:38.240 --> 00:00:42.800]  很難說,我告訴你,是怎樣說的
[00:00:42.800 --> 00:00:48.880]  就是我小時候信主的時候,人家一知道我是基督徒的時候
[00:00:48.880 --> 00:00:52.000]  他們的反應就是,你是基督徒?
[00:00:52.000 --> 00:00:55.120]  你真的是基督徒?
[00:00:55.120 --> 00:01:01.680]  或者是另外一些說法就是,你也是基督徒?
[00:01:01.680 --> 00:01:10.720]  這個呢,我想我自己也是一個不解,或者現在去想,其實都可以解釋的
[00:01:10.720 --> 00:01:16.560]  其實就是他們對基督徒有一個印象,然後對你有另一個認識
[00:01:16.560 --> 00:01:20.240]  然後將兩樣東西放在一起的時候,就會有一個落差
[00:01:20.240 --> 00:01:24.160]  然後他們就會有這個反應,你是基督徒?
[00:01:24.160 --> 00:01:29.280]  我都明白的,其實呢,我告訴你一個秘密,到今時今日
[00:01:29.280 --> 00:01:34.400]  我就不是告訴別人我是基督徒,我是告訴別人我是牧師的時候
[00:01:34.400 --> 00:01:37.360]  他們就不會說,你也是牧師?
[00:01:37.360 --> 00:01:42.240]  他們只會用眼神告訴你
[00:01:42.240 --> 00:01:47.360]  哦,對了,有時候呢
[00:01:47.360 --> 00:01:50.560]  人對你是有些期望的
[00:01:50.560 --> 00:01:56.960]  又或者是,我回顧我自己,在我讀書的年日的時候
[00:01:56.960 --> 00:02:00.640]  我相信我是一個都挺癲狂的人
[00:02:00.640 --> 00:02:07.280]  在我的朋友裡面,其實我們都是很喜歡搗蛋,很喜歡玩東西
[00:02:07.280 --> 00:02:10.400]  很喜歡串人,很喜歡亂來,說很多東西
[00:02:10.400 --> 00:02:12.960]  不經大腦就會去說的東西
[00:02:12.960 --> 00:02:16.160]  然後見到有位置就進去
[00:02:16.160 --> 00:02:20.960]  不知道你是不是也是這樣呢?還是情況如何呢?
[00:02:20.960 --> 00:02:23.600]  或者比我更加厲害?還是怎樣?
[00:02:23.600 --> 00:02:27.360]  但是呢,其實呢,別人對你是會有些期望
[00:02:27.360 --> 00:02:33.440]  但其實呢,我相信呢,其實神對我們都是有一些期望
[00:02:33.440 --> 00:02:38.080]  什麼期望呢?其實是在我們的行動上面
[00:02:38.080 --> 00:02:40.960]  其實對我們可能都是有一些期望
[00:02:40.960 --> 00:02:48.960]  今天跟大家去看經文《雅各書》二章十四到二十六節
[00:02:48.960 --> 00:02:53.440]  我們先去看十四到二十節,我們一起去讀吧
[00:02:53.440 --> 00:02:55.040]  好不好?一二三
[00:02:55.040 --> 00:02:56.480]  好,謝謝
[00:02:56.480 --> 00:03:00.400]  我們其實一開始看上半部分的時候
[00:03:00.400 --> 00:03:05.360]  整個段落,一開始的時候其實很明確地說了一樣事情
[00:03:05.360 --> 00:03:11.520]  就是若有人說自己有信心,卻沒有行為,有什麼益處呢?
[00:03:11.520 --> 00:03:14.320]  這個信心能救他嗎?
[00:03:14.320 --> 00:03:18.560]  其實一開始的時候就已經點出了整個主題
[00:03:18.560 --> 00:03:23.520]  就是信心和行為兩樣東西是有關係的
[00:03:23.520 --> 00:03:28.080]  當說有信心的時候,其實意思就是說
[00:03:28.080 --> 00:03:32.240]  你既然說自己是信主,既然你說自己是基督徒的時候
[00:03:32.240 --> 00:03:39.120]  其實有沒有行為?你的行為和你的信的內容有沒有關係?
[00:03:39.120 --> 00:03:40.880]  在這裡他就說了一樣東西
[00:03:40.880 --> 00:03:44.560]  如果沒有這個關係,或者沒有這個行為的時候
[00:03:44.560 --> 00:03:49.120]  那有什麼益處呢?他就不是再說那個益處是什麼
[00:03:49.120 --> 00:03:54.240]  就是這個信心能救他嗎?他就不再說那個行為好不好
[00:03:54.240 --> 00:03:56.640]  而是他又回到信心那裡
[00:03:56.640 --> 00:04:01.600]  就是說你沒有行為,那你就要想一下其實你的信心是如何
[00:04:01.600 --> 00:04:04.800]  你的信心是不是真的相信的?
[00:04:04.800 --> 00:04:10.400]  我們也會知道其實我們相信什麼,或者我們喜歡什麼
