
[00:00:00.000 --> 00:00:02.680]  今天是十二月份的開始
[00:00:02.680 --> 00:00:06.280]  也就是說我們有新的一個月替的開始
[00:00:06.280 --> 00:00:10.960]  而這個月的月替就是「道成肉身」的功課
[00:00:10.960 --> 00:00:14.080]  而我今天要講的講題就是
[00:00:14.080 --> 00:00:16.720]  我寫幾個生活方式
[00:00:16.720 --> 00:00:19.920]  在我先講到這裡 我想問一下大家
[00:00:19.920 --> 00:00:23.240]  不知道大家有沒有留意近幾年裡
[00:00:23.240 --> 00:00:27.080]  其實電視台也有很多真人秀的節目
[00:00:27.080 --> 00:00:30.560]  電台會製作一些活動
[00:00:30.560 --> 00:00:33.240]  透過一些場景、一些任務
[00:00:33.240 --> 00:00:36.520]  讓一些演員自由發揮
[00:00:36.520 --> 00:00:39.160]  當中有《全民造星》
[00:00:39.160 --> 00:00:41.200]  有《調教你MIRROR》
[00:00:41.200 --> 00:00:44.560]  還有近期的《ERROR自爆96小時》
[00:00:44.560 --> 00:00:46.360]  不知道大家有沒有看
[00:00:46.360 --> 00:00:48.960]  我也挺喜歡看這些節目的
[00:00:48.960 --> 00:00:50.440]  我也有看的
[00:00:50.440 --> 00:00:52.160]  而大家知不知道
[00:00:52.160 --> 00:00:55.960]  為什麼這些節目會這麼受歡迎呢?
[00:00:55.960 --> 00:00:58.120]  其實這些節目當中
[00:00:58.120 --> 00:01:02.720]  很多時候是會拍攝一些演員的生活
[00:01:02.720 --> 00:01:06.720]  而每個人的生活風格
[00:01:06.720 --> 00:01:09.840]  都會在鏡頭前展現出來
[00:01:09.840 --> 00:01:14.480]  並且透過節目當中的一些挑戰
[00:01:14.480 --> 00:01:18.960]  他們內心的真實一面就會表露無遺
[00:01:18.960 --> 00:01:21.680]  而在完成任務的過程當中
[00:01:21.680 --> 00:01:26.480]  我們可能會看到人與人之間的衝突
[00:01:26.480 --> 00:01:28.200]  在這些互動當中
[00:01:28.200 --> 00:01:30.400]  他們每個人真實的性格
[00:01:30.400 --> 00:01:33.600]  就會很容易地展示出來
[00:01:33.600 --> 00:01:37.240]  並且過程當中可能會有爭執
[00:01:37.240 --> 00:01:39.280]  可能會有不滿
[00:01:39.280 --> 00:01:43.280]  又或者他們會有一些互相的關心
[00:01:43.280 --> 00:01:45.160]  互相的鼓勵
[00:01:45.160 --> 00:01:48.560]  而當人看到那些真情的流露
[00:01:48.560 --> 00:01:50.760]  人性的展現的時候
[00:01:50.760 --> 00:01:55.160]  其實我們不期然就會被其吸引了
[00:01:55.160 --> 00:01:57.760]  所以其實我們每一個人
[00:01:57.760 --> 00:02:02.280]  原來我們都很喜歡看到人真實的內心掙扎
[00:02:02.280 --> 00:02:04.560]  因為透過這些掙扎當中
[00:02:04.560 --> 00:02:07.640]  我們會產生共鳴
[00:02:07.640 --> 00:02:12.760]  因此這些節目就會吸引我們繼續去觀賞
[00:02:12.760 --> 00:02:14.640]  而我今天要講的講題
[00:02:14.640 --> 00:02:17.520]  就是寫記的生活風格
[00:02:17.520 --> 00:02:19.560]  作為基督徒的我們
[00:02:19.560 --> 00:02:24.080]  我們又在展現一個怎樣的生活風格呢?
[00:02:24.080 --> 00:02:29.160]  寫記是基督徒的一個很重要的特質
[00:02:29.160 --> 00:02:32.520]  我們怎樣才可以將這個
[00:02:32.520 --> 00:02:36.320]  寫記的生活風格展現出來呢?
[00:02:36.320 --> 00:02:37.960]  今天我講到的經文
[00:02:37.960 --> 00:02:42.240]  就是《肥勒比書》的一章27-30節
[00:02:42.240 --> 00:02:43.440]  在講到之先
[00:02:43.440 --> 00:02:47.920]  我先和大家去講一下肥勒比的背景
[00:02:47.920 --> 00:02:52.200]  肥勒比城是在主前的357年
[00:02:52.200 --> 00:02:54.560]  是由亞歷山大大帝的父親
[00:02:54.560 --> 00:02:57.040]  即是馬其頓王 肥力二世
[00:02:57.040 --> 00:02:59.200]  去建立出來的
[00:02:59.200 --> 00:03:02.200]  那裡有很豐富的金銀礦
[00:03:02.200 --> 00:03:05.600]  也是交通的中心
[00:03:05.600 --> 00:03:08.240]  所以肥力二世就將肥勒比城
[00:03:08.240 --> 00:03:11.120]  成為了他一個軍事的據點
[00:03:11.120 --> 00:03:13.880]  直到主前的42年
[00:03:13.880 --> 00:03:17.720]  他們在肥勒比城爆發了一場內戰
[00:03:17.720 --> 00:03:22.440]  最後由奧古士督去戰勝了這場戰爭
[00:03:22.440 --> 00:03:25.240]  並且他去重建這個城
[00:03:25.240 --> 00:03:28.440]  而這個地方就有大量的退伍軍人
[00:03:28.440 --> 00:03:31.000]  去來到這個地方定居
[00:03:31.000 --> 00:03:37.320]  所以肥勒比城有很濃厚的軍事特色
[00:03:37.320 --> 00:03:41.720]  並且肥勒比城成為了羅馬的殖民地
[00:03:41.720 --> 00:03:44.600]  即是說肥勒比的人
[00:03:44.600 --> 00:03:49.240]  他被授予了成為羅馬公民的身份
[00:03:49.240 --> 00:03:53.440]  享有羅馬公民的特別的權利
[00:03:53.440 --> 00:03:55.520]  至於肥勒比的教會
[00:03:55.520 --> 00:03:59.080]  就是保羅在第二次宣教之旅裡
[00:03:59.080 --> 00:04:02.400]  他第一間在歐洲建立的教會
[00:04:02.400 --> 00:04:04.280]  保羅寫這封信的時候
[00:04:04.280 --> 00:04:06.800]  他正值在那裡坐牢
[00:04:06.800 --> 00:04:08.200]  而肥勒比的教會
[00:04:08.200 --> 00:04:10.480]  就在保羅坐牢的時候
[00:04:10.480 --> 00:04:14.920]  他們很大力的支持保羅的福音事供
[00:04:14.920 --> 00:04:17.440]  所以保羅很想透過這封信
[00:04:17.440 --> 00:04:20.960]  去感謝肥勒比的弟兄姊妹
[00:04:20.960 --> 00:04:22.800]  同時保羅也知道
[00:04:22.800 --> 00:04:24.320]  肥勒比的弟兄姊妹
[00:04:24.320 --> 00:04:27.080]  他們面對的處境就是
[00:04:27.080 --> 00:04:30.840]  他們周圍的異教文化的衝擊很大
[00:04:30.840 --> 00:04:37.000]  並且他們那些宗教的逼迫也很多
[00:04:37.000 --> 00:04:38.400]  而最重要的就是
[00:04:38.400 --> 00:04:41.680]  他們教會裡也有紛爭的出現
[00:04:41.680 --> 00:04:44.720]  所以保羅很想透過這封信
[00:04:44.720 --> 00:04:46.920]  去對他們提醒他們
[00:04:46.920 --> 00:04:48.480]  他們除了擁有一個
[00:04:48.480 --> 00:04:51.880]  地上特別的羅馬公民身份之外
[00:04:51.880 --> 00:04:53.720]  其實他們不要忘記
[00:04:53.720 --> 00:04:58.320]  他們在天上也有著一個很特別的身份
[00:04:58.320 --> 00:05:02.000]  所以在這兩個身份之間
