
[00:00:00.000 --> 00:00:03.480]  在聽到之前我們一起有一個禱告
[00:00:03.480 --> 00:00:05.480]  我們同心低頭祈禱
[00:00:05.480 --> 00:00:11.920]  天父幫助我們在這個時間分別出來
[00:00:11.920 --> 00:00:16.280]  我們將生命再一次打開
[00:00:16.280 --> 00:00:18.680]  在你的真理的光照裏面
[00:00:18.680 --> 00:00:23.120]  更加去體察上帝在我們生命裏的心意
[00:00:23.120 --> 00:00:25.720]  也讓你的說話光照我們
[00:00:25.720 --> 00:00:29.680]  讓你的說話成為我們的提醒
[00:00:29.680 --> 00:00:32.680]  以及幫助指引我們在這個世代裏面
[00:00:32.680 --> 00:00:34.520]  我們怎樣為你而活
[00:00:34.520 --> 00:00:35.960]  我們將以下時間
[00:00:35.960 --> 00:00:37.240]  恭敬的交上
[00:00:37.240 --> 00:00:39.160]  願你親自的帶領
[00:00:39.160 --> 00:00:40.360]  我們同心禱告
[00:00:40.360 --> 00:00:42.720]  奉靠耶穌基督得聖名自祈求
[00:00:42.720 --> 00:00:43.720]  阿們
[00:00:43.720 --> 00:00:47.560]  今天講到的題目叫做「機不可失」
[00:00:47.560 --> 00:00:49.560]  大家要留意
[00:00:49.560 --> 00:00:52.360]  「機不可失」後面的標點符號
[00:00:52.360 --> 00:00:55.080]  是有感嘆號或者問號的
[00:00:55.080 --> 00:00:57.720]  即是可以是機不可失
[00:00:57.720 --> 00:00:59.720]  或者是一個問號
[00:00:59.720 --> 00:01:01.720]  是否真的機不可失呢
[00:01:01.720 --> 00:01:03.720]  是兩個不同的意思
[00:01:03.720 --> 00:01:05.720]  不知道弟兄姊妹
[00:01:05.720 --> 00:01:09.200]  你覺得自己是否一個很懂得把握機會的人
[00:01:09.200 --> 00:01:11.200]  有些人搖頭
[00:01:11.200 --> 00:01:12.520]  有些人點頭
[00:01:12.520 --> 00:01:14.520]  香港人其實普遍來說
[00:01:14.520 --> 00:01:17.520]  都是很懂得把握機會的
[00:01:17.520 --> 00:01:25.120]  因為香港人都是在一個相對競爭比較強的社會裏面生存
[00:01:25.120 --> 00:01:27.400]  很多時候都說我們要把握機會
[00:01:27.400 --> 00:01:29.400]  把握機會去賺錢
[00:01:29.400 --> 00:01:32.640]  去建立我們的事業
[00:01:32.640 --> 00:01:34.640]  成功等等
[00:01:34.640 --> 00:01:39.840]  早幾年樓市還是很高漲的時間
[00:01:39.840 --> 00:01:42.840]  大概是2015年左右
[00:01:42.840 --> 00:01:46.840]  當時的樓市還是很熾熱的
[00:01:46.840 --> 00:01:48.840]  當時有一個工種
[00:01:48.840 --> 00:01:51.840]  是很多人都衝過去
[00:01:51.840 --> 00:01:52.840]  湧過去做的
[00:01:52.840 --> 00:01:54.840]  大家知不知道是甚麼工作
[00:01:54.840 --> 00:02:00.480]  樓市熾熱當然是去做樓市的經紀
[00:02:00.480 --> 00:02:04.480]  話說有一個招聘廣告是這樣說的
[00:02:04.480 --> 00:02:06.480]  百萬年薪不是夢
[00:02:06.480 --> 00:02:09.480]  改變人生一刻鐘
[00:02:09.480 --> 00:02:11.480]  這個意思就是
[00:02:11.480 --> 00:02:14.480]  這個是一個招聘地產經紀的廣告
[00:02:14.480 --> 00:02:16.480]  即是說吸引人
[00:02:16.480 --> 00:02:18.480]  你進來做這行
[00:02:18.480 --> 00:02:22.480]  一百萬年薪其實不是一個夢想
[00:02:22.480 --> 00:02:28.480]  改變人生就在於一刻你是否願意進來這個行業
[00:02:28.480 --> 00:02:32.480]  當中寫到是無需經驗的
[00:02:32.480 --> 00:02:34.480]  即場面試
[00:02:34.480 --> 00:02:35.480]  即是很容易的
[00:02:35.480 --> 00:02:40.480]  在那段時間其實都久不久都會有新聞提到
[00:02:40.480 --> 00:02:43.480]  那些地產經紀因為爭客
[00:02:43.480 --> 00:02:47.480]  在樓盤外面有些爭執
[00:02:47.480 --> 00:02:49.480]  甚至是打鬥
[00:02:49.480 --> 00:02:52.480]  那時在這樣的環境裏面
[00:02:52.480 --> 00:02:55.480]  大家都去爭取這些機會
[00:02:55.480 --> 00:02:58.480]  希望透過找到一個客人
[00:02:58.480 --> 00:02:59.480]  買到一層樓
[00:02:59.480 --> 00:03:03.480]  他真是薪金比起一個普通小市民
[00:03:03.480 --> 00:03:06.480]  可能做一年工作的薪金
[00:03:06.480 --> 00:03:08.480]  所以其實當時就是這樣
[00:03:08.480 --> 00:03:10.480]  現在情況就不同了
[00:03:10.480 --> 00:03:13.480]  現在樓市就開始沒那麼好
[00:03:13.480 --> 00:03:17.480]  這個行業又似乎沒那麼多人去做
[00:03:17.480 --> 00:03:19.480]  但無論怎樣都好
[00:03:19.480 --> 00:03:22.480]  香港人就很懂得把握這些機會
[00:03:22.480 --> 00:03:24.480]  社會環境怎樣變
[00:03:24.480 --> 00:03:26.480]  人們就會把握住機會
[00:03:26.480 --> 00:03:29.480]  希望在裏面賺到錢
[00:03:29.480 --> 00:03:31.480]  香港人有一句俗語
[00:03:31.480 --> 00:03:33.480]  「執書行頭」就怎樣
[00:03:33.480 --> 00:03:35.480]  慘過敗家
[00:03:35.480 --> 00:03:38.480]  意思是不要落後於人
[00:03:38.480 --> 00:03:43.480]  落後於人就慘過做一個敗家仔
[00:03:43.480 --> 00:03:49.480]  現在香港很多時候都跟人爭
[00:03:49.480 --> 00:03:51.480]  怕落後誰呢?
[00:03:51.480 --> 00:03:53.480]  落後哪個國家呢?
[00:03:53.480 --> 00:03:55.480]  香港通常都很怕
[00:03:55.480 --> 00:03:56.480]  新加坡嘛
