
[00:00:00.000 --> 00:00:01.600]  很感謝師班
[00:00:01.600 --> 00:00:04.000]  也很感謝我們一群兒童師班
[00:00:04.000 --> 00:00:05.600]  也很感謝我們後面
[00:00:05.600 --> 00:00:07.800]  我們AV的弟兄姊妹
[00:00:07.800 --> 00:00:10.400]  早上星期五晚有位姊妹跟我說
[00:00:10.400 --> 00:00:13.400]  她說現在聽我們所有的
[00:00:13.400 --> 00:00:15.800]  網上的音樂都很不同
[00:00:15.800 --> 00:00:18.000]  因為原來我們後面一群的弟兄
[00:00:18.000 --> 00:00:20.800]  應該我眼望主要是弟兄
[00:00:20.800 --> 00:00:22.000]  可能也有些姊妹
[00:00:22.000 --> 00:00:23.600]  他們做了很多的努力
[00:00:23.600 --> 00:00:25.600]  以致我們在入咪的
[00:00:25.600 --> 00:00:26.400]  在網上聽
[00:00:26.400 --> 00:00:28.400]  在現場聽的聲音都是越來越漂亮
[00:00:28.400 --> 00:00:29.400]  我們給他們掌聲好不好
[00:00:29.400 --> 00:00:31.400]  謝謝大家
[00:00:31.400 --> 00:00:35.400]  多謝主你們的擺上
[00:00:35.400 --> 00:00:39.400]  在今早這個復活節
[00:00:39.400 --> 00:00:42.400]  我是很感恩能夠
[00:00:42.400 --> 00:00:44.400]  我們今早就跟太太一齊
[00:00:44.400 --> 00:00:47.400]  回來這裡我們神土會
[00:00:47.400 --> 00:00:49.400]  我坐的士回來
[00:00:49.400 --> 00:00:50.400]  因為都是比較早一點
[00:00:50.400 --> 00:00:51.400]  我就想不要
[00:00:51.400 --> 00:00:53.400]  因為我下午還要
[00:00:53.400 --> 00:00:55.400]  有機會跟很多香港人一樣
[00:00:55.400 --> 00:00:57.400]  去一些香港人經常去的地方
[00:00:57.400 --> 00:00:59.400]  我再少少探訪
[00:00:59.400 --> 00:01:01.400]  所以我就坐的士回來
[00:01:01.400 --> 00:01:03.400]  帶了一些行李
[00:01:03.400 --> 00:01:04.400]  一路回來的時候
[00:01:04.400 --> 00:01:06.400]  看到一個復活節的分享見證
[00:01:06.400 --> 00:01:08.400]  就是他說火車火馬
[00:01:08.400 --> 00:01:10.400]  等候我們那個日子
[00:01:10.400 --> 00:01:11.400]  是不會遲緩的
[00:01:11.400 --> 00:01:13.400]  我等的士的時候很心急
[00:01:13.400 --> 00:01:14.400]  他說火車火馬
[00:01:14.400 --> 00:01:16.400]  接我們回天家的時候
[00:01:16.400 --> 00:01:17.400]  是不會遲緩的
[00:01:17.400 --> 00:01:19.400]  因為耶穌基督已經為我們死了
[00:01:19.400 --> 00:01:22.400]  我們將會有一個復活的生命
[00:01:22.400 --> 00:01:23.400]  我看見的時候
[00:01:23.400 --> 00:01:25.400]  自己心中很感恩很感動
[00:01:25.400 --> 00:01:27.400]  今天就跟大家分享
[00:01:27.400 --> 00:01:28.400]  我們在星期五晚
[00:01:28.400 --> 00:01:30.400]  用窮盡一生去開始
[00:01:30.400 --> 00:01:33.400]  我們今年整個新的施工的年度
[00:01:33.400 --> 00:01:35.400]  很期望我們能夠在
[00:01:35.400 --> 00:01:37.400]  接下來的日子
[00:01:37.400 --> 00:01:39.400]  我們藉著雅各書去分享
[00:01:39.400 --> 00:01:40.400]  雅各怎麼看貧窮
[00:01:40.400 --> 00:01:41.400]  怎麼看富足
[00:01:41.400 --> 00:01:42.400]  怎麼看貧富不均
[00:01:42.400 --> 00:01:44.400]  我們開始的時候一起祈禱
[00:01:44.400 --> 00:01:46.400]  真愛的耶穌我們多謝你
[00:01:46.400 --> 00:01:48.400]  讓我們在復活的主日
[00:01:48.400 --> 00:01:49.400]  復活的早上
[00:01:49.400 --> 00:01:52.400]  我們能夠相聚在你的面前敬拜你
[00:01:52.400 --> 00:01:53.400]  無論藉著年輕人
[00:01:53.400 --> 00:01:54.400]  無論藉著孩子
