
[00:00:00.000 --> 00:00:04.000]  現在這段時間我們透過神的說話去敬拜祂
[00:00:04.000 --> 00:00:07.000]  剛才是敬拜大帝
[00:00:07.000 --> 00:00:09.000]  我們有一段時間是默想
[00:00:09.000 --> 00:00:11.000]  在我們人生裏面
[00:00:11.000 --> 00:00:14.000]  究竟我們有沒有什麼是懼怕呢?
[00:00:14.000 --> 00:00:16.000]  如果問你
[00:00:16.000 --> 00:00:19.000]  在一生裏面有沒有試過懼怕
[00:00:19.000 --> 00:00:21.000]  我相信基本上
[00:00:21.000 --> 00:00:24.000]  99.99%都會舉手
[00:00:24.000 --> 00:00:27.000]  真的在人生裏面有懼怕過
[00:00:27.000 --> 00:00:29.000]  不過當你面對懼怕
[00:00:29.000 --> 00:00:32.000]  擔憂的時候你會怎樣面對呢?
[00:00:32.000 --> 00:00:35.000]  睡不著?整晚想事情?
[00:00:35.000 --> 00:00:38.000]  還是究竟是用很多方法
[00:00:38.000 --> 00:00:41.000]  人事去解決問題?
[00:00:41.000 --> 00:00:43.000]  不過聖經永遠都給我們有很多
[00:00:43.000 --> 00:00:45.000]  很寶貴的英許
[00:00:45.000 --> 00:00:48.000]  教訓、教導
[00:00:48.000 --> 00:00:51.000]  所以今天很想透過詩篇27篇
[00:00:51.000 --> 00:00:53.000]  跟大家一起分享
[00:00:53.000 --> 00:00:55.000]  不知道這是不是你的經歷
[00:00:55.000 --> 00:00:57.000]  是不是你的確信
[00:00:57.000 --> 00:00:59.000]  讓我們一起低頭祈禱
[00:00:59.000 --> 00:01:03.000]  「使彼有我天父上帝來到你面前的時候
[00:01:03.000 --> 00:01:06.000]  求你親自的恩代幫助我們
[00:01:06.000 --> 00:01:09.000]  讓我們透過你的說話
[00:01:09.000 --> 00:01:12.000]  心得力量、心得安慰
[00:01:12.000 --> 00:01:15.000]  以致有能力繼續走人生的路
[00:01:15.000 --> 00:01:17.000]  直到見主你自己的面」
[00:01:17.000 --> 00:01:19.000]  我們每個人都很軟弱
[00:01:19.000 --> 00:01:23.000]  很有限、不足和有虧欠
[00:01:23.000 --> 00:01:27.000]  但你卻是一位完全的神
[00:01:27.000 --> 00:01:29.000]  你願意幫助我們
[00:01:29.000 --> 00:01:31.000]  願意透過私人大衛的經歷
[00:01:31.000 --> 00:01:33.000]  成為我們今天的幫助
[00:01:33.000 --> 00:01:35.000]  勇敢的、有力量的
[00:01:35.000 --> 00:01:37.000]  繼續走人生的路
[00:01:37.000 --> 00:01:41.000]  願你親自的憐憫、幫助、保守大力
[00:01:41.000 --> 00:01:42.000]  聽我們祈禱
[00:01:42.000 --> 00:01:44.000]  交託奉耶穌名求
[00:01:44.000 --> 00:01:45.000]  阿們
[00:01:45.000 --> 00:01:47.000]  禮拜六早堂
[00:01:47.000 --> 00:01:51.000]  我們童工隊很想透過不同的經文
[00:01:51.000 --> 00:01:53.000]  成為頂尖的幫助
[00:01:53.000 --> 00:01:56.000]  因為九月份開始
[00:01:56.000 --> 00:01:58.000]  我們去到十二左右
