
[00:00:00.000 --> 00:00:05.680]  很開心見到大家,很感謝Daniel和敬拜隊帶領我們來到神的面前
[00:00:05.680 --> 00:00:11.520]  今天來到大家當中,想跟大家講一個題目是關於金錢的
[00:00:11.520 --> 00:00:14.240]  不過開始的時候我們一起禱告,一起祈禱
[00:00:14.240 --> 00:00:18.880]  主求祢自己親自幫助我們,在我們的生命裏面
[00:00:18.880 --> 00:00:22.400]  我們看清我們如何依靠祢,求主祢祝福
[00:00:22.400 --> 00:00:27.520]  引領我們這個講道的時間,讓我們在我們的生命裏面更加親近祢
[00:00:27.520 --> 00:00:31.200]  更加貼近祢,禱告奉主明求,阿門
[00:00:31.200 --> 00:00:34.720]  我不知道大家是否等錢用,或者是否夠錢用
[00:00:34.720 --> 00:00:36.720]  我想跟大家和旁邊那個談一下
[00:00:36.720 --> 00:00:39.920]  如果你問父母拿錢,他們通常有什麼反應?
[00:00:39.920 --> 00:00:44.640]  說一下,聽一下
[00:00:44.640 --> 00:00:49.680]  如果問父母拿錢,通常有什麼反應?
[00:00:49.680 --> 00:00:52.160]  好,我聽一下,剛剛問是嗎?
[00:00:52.160 --> 00:00:53.840]  立刻問,有什麼反應?
[00:00:53.840 --> 00:00:58.160]  剛才聽見說不給,還有什麼?
[00:00:58.160 --> 00:01:00.720]  還有什麼?
[00:01:00.720 --> 00:01:08.000]  多了一個字,不給,是一個信徒的名字
[00:01:08.000 --> 00:01:10.240]  我不知道大家的經歷是怎樣
[00:01:10.240 --> 00:01:12.080]  今天想和大家講一下錢
[00:01:12.080 --> 00:01:17.280]  在互聯網的發展世界裏面,有一種錢叫做虛擬貨幣
[00:01:17.280 --> 00:01:18.800]  我和大家看看
[00:01:18.800 --> 00:01:22.400]  這種虛擬貨幣的升值很快
[00:01:22.400 --> 00:01:27.280]  十年前,一個比特幣值三千元
[00:01:27.280 --> 00:01:32.000]  現在一個比特幣值九十多萬
[00:01:32.000 --> 00:01:35.440]  升得很快,買什麼都升不到這麼快
[00:01:35.440 --> 00:01:37.440]  比特幣有什麼好處?
[00:01:37.440 --> 00:01:40.080]  它沒有任何國家可以監管
[00:01:40.080 --> 00:01:41.360]  我不知道大家有沒有回過深圳
[00:01:41.360 --> 00:01:47.040]  如果你回過深圳,用AliPlay或者微信
[00:01:47.040 --> 00:01:49.200]  其實你的錢去了哪裡,別人會知道
[00:01:49.200 --> 00:01:51.040]  雖然好像是一種虛擬貨幣,大家都知道
[00:01:51.040 --> 00:01:54.880]  但是比特幣的好處,你用了去哪裡,沒有人知道
[00:01:54.880 --> 00:01:56.880]  那些人通常用來做什麼?
[00:01:56.880 --> 00:01:59.360]  用來洗黑錢?
[00:01:59.360 --> 00:02:00.160]  對,沒錯
[00:02:00.160 --> 00:02:03.840]  用來買軍火,你也可以買玩具或者買可樂
[00:02:03.840 --> 00:02:05.120]  不過有些人用來買軍火
[00:02:05.120 --> 00:02:07.120]  有些人很聰明,用到它用來做什麼?
[00:02:07.120 --> 00:02:08.400]  用來支持宣教士
[00:02:08.400 --> 00:02:12.160]  有些地方的宣教士,原來不能夠直接入錢進去
[00:02:12.160 --> 00:02:13.600]  他們用比特幣去支持他
[00:02:13.600 --> 00:02:15.280]  那不得了,都很聰明
[00:02:15.280 --> 00:02:19.760]  原來這個貨幣,為什麼它能夠運行?
[00:02:19.760 --> 00:02:21.760]  因為有足夠的人相信它
[00:02:21.760 --> 00:02:23.920]  有足夠的人相信它
