
[00:00:00.000 --> 00:00:03.980]  在正道之先我們要讀今天的經文
[00:00:03.980 --> 00:00:08.300]  在獵王機上二十一章一至到七節
[00:00:08.300 --> 00:00:12.100]  我們看到 PowerPoint 或者你在你的程序表看到的時候
[00:00:12.100 --> 00:00:14.100]  我們一起重讀 好嗎?
[00:00:14.100 --> 00:00:16.100]  如果大家看到的我們一起讀
[00:00:16.100 --> 00:00:18.100]  預備一二三
[00:00:18.100 --> 00:00:21.100]  這世以後又有一事
[00:00:21.100 --> 00:00:26.600]  耶穌的人拿百載耶穌有一個葡萄園
[00:00:26.600 --> 00:00:30.600]  靠近撒瑪利亞王阿哈宮
[00:00:30.600 --> 00:00:32.600]  阿哈對拿百說
[00:00:32.600 --> 00:00:36.600]  你將你的葡萄園給我作財源
[00:00:36.600 --> 00:00:39.600]  因為是靠近我的宮
[00:00:39.600 --> 00:00:44.600]  我就把更好的葡萄園換給你
[00:00:44.600 --> 00:00:46.600]  或是你要銀子
[00:00:46.600 --> 00:00:50.600]  我就安著價值給你
[00:00:50.600 --> 00:00:52.600]  拿百對阿哈說
[00:00:52.600 --> 00:01:00.600]  我敬畏耶和華萬不敢將我先人留下的產業給你
[00:01:00.600 --> 00:01:03.600]  阿哈因為耶穌的人拿百說
[00:01:03.600 --> 00:01:08.600]  我不敢將我先人留下的產業給你
[00:01:08.600 --> 00:01:13.600]  就悶悶不樂地回宮躺在床上
[00:01:13.600 --> 00:01:17.600]  轉念向來也不吃飯
[00:01:17.600 --> 00:01:21.600]  皇后耶西必來問他說
[00:01:21.600 --> 00:01:27.600]  你為什麼心裡這樣幽悶不吃飯呢?
[00:01:27.600 --> 00:01:28.600]  他回答說
[00:01:28.600 --> 00:01:32.600]  因我向耶穌的人拿百說
[00:01:32.600 --> 00:01:35.600]  你將你的葡萄園給我
[00:01:35.600 --> 00:01:37.600]  我給你價銀
[00:01:37.600 --> 00:01:39.600]  或是你願意
[00:01:39.600 --> 00:01:43.600]  我就把別的葡萄園換給你
[00:01:43.600 --> 00:01:48.600]  他卻說我不將我的葡萄園給你
[00:01:48.600 --> 00:01:51.600]  皇后耶西必對阿哈說
[00:01:51.600 --> 00:01:55.600]  你現在是治理以色列國不是
[00:01:55.600 --> 00:02:00.600]  只管起來心裡悶悶不樂地吃飯
[00:02:00.600 --> 00:02:05.600]  我必將耶穌的人拿百的葡萄園給你
[00:02:05.600 --> 00:02:09.600]  我們同心低頭禱告
[00:02:09.600 --> 00:02:11.600]  神下求你這一刻
[00:02:11.600 --> 00:02:15.600]  你的靈充滿這個會堂
[00:02:15.600 --> 00:02:19.600]  讓每一位弟兄姊妹都被你得著
[00:02:19.600 --> 00:02:22.600]  又願意我們預備自己的心
[00:02:22.600 --> 00:02:24.600]  盛載你的說話
[00:02:24.600 --> 00:02:26.600]  將你的說話不單止聽進去
[00:02:26.600 --> 00:02:28.600]  我們願意行出來
[00:02:28.600 --> 00:02:30.600]  求你與我們同在
[00:02:30.600 --> 00:02:32.600]  多謝你聽我們的禱告
[00:02:32.600 --> 00:02:35.600]  祈禱感恩交託奉主耶穌基督
[00:02:35.600 --> 00:02:36.600]  聖靈祈求
[00:02:36.600 --> 00:02:39.600]  阿們
[00:02:39.600 --> 00:02:40.600]  弟兄姊妹
[00:02:40.600 --> 00:02:43.600]  現在的樓價高不高企呀?
[00:02:43.600 --> 00:02:45.600]  很高呀
[00:02:45.600 --> 00:02:49.600]  要擁有一個安樂窩容易嗎?
[00:02:49.600 --> 00:02:51.600]  不容易吧
[00:02:51.600 --> 00:02:52.600]  有些人說很容易
[00:02:52.600 --> 00:02:55.600]  都是為你感恩
[00:02:55.600 --> 00:02:58.600]  如果你有家人想買樓
[00:02:58.600 --> 00:02:59.600]  又不夠錢
[00:02:59.600 --> 00:03:02.600]  你會不會幫他?
[00:03:02.600 --> 00:03:04.600]  哦
[00:03:04.600 --> 00:03:05.600]  相當好
[00:03:05.600 --> 00:03:08.600]  我看看弟兄姊妹在哪
[00:03:08.600 --> 00:03:13.600]  你會不會運用你的財力權力
[00:03:13.600 --> 00:03:16.600]  想想辦法幫他呢?
[00:03:16.600 --> 00:03:18.600]  又會
[00:03:18.600 --> 00:03:20.600]  兩邊都好
[00:03:20.600 --> 00:03:22.600]  今年二月有一位媽媽
[00:03:22.600 --> 00:03:25.600]  她用了大兒子放在家裡
[00:03:25.600 --> 00:03:28.600]  隔萬的三百五十萬金幣
[00:03:28.600 --> 00:03:31.600]  幫小兒子交首期
[00:03:31.600 --> 00:03:37.600]  大兒子知道之後很震驚
[00:03:37.600 --> 00:03:40.600]  他和父母吵架
[00:03:40.600 --> 00:03:45.600]  但被爸爸拿著刀威嚇趕他走
[00:03:45.600 --> 00:03:47.600]  可能你會覺得
[00:03:47.600 --> 00:03:51.600]  這對父母非常偏心
[00:03:51.600 --> 00:03:53.600]  很離譜
[00:03:53.600 --> 00:03:57.600]  原來當人擁有權力的時候
[00:03:57.600 --> 00:03:59.600]  如果不加以管制
[00:03:59.600 --> 00:04:01.600]  就會出現濫用權力
[00:04:01.600 --> 00:04:04.600]  後果非常嚴重
[00:04:04.600 --> 00:04:08.600]  甚至會帶來災難性的破壞
[00:04:08.600 --> 00:04:11.600]  現今的世代是如此
[00:04:11.600 --> 00:04:13.600]  在以色列國
[00:04:13.600 --> 00:04:15.600]  列王的時代
[00:04:15.600 --> 00:04:17.600]  又會不會有例外呢?
[00:04:17.600 --> 00:04:25.600]  還是更加令人無法接受呢?
[00:04:25.600 --> 00:04:27.600]  剛才我們讀出的經文
[00:04:27.600 --> 00:04:29.600]  我們先看看第四第五節
[00:04:29.600 --> 00:04:31.600]  當皇后爺洗別
[00:04:31.600 --> 00:04:33.600]  她知道阿蝦不肯吃飯的時候
[00:04:33.600 --> 00:04:36.600]  她就進入阿蝦的寢室
[00:04:36.600 --> 00:04:38.600]  見到阿蝦黃了
[00:04:38.600 --> 00:04:40.600]  並且很關心的問阿蝦
[00:04:40.600 --> 00:04:42.600]  為什麼你悶悶不樂
[00:04:42.600 --> 00:04:45.600]  睡在床上做什麼呢?
[00:04:45.600 --> 00:04:49.600]  又把臉朝向裡面
[00:04:49.600 --> 00:04:51.600]  像不像小孩子
[00:04:51.600 --> 00:04:53.600]  想買玩具
[00:04:53.600 --> 00:04:55.600]  被父母拒絕之後
[00:04:55.600 --> 00:04:57.600]  把臉翻起來
[00:04:57.600 --> 00:04:59.600]  氣得臉都長了
[00:04:59.600 --> 00:05:02.600]  我不吃飯了
[00:05:02.600 --> 00:05:05.600]  接著阿蝦就說
[00:05:05.600 --> 00:05:08.600]  因為我向耶穌列人那伯說
[00:05:08.600 --> 00:05:10.600]  你把你的葡萄園給我
[00:05:10.600 --> 00:05:12.600]  我就給你價銀
[00:05:12.600 --> 00:05:14.600]  或者你願意
[00:05:14.600 --> 00:05:17.600]  我就把另一個葡萄園換給你
[00:05:17.600 --> 00:05:18.600]  但是她說什麼呢?
[00:05:18.600 --> 00:05:22.600]  我不把我的葡萄園給你
[00:05:22.600 --> 00:05:25.600]  在皇后爺洗別聽完阿蝦說的時候
[00:05:25.600 --> 00:05:29.600]  她在第七節就安慰阿蝦
[00:05:29.600 --> 00:05:34.600]  說你現在不是統治以色列國的王嗎?
[00:05:34.600 --> 00:05:36.600]  其實你有權力
[00:05:36.600 --> 00:05:39.600]  在你所管治的地方
[00:05:39.600 --> 00:05:41.600]  在以色列民身上
[00:05:41.600 --> 00:05:44.600]  取得你想要的東西
[00:05:44.600 --> 00:05:46.600]  哇!厲害吧!
[00:05:46.600 --> 00:05:49.600]  很厲害啊!這句話
[00:05:49.600 --> 00:05:52.600]  所以耶洗別就命令阿蝦
[00:05:52.600 --> 00:05:54.600]  他說你立即起來
[00:05:54.600 --> 00:05:56.600]  不要在這裡發愁
[00:05:56.600 --> 00:05:58.600]  快點去吃飯吧
[00:05:58.600 --> 00:06:01.600]  而且他胸有成竹地跟他說
