
[00:00:00.000 --> 00:00:02.000]  我聽到是永康,真好
[00:00:02.000 --> 00:00:04.000]  有些人記得
[00:00:04.000 --> 00:00:06.000]  不知道大家有沒有試過
[00:00:06.000 --> 00:00:08.000]  其實寧願修,查完經
[00:00:08.000 --> 00:00:10.000]  聽完道之後
[00:00:10.000 --> 00:00:12.000]  其實轉個頭就不記得了
[00:00:12.000 --> 00:00:16.000]  會吧?其實我都會是這樣
[00:00:16.000 --> 00:00:18.000]  不過
[00:00:18.000 --> 00:00:20.000]  其實我都會
[00:00:20.000 --> 00:00:22.000]  在這裏
[00:00:22.000 --> 00:00:24.000]  在這裏
[00:00:24.000 --> 00:00:26.000]  在這裏
[00:00:26.000 --> 00:00:28.000]  在這裏
[00:00:28.000 --> 00:00:30.000]  我都會這樣
[00:00:30.000 --> 00:00:32.000]  有時我會想
[00:00:32.000 --> 00:00:34.000]  為何會這樣呢?
[00:00:34.000 --> 00:00:36.000]  為何呢?
[00:00:36.000 --> 00:00:38.000]  好像留在我心裏的道
[00:00:38.000 --> 00:00:40.000]  好像一點都
[00:00:40.000 --> 00:00:42.000]  不是很多
[00:00:42.000 --> 00:00:44.000]  有時還是
[00:00:44.000 --> 00:00:46.000]  我想起漏斗
[00:00:46.000 --> 00:00:50.000]  好像一邊聽道
[00:00:50.000 --> 00:00:52.000]  一邊靈修,一邊查完經
[00:00:52.000 --> 00:00:54.000]  沒多久就像漏斗一樣
[00:00:56.000 --> 00:00:58.000]  漏斗就好像
[00:00:58.000 --> 00:01:00.000]  漏走了一樣
[00:01:00.000 --> 00:01:02.000]  究竟留在心裏
[00:01:02.000 --> 00:01:04.000]  有多少呢?
[00:01:04.000 --> 00:01:06.000]  除了因為
[00:01:06.000 --> 00:01:08.000]  年紀大了,記性差了
[00:01:08.000 --> 00:01:10.000]  這個原因之外
[00:01:10.000 --> 00:01:12.000]  有沒有其他的原因
[00:01:12.000 --> 00:01:14.000]  令到上帝的道
[00:01:14.000 --> 00:01:16.000]  聽了那麼多,看了那麼多
[00:01:16.000 --> 00:01:18.000]  但又入不到心裏
[00:01:18.000 --> 00:01:20.000]  留不下的呢?
[00:01:20.000 --> 00:01:24.000]  今天我們很想看看
[00:01:24.000 --> 00:01:26.000]  亞國書
[00:01:26.000 --> 00:01:28.000]  是主耶穌的親弟弟
[00:01:28.000 --> 00:01:30.000]  亞國所寫的
[00:01:30.000 --> 00:01:32.000]  亞國是一個實用主義者
[00:01:32.000 --> 00:01:34.000]  他一針見血地指出
