
[00:00:00.000 --> 00:00:03.320]  今天是2024年的第一個主日
[00:00:03.320 --> 00:00:06.520]  很開心可以在這裡跟大家分享神的話語
[00:00:06.520 --> 00:00:08.680]  願在2024年
[00:00:08.680 --> 00:00:13.400]  我們立志一起紮根在神的話當中
[00:00:13.400 --> 00:00:15.480]  願聖賢去塗造我們
[00:00:15.480 --> 00:00:16.760]  更新我們
[00:00:16.760 --> 00:00:21.840]  我們繼續進入到五經人物的講道系列
[00:00:21.840 --> 00:00:25.160]  今天我們會講到文素記十六章
[00:00:25.160 --> 00:00:28.920]  是關於領袖可拉一黨叛亂的記載
[00:00:28.920 --> 00:00:30.760]  是一段非常戲劇性
[00:00:30.760 --> 00:00:34.600]  但亦是一段非常慘痛的記載
[00:00:34.600 --> 00:00:37.560]  我想跟大家一起去
[00:00:37.560 --> 00:00:38.800]  經文很長
[00:00:38.800 --> 00:00:40.360]  我們只是讀部分
[00:00:40.360 --> 00:00:43.840]  我們一起去到第十六章的一至三節
[00:00:43.840 --> 00:00:45.720]  我們慢慢一起讀出來
[00:00:45.720 --> 00:00:48.640]  尼微的真孫
[00:00:48.640 --> 00:00:50.640]  哥核的孫子
[00:00:50.640 --> 00:00:53.360]  以斯哈的兒子可拉
[00:00:53.360 --> 00:00:55.840]  連同裡面子孫中
[00:00:55.840 --> 00:00:58.640]  以尼亞的兒子大丹
[00:00:58.640 --> 00:01:00.160]  和海一
[00:01:00.160 --> 00:01:02.920]  以希臘的兒子可拉
[00:01:02.920 --> 00:01:07.480]  大了以色列人中的250個領袖
[00:01:07.480 --> 00:01:09.320]  就是有名望
[00:01:09.320 --> 00:01:12.280]  從會眾中選出來的人
[00:01:12.280 --> 00:01:15.760]  在摩西面前一同起來
[00:01:15.760 --> 00:01:19.200]  聚集攻擊摩西亞論說
[00:01:19.200 --> 00:01:21.440]  你們太過分了
[00:01:21.440 --> 00:01:24.640]  全會眾人人都成為聖
[00:01:24.640 --> 00:01:27.680]  耶和華也在他們中間
[00:01:27.680 --> 00:01:30.560]  你們為什麼抬高自己
[00:01:30.560 --> 00:01:33.800]  在耶和華眾之上呢?
[00:01:33.800 --> 00:01:37.000]  就是在毫無預警之下
[00:01:37.000 --> 00:01:39.840]  突然之間叛亂就是這樣發生
[00:01:39.840 --> 00:01:41.440]  以可拉為首
[00:01:41.440 --> 00:01:43.680]  和裡面的子孫大丹
[00:01:43.680 --> 00:01:44.880]  阿比蘭安
[00:01:44.880 --> 00:01:47.920]  和250名有名望的領袖
[00:01:47.920 --> 00:01:51.560]  他們一起聚集攻擊摩西亞論
[00:01:51.560 --> 00:01:54.760]  可拉是誰呢?
[00:01:54.760 --> 00:01:56.400]  就在第一節說了
[00:01:56.400 --> 00:01:57.840]  他就是尼微的曾孫
[00:01:57.840 --> 00:01:59.120]  高赫的孫子
[00:01:59.120 --> 00:02:01.240]  以哈斯的兒子
[00:02:01.240 --> 00:02:03.160]  我想大家看看這幅圖
[00:02:03.160 --> 00:02:07.600]  黃色圈著的就是可拉
[00:02:07.600 --> 00:02:13.240]  在家族譜系圖的左邊
[00:02:13.240 --> 00:02:14.640]  就是摩西亞論
[00:02:14.640 --> 00:02:17.800]  可拉和摩西亞論是什麼關係呢?
[00:02:17.800 --> 00:02:19.680]  屬於堂兄弟嗎?
[00:02:19.680 --> 00:02:20.600]  類似吧
[00:02:20.600 --> 00:02:25.680]  其實他們都是屬於平輩
[00:02:25.680 --> 00:02:27.800]  都是尼微之派
[00:02:27.800 --> 00:02:28.840]  高赫族
[00:02:28.840 --> 00:02:32.320]  根據《文素記》第3、4章記載
[00:02:32.320 --> 00:02:35.800]  神選擇了亞論和他的兒子
[00:02:35.800 --> 00:02:37.160]  擔當祭司
[00:02:37.160 --> 00:02:40.000]  而尼微之派其他人是做什麼的呢?
[00:02:40.000 --> 00:02:41.600]  就是祭司的助手
[00:02:41.600 --> 00:02:46.160]  祭司負責獻祭、獻香
[00:02:46.160 --> 00:02:48.520]  也作神和人的忠報
[00:02:48.520 --> 00:02:51.800]  而其他尼微人是做什麼的呢?
[00:02:51.800 --> 00:02:53.920]  就是祭司的助手
[00:02:53.920 --> 00:02:59.240]  幫祭司打點、回末一切的事件
[00:02:59.240 --> 00:03:01.320]  身為尼微人的可拉
[00:03:01.320 --> 00:03:04.160]  現在他聯同250個有名望的領袖
[00:03:04.160 --> 00:03:06.840]  一起攻擊、指責摩西亞論
[00:03:06.840 --> 00:03:08.320]  指責他什麼呢?
[00:03:08.320 --> 00:03:09.440]  剛才我們讀過了
[00:03:09.440 --> 00:03:11.440]  就是你們太過分了
[00:03:11.440 --> 00:03:12.640]  過分在於什麼呢?
[00:03:12.640 --> 00:03:15.440]  就是全會眾人人都成為聖
[00:03:15.440 --> 00:03:17.760]  耶和華都在所有人的中間
[00:03:17.760 --> 00:03:19.880]  為什麼你們抬高自己
[00:03:19.880 --> 00:03:23.040]  在耶和華會眾之上呢?
[00:03:23.040 --> 00:03:26.360]  這個指控合不合理呢?
[00:03:26.360 --> 00:03:28.240]  有自合理有自不合理
[00:03:28.240 --> 00:03:30.840]  的確整群的以色列民
[00:03:30.840 --> 00:03:34.440]  他們都已經歸耶和華為聖
[00:03:34.440 --> 00:03:36.520]  但是摩西亞論
[00:03:36.520 --> 00:03:39.360]  又的確在侍奉的崗位上
[00:03:39.360 --> 00:03:41.320]  是高於會眾
[00:03:41.320 --> 00:03:45.400]  不過他們先至做祭司這個職份
[00:03:45.400 --> 00:03:47.320]  其實不是他自己要的
[00:03:47.320 --> 00:03:48.920]  是誰要的?
[00:03:48.920 --> 00:03:51.040]  是神揀選他的
[00:03:51.040 --> 00:03:52.320]  所以神揀選他
[00:03:52.320 --> 00:03:53.840]  他們就做
[00:03:53.840 --> 00:03:57.360]  所以似乎可拉的指控並不成立
[00:03:57.360 --> 00:04:00.040]  究竟可拉想吵什麼呢?
[00:04:00.040 --> 00:04:01.440]  不滿什麼呢?
[00:04:01.440 --> 00:04:04.440]  實際上他想得到什麼呢?
[00:04:04.440 --> 00:04:05.600]  我們看看
[00:04:05.600 --> 00:04:07.800]  當可拉指責摩西亞論
