
[00:00:00.000 --> 00:00:02.000]  第一次回教會聚會的有新朋友
[00:00:02.000 --> 00:00:04.000]  請你起身
[00:00:04.000 --> 00:00:06.000]  給我們用掌聲歡迎你們
[00:00:06.000 --> 00:00:08.000]  有沒有呢?
[00:00:08.000 --> 00:00:12.000]  全部都是舊朋友
[00:00:12.000 --> 00:00:14.000]  好,我們彼此歡迎
[00:00:14.000 --> 00:00:16.000]  然後就有一個
[00:00:16.000 --> 00:00:18.000]  新朋友
[00:00:18.000 --> 00:00:20.000]  請你起身
[00:00:20.000 --> 00:00:22.000]  請你用掌聲歡迎
[00:00:22.000 --> 00:00:24.000]  請你起身
[00:00:24.000 --> 00:00:26.000]  請你起身
[00:00:26.000 --> 00:00:28.000]  請你起身
[00:00:28.000 --> 00:00:30.000]  彼此歡迎
[00:00:30.000 --> 00:00:32.000]  然後就有彼此歡迎
[00:00:32.000 --> 00:00:38.000]  今日講題是榮耀的盼望
[00:00:38.000 --> 00:00:42.000]  不知道大家有沒有發現
[00:00:42.000 --> 00:00:44.000]  近年多了很多人
[00:00:44.000 --> 00:00:46.000]  多了很多焦慮
[00:00:46.000 --> 00:00:48.000]  和懼怕這些情緒問題
[00:00:48.000 --> 00:00:52.000]  最近看了一份報告
[00:00:52.000 --> 00:00:54.000]  調查報告
[00:00:56.000 --> 00:00:58.000]  東華學院和香港心理衛生會
[00:00:58.000 --> 00:01:00.000]  在去年第三季
[00:01:00.000 --> 00:01:02.000]  用問卷訪問了五百多人
[00:01:02.000 --> 00:01:04.000]  研究採用醫院的焦慮
[00:01:04.000 --> 00:01:06.000]  和抑鬱的量度表
[00:01:06.000 --> 00:01:08.000]  來評估
[00:01:08.000 --> 00:01:10.000]  原來有近半受訪者
[00:01:10.000 --> 00:01:12.000]  有抑鬱或焦慮的風險
[00:01:12.000 --> 00:01:14.000]  令受訪者最憂慮的情況
[00:01:14.000 --> 00:01:16.000]  有三項
[00:01:16.000 --> 00:01:18.000]  第一是失去個人自由
[00:01:18.000 --> 00:01:20.000]  第二是疫情失控
[00:01:20.000 --> 00:01:22.000]  第三是全球經濟崩潰
[00:01:22.000 --> 00:01:24.000]  第四是全球經濟崩潰
[00:01:24.000 --> 00:01:26.000]  高危群組中
[00:01:26.000 --> 00:01:28.000]  有不足四成人士
[00:01:28.000 --> 00:01:30.000]  有意欲主動求助
[00:01:30.000 --> 00:01:32.000]  為甚麼呢
[00:01:32.000 --> 00:01:34.000]  為甚麼不求助呢
[00:01:34.000 --> 00:01:36.000]  我相信以上的問題
[00:01:36.000 --> 00:01:38.000]  我們教會
[00:01:38.000 --> 00:01:40.000]  都不可以免疫
[00:01:40.000 --> 00:01:42.000]  都會有弟兄姊妹
[00:01:42.000 --> 00:01:44.000]  面對這些困境
[00:01:44.000 --> 00:01:46.000]  不過我們信仰中
[00:01:46.000 --> 00:01:48.000]  有另一條路可以走
[00:01:48.000 --> 00:01:50.000]  我們不需要
[00:01:50.000 --> 00:01:52.000]  去抗爭
[00:01:52.000 --> 00:01:54.000]  我們
[00:01:54.000 --> 00:01:56.000]  無需逃避
[00:01:56.000 --> 00:01:58.000]  亦不需要隱藏自己
[00:01:58.000 --> 00:02:00.000]  不去求助
[00:02:00.000 --> 00:02:02.000]  所以拍王今天透過經文
[00:02:02.000 --> 00:02:04.000]  馬可福音第十六章的經文
[00:02:04.000 --> 00:02:06.000]  看主耶穌基督的復活
[00:02:06.000 --> 00:02:08.000]  時跡
[00:02:08.000 --> 00:02:10.000]  帶給我們甚麼盼望
[00:02:10.000 --> 00:02:12.000]  希望當我們面對
[00:02:12.000 --> 00:02:14.000]  這些周遭困境的時候
[00:02:14.000 --> 00:02:16.000]  我們可以摸索到一條出路
[00:02:16.000 --> 00:02:18.000]  我們先一同禱告
[00:02:18.000 --> 00:02:24.000]  主耶穌我們再一次感謝
[00:02:24.000 --> 00:02:26.000]  感謝祢的救贖恩典
