
[00:00:00.000 --> 00:00:03.640]  這段經文發生在什麼時間呢?
[00:00:03.640 --> 00:00:07.240]  但是我一說你們都知道
[00:00:07.240 --> 00:00:08.680]  你會看到一點背景
[00:00:08.680 --> 00:00:11.940]  其實耶穌在前一天
[00:00:11.940 --> 00:00:13.240]  在做什麼事呢?
[00:00:13.240 --> 00:00:15.740]  我們可以看回之前的經文
[00:00:15.740 --> 00:00:17.140]  在第十九章裡面
[00:00:17.140 --> 00:00:21.040]  其實有一天就是耶穌被釘十字架的時間
[00:00:21.040 --> 00:00:25.740]  有一位亞利馬泰的約瑟
[00:00:25.740 --> 00:00:30.540]  去拿回耶穌基督的遺體去安葬
[00:00:30.540 --> 00:00:33.440]  時間一天就到今天二十章
[00:00:33.440 --> 00:00:34.640]  七天的第一天
[00:00:34.640 --> 00:00:36.640]  就是主隔了一天
[00:00:36.640 --> 00:00:39.040]  三天後復活的星期天
[00:00:39.040 --> 00:00:40.940]  星期天一早的清晨
[00:00:40.940 --> 00:00:43.340]  有一位莫大拉的瑪利亞
[00:00:43.340 --> 00:00:45.840]  去到耶穌的墳前
[00:00:45.840 --> 00:00:49.140]  看到那塊大石已經被拿走了
[00:00:49.140 --> 00:00:51.440]  然後他就去找一群門徒
[00:00:51.440 --> 00:00:53.740]  一起去看看什麼事
[00:00:53.740 --> 00:00:56.840]  他們一起在墓穴前面
[00:00:56.840 --> 00:01:03.240]  發現墓穴裡面只剩下包著耶穌遺體的一個細麻布
[00:01:03.240 --> 00:01:07.140]  而耶穌的遺體又不見了
[00:01:07.140 --> 00:01:11.640]  瑪利亞當時就在墓穴門口哭泣
[00:01:11.640 --> 00:01:14.140]  耶穌基督向他顯現
[00:01:14.140 --> 00:01:18.240]  瑪利亞就將耶穌顯現這件事
[00:01:18.240 --> 00:01:20.040]  告訴門徒
[00:01:20.040 --> 00:01:22.240]  而且耶穌基督跟他說的話
[00:01:22.240 --> 00:01:24.240]  也跟門徒說
[00:01:24.240 --> 00:01:29.440]  然後就到了當天晚上
[00:01:29.440 --> 00:01:32.240]  星期天的晚上
[00:01:32.240 --> 00:01:34.740]  一群門徒聚集在一起
[00:01:34.740 --> 00:01:36.440]  他們很緊張
[00:01:36.440 --> 00:01:39.440]  猶太人的宗教領袖去抓他們
[00:01:39.440 --> 00:01:45.040]  他們在房子裡將門好好地鎖住了
[00:01:45.040 --> 00:01:46.540]  那時候
[00:01:46.540 --> 00:01:49.240]  我估計相信他們是一起祈禱的
[00:01:49.240 --> 00:01:52.640]  耶穌基督就在他們中間顯現了出來
[00:01:52.640 --> 00:01:54.840]  跟他們打個招呼
[00:01:54.840 --> 00:01:57.240]  願你們平安
[00:01:57.240 --> 00:02:00.640]  如果突然間你們跟領袖開個組
[00:02:00.640 --> 00:02:02.040]  不要說耶穌基督顯現
[00:02:02.040 --> 00:02:03.740]  有個人進來你也害怕
[00:02:03.740 --> 00:02:05.040]  但是
[00:02:05.040 --> 00:02:08.440]  話說講了這句話打個招呼之後
[00:02:08.440 --> 00:02:13.840]  耶穌就將他的手的釘痕
[00:02:13.840 --> 00:02:16.840]  和立旁被刺傷的傷口
[00:02:16.840 --> 00:02:19.640]  就被門徒去看了
[00:02:19.640 --> 00:02:22.140]  那群門徒看到
[00:02:22.140 --> 00:02:23.440]  原來是耶穌基督
[00:02:23.440 --> 00:02:25.640]  他們就非常開心
[00:02:25.640 --> 00:02:26.640]  最後
[00:02:26.640 --> 00:02:30.240]  那群門徒領受了耶穌基督的差遣和聖靈
[00:02:30.240 --> 00:02:33.440]  耶穌基督就離開了
[00:02:33.440 --> 00:02:34.940]  就是當時
[00:02:34.940 --> 00:02:37.640]  但是當時耶穌基督顯現的時候
[00:02:37.640 --> 00:02:39.840]  今天的主角多瑪
[00:02:39.840 --> 00:02:41.440]  沒有跟那群門徒一起
[00:02:41.440 --> 00:02:45.640]  當時沒有跟他們一起
[00:02:45.640 --> 00:02:48.640]  其他門徒就將耶穌顯現的事情
[00:02:48.640 --> 00:02:50.040]  就跟多瑪說
