
[00:00:00.000 --> 00:00:02.000]  各位大英姐妹早安
[00:00:02.000 --> 00:00:04.000]  今天是年初幾呀?
[00:00:04.000 --> 00:00:07.000]  嘩!大家好醒目呀!
[00:00:07.000 --> 00:00:09.000]  今天已經是去到正月十二了
[00:00:09.000 --> 00:00:12.000]  我不知道大家如果在座議婚人士呢
[00:00:12.000 --> 00:00:15.000]  你預定要派的利是錢派了沒有呀?
[00:00:15.000 --> 00:00:18.000]  應該都七七八八了,是不是呀?
[00:00:18.000 --> 00:00:22.000]  其實傳統認為正月十五,即元宵之前
[00:00:22.000 --> 00:00:24.000]  其實都屬於新征頭
[00:00:24.000 --> 00:00:26.000]  其實都是要派利是的
[00:00:26.000 --> 00:00:29.000]  不過每逢過年頭的十五日
[00:00:29.000 --> 00:00:31.000]  我老公都會期間限定地
[00:00:31.000 --> 00:00:34.000]  自稱自己為非利是人
[00:00:34.000 --> 00:00:36.000]  即是不派利是的人
[00:00:36.000 --> 00:00:38.000]  很可惜我不是呀
[00:00:38.000 --> 00:00:40.000]  他那份我都派了
[00:00:40.000 --> 00:00:43.000]  無論如何我都先祝福大家
[00:00:43.000 --> 00:00:44.000]  在這個新一年裏面
[00:00:44.000 --> 00:00:47.000]  能夠有健康、平安、喜樂
[00:00:47.000 --> 00:00:49.000]  和有主的恩典
[00:00:49.000 --> 00:00:51.000]  願主都上與大家同在
[00:00:51.000 --> 00:00:54.000]  在這個農曆新年裏面
[00:00:54.000 --> 00:00:55.000]  剛才很好呀
[00:00:55.000 --> 00:00:58.000]  我們領事的主席都帶領著我們
[00:00:58.000 --> 00:00:59.000]  互相祝福的時間
[00:00:59.000 --> 00:01:01.000]  你會不會發現一到新年
[00:01:01.000 --> 00:01:03.000]  我們就充滿祝福的了
[00:01:03.000 --> 00:01:05.000]  的確中國人真的充滿祝福
[00:01:05.000 --> 00:01:07.000]  彼此互相祝賀、揮春
[00:01:07.000 --> 00:01:08.000]  無論如何
[00:01:08.000 --> 00:01:11.000]  我們人人都很想得到福氣
[00:01:11.000 --> 00:01:13.000]  不過今天
[00:01:13.000 --> 00:01:16.000]  很想和大家從聖經裏面看福氣
[00:01:16.000 --> 00:01:17.000]  其實聖經裏面有不少地方
[00:01:17.000 --> 00:01:19.000]  都談及到關於福氣的
[00:01:19.000 --> 00:01:21.000]  不過我們特別來看新約
[00:01:21.000 --> 00:01:23.000]  在新約裏面原來出現了
[00:01:23.000 --> 00:01:27.000]  有福的描述形容詞
[00:01:27.000 --> 00:01:29.000]  大家猜到多少次嗎
[00:01:29.000 --> 00:01:31.000]  讓大家看看
[00:01:31.000 --> 00:01:33.000]  螢幕裏面顯示出一個表
[00:01:33.000 --> 00:01:35.000]  原來有50次
[00:01:35.000 --> 00:01:37.000]  主要集中在福音書
[00:01:37.000 --> 00:01:38.000]  也是出自耶穌的口
[00:01:38.000 --> 00:01:41.000]  大部分都集中在耶穌教導裏面
[00:01:41.000 --> 00:01:44.000]  說什麼人怎樣可以有福
[00:01:44.000 --> 00:01:47.000]  不過如果說到耶穌親口
[00:01:47.000 --> 00:01:50.000]  去稱讚一個人有福
[00:01:50.000 --> 00:01:52.000]  相信大概只有一個
[00:01:52.000 --> 00:01:54.000]  知不知道是誰
[00:01:54.000 --> 00:01:58.000]  那個就是今天我們會說到的
[00:01:58.000 --> 00:01:59.000]  西門彼得
[00:01:59.000 --> 00:02:01.000]  讓我們進入今天說到的經文
[00:02:01.000 --> 00:02:04.000]  《馬太福音》16章13-20節
[00:02:04.000 --> 00:02:06.000]  我想大家也可以
[00:02:06.000 --> 00:02:07.000]  如果手上有程序表
[00:02:07.000 --> 00:02:08.000]  可以看程序表的經文
[00:02:08.000 --> 00:02:09.000]  或者螢幕上
[00:02:09.000 --> 00:02:12.000]  我們先來讀出這段經文
[00:02:12.000 --> 00:02:15.000]  很願意藉著今天這段經文
