
[00:00:00.000 --> 00:00:02.000]  青年姐妹平安
[00:00:02.000 --> 00:00:07.000]  願我們將我們身心全面奉獻
[00:00:07.000 --> 00:00:11.000]  前一陣子和Oaken一起上網煲劇
[00:00:11.000 --> 00:00:14.000]  有一套很好看的
[00:00:14.000 --> 00:00:16.000]  很有深度
[00:00:16.000 --> 00:00:19.000]  情感的糾結拍得很厲害
[00:00:19.000 --> 00:00:23.000]  這套叫做《以家人之名》
[00:00:23.000 --> 00:00:26.000]  《以家人之名》你也可以上網看
[00:00:26.000 --> 00:00:33.000]  這個故事講到有三個來自原生家庭不同的孩子
[00:00:33.000 --> 00:00:37.000]  他們的原生家庭都有很多的缺失
[00:00:37.000 --> 00:00:45.000]  這三個小孩子後來組成了一個沒有血緣關係的家庭
[00:00:45.000 --> 00:00:49.000]  所以這三個兄妹
[00:00:49.000 --> 00:00:51.000]  不是真兄妹
[00:00:51.000 --> 00:00:52.000]  但也叫兄妹
[00:00:52.000 --> 00:00:55.000]  在成長中彼此的父慈
[00:00:55.000 --> 00:01:00.000]  逐漸醫治了來自原生家庭很多的相同
[00:01:00.000 --> 00:01:02.000]  所以這個故事探討了
[00:01:02.000 --> 00:01:05.000]  什麼叫做家庭
[00:01:05.000 --> 00:01:09.000]  是否只是單純血緣的關係呢
[00:01:09.000 --> 00:01:13.000]  原來有一些超越了血緣的元素
[00:01:13.000 --> 00:01:18.000]  可以使得不同的人都成為一個家庭
[00:01:18.000 --> 00:01:21.000]  當然我不是說兩個男人或兩個女人
[00:01:21.000 --> 00:01:22.000]  你情我願
[00:01:22.000 --> 00:01:24.000]  走在一起結婚就成為一個家庭
[00:01:24.000 --> 00:01:26.000]  我不是說那些
[00:01:26.000 --> 00:01:31.000]  原來聖經也有提及這個關於家庭的題目
[00:01:31.000 --> 00:01:34.000]  今晚就讓我們從耶穌的說話
[00:01:34.000 --> 00:01:39.000]  去看看哪一個才是真正的家人
[00:01:39.000 --> 00:01:43.000]  讓我們一起同心祈禱
[00:01:43.000 --> 00:01:46.000]  天父我們來到你的面前
[00:01:46.000 --> 00:01:49.000]  要聆聽你的說話
[00:01:49.000 --> 00:01:54.000]  求真理的聖靈帶領我們進入你的真理當中
[00:01:54.000 --> 00:01:58.000]  祈禱奉你愛子耶穌基督的名
[00:01:58.000 --> 00:02:00.000]  阿們
[00:02:00.000 --> 00:02:03.000]  讓我們一起讀今晚的經文
