
[00:00:00.000 --> 00:00:03.320]  今天的講題是「刮目相看」
[00:00:03.320 --> 00:00:06.240]  這個成語大家應該都認識吧?
[00:00:06.240 --> 00:00:09.040]  大家知不知道這個成語是怎樣來的?
[00:00:09.040 --> 00:00:11.960]  我查過了
[00:00:11.960 --> 00:00:14.480]  原來這個成語是來自
[00:00:14.480 --> 00:00:17.360]  《三國志》吳志呂蒙傳
[00:00:17.360 --> 00:00:19.560]  就在三國時期
[00:00:19.560 --> 00:00:22.120]  有一個呂蒙是吳國的大將軍
[00:00:22.120 --> 00:00:24.560]  他戰績很厲害
[00:00:24.560 --> 00:00:28.160]  不過他經常被人取笑
[00:00:28.160 --> 00:00:30.160]  只懂武功
[00:00:30.160 --> 00:00:32.840]  只是一個武夫
[00:00:32.840 --> 00:00:35.200]  因為他不懂字
[00:00:35.200 --> 00:00:36.640]  沒有讀書
[00:00:36.640 --> 00:00:42.360]  有一天他吳國的君主孫權勸他
[00:00:42.360 --> 00:00:45.560]  「你現在是吳國的大將軍」
[00:00:45.560 --> 00:00:48.560]  「就不要只學武功」
[00:00:48.560 --> 00:00:50.360]  「讀些書吧」
[00:00:50.360 --> 00:00:55.760]  然後呂蒙其實不太想讀
[00:00:55.760 --> 00:00:57.600]  因為很忙
[00:00:57.600 --> 00:01:00.160]  又覺得有甚麼意義呢?
[00:01:00.160 --> 00:01:03.480]  不過被孫權不斷鼓勵之下
[00:01:03.480 --> 00:01:06.480]  他真的滴起心肝去讀書了
[00:01:06.480 --> 00:01:10.080]  隔了一段時間之後
[00:01:10.080 --> 00:01:13.560]  他一次跟另一個將軍叫魯肅
[00:01:13.560 --> 00:01:16.400]  一起討論軍國大事
[00:01:16.400 --> 00:01:18.400]  說怎樣的策略
[00:01:18.400 --> 00:01:24.560]  呂蒙就很詳細地分享天下大事的政局形勢
[00:01:24.560 --> 00:01:26.760]  指出利害關係
[00:01:27.280 --> 00:01:30.480]  魯肅很吃驚
[00:01:30.480 --> 00:01:33.800]  說「真是想不到」
[00:01:33.800 --> 00:01:36.560]  「現在你的才能、謀略」
[00:01:36.560 --> 00:01:38.560]  「已經去到這個地步」
[00:01:38.560 --> 00:01:41.560]  「再不是當年的武夫」
[00:01:41.560 --> 00:01:44.600]  呂蒙就笑了一笑
[00:01:44.600 --> 00:01:47.120]  他說了一句說話
[00:01:47.120 --> 00:01:50.680]  「事別三日,即刮目相待」
[00:01:50.680 --> 00:01:54.480]  這句說話引申現在的成語
[00:01:54.480 --> 00:01:56.120]  「刮目相看」
[00:01:56.600 --> 00:01:59.520]  即是說有些事或人
[00:01:59.520 --> 00:02:01.520]  經歷了很大的變化
[00:02:01.520 --> 00:02:04.640]  令人對他有一個很嶄新的感覺
[00:02:04.640 --> 00:02:05.640]  很驚訝
[00:02:05.640 --> 00:02:09.600]  今天是猜拳主日
[00:02:09.600 --> 00:02:13.800]  不知道大家對猜拳有甚麼想法呢?
[00:02:13.800 --> 00:02:18.600]  剛才Elsie分享了她自己
[00:02:18.600 --> 00:02:22.720]  對猜拳有一個很嶄新的想法和體會
[00:02:22.720 --> 00:02:24.720]  很盼望她的見證
[00:02:25.000 --> 00:02:26.720]  加上今天神的說話
[00:02:26.720 --> 00:02:29.720]  也讓大家有一個「刮目相看」
[00:02:29.720 --> 00:02:32.520]  去想想自己與猜拳的關係
[00:02:32.520 --> 00:02:34.920]  去想想自己人生的使命
[00:02:34.920 --> 00:02:36.920]  我們一起讀禱告吧
[00:02:36.920 --> 00:02:43.800]  七天父說我們將以下的時間
[00:02:43.800 --> 00:02:45.120]  以恭敬交給你
[00:02:45.120 --> 00:02:47.800]  無論我們在台上宣講
[00:02:47.800 --> 00:02:51.400]  在台下他去聆聽你的說話
[00:02:52.000 --> 00:02:55.320]  求你賜給我們一個純樸的心
[00:02:55.320 --> 00:02:59.120]  將你的說話緊記在心裡
[00:02:59.120 --> 00:03:02.920]  我們也盼望不是每星期回來聽一聽
[00:03:02.920 --> 00:03:07.720]  而是很認真去思考你的說話
[00:03:07.720 --> 00:03:11.400]  以致我們願意在生命裡
[00:03:11.400 --> 00:03:12.600]  在生活裡
[00:03:12.600 --> 00:03:14.600]  去作出改變、作出回應
[00:03:14.600 --> 00:03:16.800]  多謝你聽禱告
[00:03:16.800 --> 00:03:17.800]  奉主明求
[00:03:17.800 --> 00:03:18.800]  阿們
[00:03:18.800 --> 00:03:20.800]  【麥美娟:「我愛你」】
[00:03:20.800 --> 00:03:25.120]  今天我們會看《使徒行傳》
[00:03:25.120 --> 00:03:26.400]  有兩段經文
[00:03:26.400 --> 00:03:31.400]  這兩段經文其實是記載了
[00:03:31.400 --> 00:03:34.200]  有一位領袖巴拿巴
[00:03:34.200 --> 00:03:38.000]  親自去視察一間很特別的教會
[00:03:38.000 --> 00:03:40.000]  安提柯教會的情況
[00:03:40.000 --> 00:03:41.600]  他一到的時候
[00:03:41.600 --> 00:03:42.800]  看到的情況
[00:03:42.800 --> 00:03:44.200]  他被震撼了
[00:03:44.200 --> 00:03:46.800]  他有些想法都不同了
[00:03:46.800 --> 00:03:47.800]  「刮目相看」
[00:03:48.520 --> 00:03:51.000]  還叫了他的同工保樂
[00:03:51.000 --> 00:03:54.000]  一起來發展這間教會
[00:03:54.000 --> 00:03:57.800]  究竟安提柯教會是怎樣的教會呢?
[00:03:57.800 --> 00:04:00.800]  我們在裡面又學到些甚麼呢?
[00:04:00.800 --> 00:04:03.200]  我們一起來看看《使徒行傳》
[00:04:03.200 --> 00:04:06.000]  第11章19至30節
[00:04:06.000 --> 00:04:07.000]  我們一起讀吧
[00:04:07.000 --> 00:04:10.600]  那些因斯提反的事
[00:04:10.600 --> 00:04:14.000]  遭患難而四處分散的門徒
[00:04:14.400 --> 00:04:18.680]  直走到費里基、塞浦路斯和安提柯
[00:04:18.680 --> 00:04:21.080]  他們不向別人講道
[00:04:21.080 --> 00:04:23.080]  只向猶太人講
[00:04:23.080 --> 00:04:27.080]  但內中有塞浦路斯和古里內人
[00:04:27.080 --> 00:04:28.480]  他們到了
[00:04:28.480 --> 00:04:33.480]  安提柯也向希臘人傳講主耶穌基督的福音
[00:04:33.480 --> 00:04:36.080]  主的手與他們同在
[00:04:36.080 --> 00:04:39.080]  信而歸主的人數很多
[00:04:39.080 --> 00:04:43.480]  這風聲傳到耶路撒冷教會的人耳中
[00:04:43.880 --> 00:04:47.480]  他們就打發巴拿巴到安提柯去
[00:04:47.480 --> 00:04:49.480]  哈道尿那裡
[00:04:49.480 --> 00:04:53.080]  看見上帝所賜的恩就歡喜
[00:04:53.080 --> 00:04:56.280]  勸勉眾人要立定心志
[00:04:56.280 --> 00:04:58.080]  行究靠主
[00:04:58.080 --> 00:05:01.080]  這巴拿巴原是個好人
[00:05:01.080 --> 00:05:03.480]  滿有聖靈與信心
[00:05:03.480 --> 00:05:07.080]  許多人要主
[00:05:07.080 --> 00:05:10.080]  他又往大掃去找掃落
[00:05:10.480 --> 00:05:14.080]  找著了就帶著哈道安提柯去
[00:05:14.080 --> 00:05:18.280]  他們就有一連和教會一同聚集
[00:05:18.280 --> 00:05:20.280]  教導了許多人
