
[00:00:00.000 --> 00:00:02.000]  各位頂智妹、各位朋友,早安
[00:00:02.000 --> 00:00:03.000]  主佑平安
[00:00:03.000 --> 00:00:06.000]  我們一起祈禱,開始我們正道的時間
[00:00:06.000 --> 00:00:09.000]  天父感謝你
[00:00:09.000 --> 00:00:11.000]  藉著今天早上
[00:00:11.000 --> 00:00:13.000]  在這個崇拜裏面
[00:00:13.000 --> 00:00:16.000]  剛才音樂、詩歌
[00:00:16.000 --> 00:00:19.000]  我們向你獻情讚美
[00:00:19.000 --> 00:00:21.000]  你的創造
[00:00:21.000 --> 00:00:23.000]  你的救恩
[00:00:23.000 --> 00:00:25.000]  你的同在
[00:00:25.000 --> 00:00:27.000]  你的話語
[00:00:27.000 --> 00:00:35.000]  都成為我們的激勵、安慰、盼望和提醒
[00:00:35.000 --> 00:00:37.000]  但我們求你
[00:00:37.000 --> 00:00:41.000]  不單止在崇拜裏面
[00:00:41.000 --> 00:00:43.000]  以我們自己為中心
[00:00:43.000 --> 00:00:48.000]  我們覺得滿足就足夠
[00:00:48.000 --> 00:00:51.000]  我們的存活
[00:00:51.000 --> 00:00:54.000]  不是為了滿足自己
[00:00:54.000 --> 00:01:00.000]  是為了滿足你
[00:01:00.000 --> 00:01:13.000]  我求你讓我們今天的崇拜以你為中心
[00:01:13.000 --> 00:01:19.000]  願你當得榮耀
[00:01:19.000 --> 00:01:23.000]  願我們獻情當得敬拜和讚頌
[00:01:23.000 --> 00:01:27.000]  願你在我們心裏面作主作王
[00:01:27.000 --> 00:01:30.000]  願你引領我們
[00:01:30.000 --> 00:01:35.000]  願你在我們心裏面活著的時候
[00:01:35.000 --> 00:01:38.000]  我們真的以你為王
[00:01:38.000 --> 00:01:42.000]  求你應允我們這個禱告
[00:01:42.000 --> 00:01:43.000]  求你幫助
[00:01:43.000 --> 00:01:45.000]  聽我們祈禱奉主的名
[00:01:45.000 --> 00:01:49.000]  各位福堂的頂智妹朋友
[00:01:49.000 --> 00:01:50.000]  很感恩
[00:01:50.000 --> 00:01:54.000]  自從我在四月十日和七月三日和大家分享路德記
[00:01:54.000 --> 00:01:56.000]  第一章和第二章的訊息
[00:01:56.000 --> 00:02:01.000]  今天又能夠和大家實體
[00:02:01.000 --> 00:02:04.000]  在崇拜裏面分享訊息
[00:02:04.000 --> 00:02:06.000]  當然這個無礙
[00:02:06.000 --> 00:02:09.000]  我和網上的朋友和頂智妹打個招呼
[00:02:09.000 --> 00:02:10.000]  Hello
[00:02:10.000 --> 00:02:14.000]  我們都一起繼續思想路德記給我們的訊息
[00:02:14.000 --> 00:02:17.000]  上兩次講第一第二章
[00:02:17.000 --> 00:02:18.000]  順理成章
[00:02:18.000 --> 00:02:20.000]  今天當然講第三章
[00:02:20.000 --> 00:02:23.000]  今天我們透過路德記第三章
[00:02:23.000 --> 00:02:27.000]  「速成分時的他們三」
[00:02:27.000 --> 00:02:29.000]  這個講題
[00:02:29.000 --> 00:02:32.000]  一起進入路德記第三章的經文
[00:02:32.000 --> 00:02:38.000]  「不知你認為為人設想是否一件愚蠢的事?」
[00:02:38.000 --> 00:02:40.000]  這樣問不成
[00:02:40.000 --> 00:02:41.000]  沒有人會答是
[00:02:41.000 --> 00:02:44.000]  很多人都未必會直接承認自己
[00:02:44.000 --> 00:02:47.000]  相信為人設想是一件愚蠢的事
[00:02:47.000 --> 00:02:49.000]  但老實講我們苦心自問
[00:02:49.000 --> 00:02:54.000]  當我們看見付出沒有回報
[00:02:54.000 --> 00:02:58.000]  當我們看見世態炎涼
[00:02:58.000 --> 00:03:04.000]  甚至可以說是冷酷的世情的時候
[00:03:04.000 --> 00:03:09.000]  我們是否真的心裏有數
[00:03:09.000 --> 00:03:11.000]  我們不得不承認
[00:03:12.000 --> 00:03:17.000]  人怎能夠不想自己只是為人設想呢?
[00:03:17.000 --> 00:03:23.000]  事實上中國人有不少說話是鼓吹這種信念的
[00:03:23.000 --> 00:03:25.000]  不知大家能否想到
[00:03:25.000 --> 00:03:28.000]  「國家自掃門前雪」
[00:03:28.000 --> 00:03:31.000]  下句識背
[00:03:31.000 --> 00:03:34.000]  「打管他人也常傷」
[00:03:34.000 --> 00:03:37.000]  「一個和水打水喝」
[00:03:37.000 --> 00:03:38.000]  即是可以喝水
[00:03:38.000 --> 00:03:39.000]  「兩個和尚」
[00:03:39.000 --> 00:03:40.000]  不是打水
[00:03:40.000 --> 00:03:41.000]  即是不是筆
[00:03:41.000 --> 00:03:45.000]  而是兩個夾著用擔挑抬水喝
[00:03:45.000 --> 00:03:47.000]  但三個又怎樣呢?
[00:03:47.000 --> 00:03:50.000]  三個和尚就沒有水喝
[00:03:50.000 --> 00:03:51.000]  為何會弄成這樣呢?
[00:03:51.000 --> 00:03:53.000]  多個人不是應該好一點嗎?
[00:03:53.000 --> 00:03:55.000]  因為計算不來
[00:03:55.000 --> 00:03:59.000]  怎樣去分工合作
[00:03:59.000 --> 00:04:04.000]  還有一句可能俗語一點
[00:04:04.000 --> 00:04:06.000]  「閒事莫理」
[00:04:06.000 --> 00:04:09.000]  下一句就是「中訂莫期」
[00:04:10.000 --> 00:04:12.000]  這是中國人的思想
[00:04:12.000 --> 00:04:14.000]  就連西方世界
[00:04:14.000 --> 00:04:17.000]  特別由啟蒙運動時代開始
[00:04:17.000 --> 00:04:21.000]  那個叫做現代經濟學之父
[00:04:21.000 --> 00:04:22.000]  Adam Smith
[00:04:22.000 --> 00:04:23.000]  亞當史密夫
[00:04:23.000 --> 00:04:26.000]  他在1776年出版的《國富論》
[00:04:26.000 --> 00:04:27.000]  即是讀經濟的那些
[00:04:27.000 --> 00:04:28.000]  這本是經典
[00:04:28.000 --> 00:04:30.000]  開創了經濟學的研究
[00:04:30.000 --> 00:04:34.000]  提出市場和模型之首的觀念
[00:04:34.000 --> 00:04:37.000]  為微觀經濟學提供一個基本方法論
[00:04:37.000 --> 00:04:43.000]  為何我們可以推論經濟運作呢?
[00:04:43.000 --> 00:04:44.000]  基於一個假設
[00:04:44.000 --> 00:04:48.000]  人是自利的
[00:04:48.000 --> 00:04:51.000]  即是只要你相信人是自利
[00:04:51.000 --> 00:04:56.000]  你才能理解到今天經濟運作為何會這樣
[00:04:56.000 --> 00:05:00.000]  這個信念影響了人類數百年的歷史
[00:05:00.000 --> 00:05:01.000]  直至今日
[00:05:01.000 --> 00:05:02.000]  不過我們要留意
[00:05:02.000 --> 00:05:04.000]  其實人是自利的
[00:05:04.000 --> 00:05:06.000]  這是一個前設
[00:05:06.000 --> 00:05:11.000]  是沒有確認一個
[00:05:11.000 --> 00:05:13.000]  這個我們是一個
[00:05:13.000 --> 00:05:16.000]  是我們人應該接受的價值取向
[00:05:16.000 --> 00:05:19.000]  但我們不能夠不承認
[00:05:19.000 --> 00:05:23.000]  其實這個所謂純科學的假設
[00:05:23.000 --> 00:05:27.000]  和我們認同這是人應該有的價值取向
[00:05:27.000 --> 00:05:32.000]  其實只是一線之差
[00:05:32.000 --> 00:05:40.000]  其實或者人在自利和他利之間的角力掙扎
[00:05:40.000 --> 00:05:42.000]  正正道出了人類歷史
[00:05:42.000 --> 00:05:49.000]  甚至今日你和我每個人心裏的掙扎所在
[00:05:49.000 --> 00:05:50.000]  為人多點好
[00:05:50.000 --> 00:05:52.000]  還是想自己多點好呢?
[00:05:52.000 --> 00:05:54.000]  說回中國文化
[00:05:54.000 --> 00:05:55.000]  還有一句就是
[00:05:55.000 --> 00:05:57.000]  人不為己天誅地滅
[00:05:57.000 --> 00:05:59.000]  但你有沒有想過這句說話
[00:05:59.000 --> 00:06:03.000]  可能原意不是說為自己利益籌謀
[00:06:03.000 --> 00:06:04.000]  這句說話原來是
[00:06:04.000 --> 00:06:07.000]  人不為己天誅地滅
[00:06:07.000 --> 00:06:09.000]  是可以這樣讀的
[00:06:09.000 --> 00:06:14.000]  為己的意思就是完善自己的修養
[00:06:14.000 --> 00:06:17.000]  如果理解為人不為己
[00:06:17.000 --> 00:06:23.000]  就鼓勵我們想自己
[00:06:23.000 --> 00:06:25.000]  但如果是人不為己
[00:06:25.000 --> 00:06:27.000]  完善自己的修養
