
[00:00:00.000 --> 00:00:04.620]  今日作為神學教育主人
[00:00:04.620 --> 00:00:08.580]  我和大家思想的經文剛才擴傳到
[00:00:08.580 --> 00:00:11.760]  在聚會之先帶領我們讀過的
[00:00:11.760 --> 00:00:15.100]  約翰福音十九章二十五到二十七節
[00:00:15.100 --> 00:00:17.100]  這一處的經文
[00:00:17.100 --> 00:00:20.540]  我們弟兄姊妹都一起讀一讀這裡的經文
[00:00:20.540 --> 00:00:23.380]  請,有個祈禱先
[00:00:23.380 --> 00:00:26.940]  親愛的恩主,我們感謝祢賜給我們有生命有氣息
[00:00:26.940 --> 00:00:31.100]  來到您的殿中一起敬拜、侍奉我們獻上感恩
[00:00:31.100 --> 00:00:37.380]  我們願主繼續透過您自己聖經話語的訊息幫助我們
[00:00:37.380 --> 00:00:41.740]  讓我們能夠在日常生活上見證主的恩典
[00:00:41.740 --> 00:00:44.460]  我們將以下時間恭敬的教徒
[00:00:44.460 --> 00:00:46.660]  願主賜福我們的禱告感恩
[00:00:46.660 --> 00:00:49.820]  奉基督耶穌的名,阿們
[00:00:49.820 --> 00:00:53.620]  剛才約翰福音這段經文
[00:00:53.620 --> 00:00:56.180]  我相信有不少弟兄姊妹都很熟悉
[00:00:56.180 --> 00:01:01.000]  主耶穌為世人的罪
[00:01:01.000 --> 00:01:03.380]  承擔在祂自己的身上
[00:01:03.380 --> 00:01:05.380]  以意代替不意
[00:01:05.380 --> 00:01:12.960]  以致在十誡上祂願意代替我們的罪的功架乃是死
[00:01:12.960 --> 00:01:16.420]  感恩,就是說祂從死裡復活
[00:01:16.420 --> 00:01:24.460]  帶給我們有永生罪得赦免的一個至大至終的盼望
[00:01:24.460 --> 00:01:28.780]  在耶穌在十誡上承受這個意義的時候
[00:01:28.780 --> 00:01:31.940]  祂也不忘祂自己的母親
[00:01:31.940 --> 00:01:39.260]  所以祂就將祂的母親交託給其中一個門徒約翰
[00:01:39.260 --> 00:01:42.860]  這是表揚到耶穌基督的孝道
[00:01:42.860 --> 00:01:46.060]  所以今天和大家思想這個題目
[00:01:46.060 --> 00:01:48.660]  我稱之為十誡孝因
[00:01:48.660 --> 00:01:52.940]  可能弟兄姊妹你會覺得奇怪
[00:01:52.940 --> 00:01:56.020]  今天是什麼主日崇拜呢?
[00:01:56.020 --> 00:01:58.660]  是神學教育主日
[00:01:58.660 --> 00:02:02.140]  好像不太合適
[00:02:02.140 --> 00:02:04.140]  不過我自己這樣思想
[00:02:04.140 --> 00:02:06.860]  我分享一點見證
[00:02:06.860 --> 00:02:10.660]  我在加拿大二十五年九八年回來香港
[00:02:10.660 --> 00:02:14.100]  來參與神學教育
[00:02:14.100 --> 00:02:16.100]  我參與神學教育的時候
[00:02:16.100 --> 00:02:21.660]  我思想神學教育的目的究竟是什麼呢?
[00:02:22.940 --> 00:02:27.580]  我想起梁啟超先生他曾經
[00:02:27.580 --> 00:02:32.580]  有一次他從南京去蘇州講學
[00:02:32.580 --> 00:02:35.660]  他那次是帶著病去的
[00:02:35.660 --> 00:02:38.980]  他那次講學的內容
[00:02:38.980 --> 00:02:46.980]  後來就出了一篇文章叫做《為學與做人》
[00:02:46.980 --> 00:02:49.300]  不知道大家有沒有看過那篇文章
[00:02:49.300 --> 00:02:52.980]  或者我們以往讀小學中學的時候
[00:02:52.980 --> 00:02:54.980]  看過也不一定
[00:02:54.980 --> 00:03:01.460]  在那篇文章梁啟超先生可以說他是一個教育家
[00:03:01.460 --> 00:03:03.820]  他去到蘇州講學的時候
[00:03:03.820 --> 00:03:05.580]  他第一句說話就是
[00:03:05.580 --> 00:03:07.100]  「民主軍」
[00:03:07.100 --> 00:03:09.100]  就是和當時的學生說
[00:03:09.100 --> 00:03:13.780]  請問你們來學校的目的是什麼呢?
[00:03:13.780 --> 00:03:21.100]  當然梁啟超先生他就自己為同學擔心
[00:03:21.100 --> 00:03:25.780]  大多數都說我來學校是為求學問
[00:03:25.780 --> 00:03:29.220]  是要認識去讀這個知識
[00:03:29.220 --> 00:03:36.460]  數學、哲學、文學、不同的科學等等等等
