
[00:00:00.000 --> 00:00:07.000]  好,好久不見大家
[00:00:07.000 --> 00:00:14.000]  再次回來崇拜的時候,很體會到一件事
[00:00:14.000 --> 00:00:19.000]  因為我最近聽得最多的不是人聲,而是寶寶的哭聲
[00:00:19.000 --> 00:00:24.000]  所以能夠回來敬拜,我覺得是一件美事
[00:00:24.000 --> 00:00:31.000]  這幾個星期只聽到很多都是人說的,不過沒有語言
[00:00:31.000 --> 00:00:34.000]  所以回來敬拜覺得很棒
[00:00:34.000 --> 00:00:39.000]  所以鼓勵你,不知道你在剛才的敬拜裡面看過什麼
[00:00:39.000 --> 00:00:45.000]  希望透過我們剛才唱詩歌,甚至一直的話語都成為你的鼓勵
[00:00:45.000 --> 00:00:51.000]  今天我分享的信息,是《逆境中的屬靈領袖》
[00:00:51.000 --> 00:00:56.000]  這個月的閱題,除了上個星期,即是再之前的星期
[00:00:56.000 --> 00:01:00.000]  其實都是在說與受苦者同行作指引
[00:01:00.000 --> 00:01:05.000]  今天我很想跟大家分享一個題目,叫《逆境中的屬靈領袖》
[00:01:05.000 --> 00:01:08.000]  為什麼我想起這個題目呢?
[00:01:08.000 --> 00:01:16.000]  不知道大家這兩年有沒有聽過身邊的人都會這樣說一句話
[00:01:16.000 --> 00:01:24.000]  他們說在香港生活都是很艱難的,因為面對著社會很多不同的轉變
[00:01:24.000 --> 00:01:28.000]  其實這兩年香港人需要適應很多不同的東西
[00:01:28.000 --> 00:01:33.000]  舉個例子,譬如經濟下滑,我們體會到很多人在經濟上出現了問題
[00:01:33.000 --> 00:01:41.000]  我們很近都經歷到的,就是對面的將軍部都倒閉了,現在都變成了樂天
[00:01:41.000 --> 00:01:51.000]  再加上,我猜再切身的是我們身邊有很多同學朋友都開始移民
[00:01:51.000 --> 00:01:57.000]  這個星期走,下個星期走,下個月走,我猜都有很多很多東西我們要適應
[00:01:57.000 --> 00:02:02.000]  再加上本身讀書上都面對著很多很多不同的壓力
[00:02:02.000 --> 00:02:13.000]  我拋出這些不同的情景的時候,我就問一句,其實做基督徒,我們身處在一個逆境的時代
[00:02:13.000 --> 00:02:16.000]  我們做基督徒其實我們如何去回應呢?
[00:02:16.000 --> 00:02:23.000]  甚至當我們面對著身邊的朋友和我們分享,當他面對著很多失落迷惘的時候
[00:02:23.000 --> 00:02:28.000]  其實我們做基督徒,我們說要作言作光,一個很重要的使命
