
[00:00:00.000 --> 00:00:04.400]  今天是午課時間
[00:00:04.400 --> 00:00:06.600]  我站在午課時間
[00:00:06.600 --> 00:00:08.800]  也看到很多熟悉的面孔
[00:00:08.800 --> 00:00:12.200]  我現在在周六晚課服事
[00:00:12.200 --> 00:00:14.520]  很開心來到大家當中
[00:00:14.520 --> 00:00:17.480]  宣講神的話
[00:00:17.480 --> 00:00:21.120]  今天的講道是教會系列的講道
[00:00:21.120 --> 00:00:23.120]  就是以西結書
[00:00:23.120 --> 00:00:25.320]  不知道大家知不知道
[00:00:25.320 --> 00:00:28.000]  這個系列有一個題目
[00:00:28.000 --> 00:00:29.000]  大家知不知道
[00:00:29.000 --> 00:00:34.400]  我相信大家知道是以西結書
[00:00:34.400 --> 00:00:35.800]  應該知道吧
[00:00:35.800 --> 00:00:37.600]  如果不知道就很慘
[00:00:37.600 --> 00:00:39.600]  大家應該知道是講以西結書
[00:00:39.600 --> 00:00:41.600]  但主題是甚麼呢
[00:00:41.600 --> 00:00:42.600]  大家知不知道呢
[00:00:42.600 --> 00:00:44.600]  轉變中的盼望
[00:00:44.600 --> 00:00:49.400]  我聽到弟兄姊妹講了這個主題
[00:00:49.400 --> 00:00:50.800]  是轉變中的盼望
[00:00:50.800 --> 00:00:54.400]  其實這個系列講道是有一個題目
[00:00:54.400 --> 00:00:56.600]  就是在轉變中的盼望
[00:00:56.600 --> 00:01:01.600]  今天很想藉著以西結書第八章和第九章
[00:01:01.600 --> 00:01:05.600]  跟大家分享當中的訊息
[00:01:05.600 --> 00:01:07.600]  在我們未進入經文之前
[00:01:07.600 --> 00:01:11.600]  很想考驗一下大家的記憶力
[00:01:11.600 --> 00:01:15.600]  在大概十一年前左右
[00:01:15.600 --> 00:01:17.600]  應該是到現在今年2022年
[00:01:17.600 --> 00:01:19.600]  2011年左右
[00:01:19.600 --> 00:01:25.600]  有一個電視台推出了一個劇集
[00:01:25.600 --> 00:01:28.600]  這個劇集在播出的時候
[00:01:28.600 --> 00:01:31.600]  其實也引來一些的哄動
[00:01:31.600 --> 00:01:34.600]  成為很多人的話題
[00:01:34.600 --> 00:01:40.600]  之後更有人稱為這個劇集是神劇
[00:01:40.600 --> 00:01:45.600]  不知道大家知不知道那套劇叫甚麼名字
[00:01:45.600 --> 00:01:46.600]  不知道
[00:01:46.600 --> 00:01:48.600]  有沒有人知道
[00:01:48.600 --> 00:01:50.600]  我聽到有人說天與地
[00:01:50.600 --> 00:01:51.600]  很厲害
[00:01:51.600 --> 00:01:54.600]  給點掌聲這個弟兄這麼好的熱誠
[00:01:54.600 --> 00:01:56.600]  天與地
[00:01:56.600 --> 00:01:59.600]  當時這個劇集其實很受歡迎
[00:01:59.600 --> 00:02:03.600]  因為覺得這個台竟然推出了一套這樣的劇集
[00:02:03.600 --> 00:02:06.600]  很引人注意
[00:02:06.600 --> 00:02:09.600]  因為裡面有很多不同的金句
[00:02:09.600 --> 00:02:13.600]  其實這套劇的中文名叫天與地
[00:02:13.600 --> 00:02:16.600]  英文名叫When Heaven Burns
[00:02:16.600 --> 00:02:19.600]  其實是有些意思在裡面
[00:02:19.600 --> 00:02:23.600]  當中這套劇裡面有很多不同的金句
[00:02:23.600 --> 00:02:26.600]  其中一句當時也有很多人引用
[00:02:26.600 --> 00:02:29.600]  不知道大家還記不記得
[00:02:29.600 --> 00:02:33.600]  有沒有人記得
[00:02:33.600 --> 00:02:35.600]  有些人好像說了又不說
[00:02:35.600 --> 00:02:37.600]  究竟是哪一句呢
[00:02:37.600 --> 00:02:38.600]  其實是這一句
[00:02:38.600 --> 00:02:43.600]  當時是很熱門的這句金句
