
[00:00:00.000 --> 00:00:05.000]  回想今個月,即上個月,即11月
[00:00:05.000 --> 00:00:08.000]  在商場、屋苑擺滿了布置
[00:00:08.000 --> 00:00:10.000]  節日氣氛很濃厚
[00:00:10.000 --> 00:00:16.000]  彷彿提醒我們是時候要跟親朋好友開派對
[00:00:16.000 --> 00:00:20.000]  但這幾年社會經歷了很多不同的事
[00:00:20.000 --> 00:00:25.000]  親友、移民海外,加上社會氣氛都很不一樣
[00:00:25.000 --> 00:00:29.000]  的確很難再單純無憂地慶祝
[00:00:29.000 --> 00:00:35.000]  特別今年,11月尾,我們有雲福縣的火災所影響
[00:00:35.000 --> 00:00:40.000]  整個城市好像瀰漫著一種不太想歡慶
[00:00:40.000 --> 00:00:43.000]  或者就算要歡慶也歡慶不下的情緒
[00:00:43.000 --> 00:00:49.000]  我自己就覺得,可能連說一句聖誕快樂都不容易
[00:00:49.000 --> 00:00:56.000]  而事實上,在世界各地都有天災人禍
[00:00:56.000 --> 00:00:59.000]  也跟大家分享一點
[00:00:59.000 --> 00:01:04.000]  在左邊,你會看到東南亞在12月初的時候都有水災
[00:01:04.000 --> 00:01:07.000]  一下子奪走了1600人的性命
[00:01:07.000 --> 00:01:10.000]  上百萬人無家可歸
[00:01:10.000 --> 00:01:19.000]  世界持續的戰亂,近至這期台北和悉尼市區的襲擊
[00:01:19.000 --> 00:01:24.000]  可能我們都會發覺,危險突然間可以這麼近
[00:01:24.000 --> 00:01:28.000]  短短一個月就經歷了這麼多殘忍的事情
[00:01:28.000 --> 00:01:34.000]  不禁令人思想,聖誕節的美好是不是已經失落了
[00:01:34.000 --> 00:01:37.000]  聖誕是不是已經崩壞了
[00:01:37.000 --> 00:01:42.000]  早前我和我太太和兒子去了大嶼山的主題樂園
[00:01:42.000 --> 00:01:46.000]  那裡的聖誕設施是超級無敵漂亮的
[00:01:46.000 --> 00:01:49.000]  哇,是這樣的,這個我認的
[00:01:49.000 --> 00:01:54.000]  除了燈飾很漂亮之外,還會噴出雪
[00:01:54.000 --> 00:01:56.000]  不知道大家有沒有去過,人造雪
[00:01:56.000 --> 00:01:59.000]  反映周邊暖暖的光
[00:01:59.000 --> 00:02:06.000]  可以讓人在這個奇幻世界暫時忘記一下都市的煩憂
[00:02:06.000 --> 00:02:09.000]  但是剛剛所說的苦難
[00:02:09.000 --> 00:02:13.000]  或者是當我們想起我們生命或身邊的人
[00:02:13.000 --> 00:02:16.000]  切切實實地遇上這些困境的時候
[00:02:16.000 --> 00:02:20.000]  這個五光十色的主題樂園即時暴露出它的限制
[00:02:20.000 --> 00:02:23.000]  就算多麼溫馨多麼漂亮也好
[00:02:23.000 --> 00:02:28.000]  它都沒有能力去安慰或承載人的苦痛
[00:02:28.000 --> 00:02:31.000]  撇除一切的商業和流行文化元素
[00:02:31.000 --> 00:02:32.000]  突然之間我想問問你
[00:02:32.000 --> 00:02:35.000]  聖誕節對你來說是什麼日子呢
[00:02:35.000 --> 00:02:39.000]  而耶穌的誕生對你和我有什麼啟示
[00:02:39.000 --> 00:02:43.000]  有什麼古老的信息要告訴我們
[00:02:43.000 --> 00:02:46.000]  透過馬太福音2:1-18的經文
[00:02:46.000 --> 00:02:50.000]  一段我們可能熟悉又陌生的經文
[00:02:50.000 --> 00:02:55.000]  讓我們重新去看回在馬太筆下的耶穌誕生是怎麼一回事
[00:02:55.000 --> 00:02:58.000]  不如也讓我們先讀出經文
[00:02:58.000 --> 00:03:00.000]  我們一起讀好不好
[00:03:00.000 --> 00:03:01.000]  1,2,3
