
[00:00:00.000 --> 00:00:02.000]  各位姐妹今天的講題
[00:00:02.000 --> 00:00:04.000]  早安
[00:00:04.000 --> 00:00:07.000]  今天的講題是接著半年前
[00:00:07.000 --> 00:00:10.000]  被馬鞍山卡爾薩默斯邀請了我去
[00:00:10.000 --> 00:00:13.000]  他們開始是講倚賽亞書講道系列
[00:00:13.000 --> 00:00:17.000]  他們整年的題目是從幽暗見到曙光
[00:00:17.000 --> 00:00:19.000]  其實他們倚賽亞書系列已經講完了
[00:00:19.000 --> 00:00:21.000]  卡爾薩默斯在第一講
[00:00:21.000 --> 00:00:23.000]  論及到全書、全本書的概要
[00:00:23.000 --> 00:00:24.000]  他講了一個總覽
[00:00:24.000 --> 00:00:26.000]  我引述了一段
[00:00:26.000 --> 00:00:28.000]  我覺得已經足夠給你們做一點背景
[00:00:28.000 --> 00:00:31.000]  在耶和華的心酸、厭惡、通牒
[00:00:31.000 --> 00:00:33.000]  並且他潔淨的日子
[00:00:33.000 --> 00:00:35.000]  他宣佈對驕傲的猶大
[00:00:35.000 --> 00:00:37.000]  和列國的審判呼籲
[00:00:37.000 --> 00:00:39.000]  眾民都要投靠耶和華
[00:00:39.000 --> 00:00:41.000]  今天的訊息其實是半年前
[00:00:41.000 --> 00:00:43.000]  我在他們當中宣講第二講
[00:00:43.000 --> 00:00:45.000]  我們偉大的上帝
[00:00:45.000 --> 00:00:47.000]  倚賽亞書六章一至十三節
[00:00:47.000 --> 00:00:48.000]  我相信大家都很熟悉
[00:00:48.000 --> 00:00:50.000]  大家最記得那句金句
[00:00:50.000 --> 00:00:51.000]  就是我在哪?
[00:00:51.000 --> 00:00:53.000]  我在這裏,請差遣我
[00:00:53.000 --> 00:00:54.000]  沒錯
[00:00:54.000 --> 00:00:55.000]  大家不知同不同意
[00:00:55.000 --> 00:00:57.000]  現今世代仍然是動盪不已
[00:00:57.000 --> 00:00:59.000]  最近你發覺國與國之間
[00:00:59.000 --> 00:01:01.000]  經常開國與國之間的大會
[00:01:01.000 --> 00:01:04.000]  經常都在討論如何聯盟、共享
[00:01:04.000 --> 00:01:05.000]  但不知大家同不同意
[00:01:05.000 --> 00:01:07.000]  其實危機仍然處處
[00:01:07.000 --> 00:01:09.000]  主回來的日子漸近
[00:01:09.000 --> 00:01:11.000]  呼音要更加廣傳
[00:01:11.000 --> 00:01:13.000]  人心要更加快些思念永恆的盼望
[00:01:13.000 --> 00:01:15.000]  信徒都要把握機會
[00:01:15.000 --> 00:01:16.000]  接受主的差遣
[00:01:16.000 --> 00:01:19.000]  去宣揚上帝偉大上帝的作為
[00:01:19.000 --> 00:01:21.000]  並且去救恩的元備
[00:01:21.000 --> 00:01:22.000]  帶領我們微信主
[00:01:22.000 --> 00:01:24.000]  和我們信徒能夠有信心
[00:01:24.000 --> 00:01:27.000]  有盼望的穿越這個幽暗的世代
[00:01:27.000 --> 00:01:28.000]  見到主的曙光
[00:01:28.000 --> 00:01:31.000]  踏入主榮歸的臺階
[00:01:31.000 --> 00:01:32.000]  大家想不想這樣?
[00:01:32.000 --> 00:01:35.000]  我想我都看得出你們很誠懇
[00:01:35.000 --> 00:01:38.000]  一起讀下《路易》詩句名句
[00:01:38.000 --> 00:01:40.000]  好嗎?預備起
[00:01:40.000 --> 00:01:41.000]  就我們所知
[00:01:41.000 --> 00:01:45.000]  上帝不用費力去創造美好的事物
[00:01:45.000 --> 00:01:49.000]  但要使活躍的心意志歸順於主
[00:01:49.000 --> 00:01:53.000]  卻要求主被釘在十字架上
[00:01:53.000 --> 00:01:54.000]  你同不同意?
[00:01:54.000 --> 00:01:55.000]  神說有光就有光
[00:01:55.000 --> 00:01:57.000]  創世的時候七天就搞定
[00:01:57.000 --> 00:02:00.000]  為什麼要搞到這麼笨拙?
[00:02:00.000 --> 00:02:04.000]  真的我覺得上帝不需要費力去創造世界美好的事情
[00:02:04.000 --> 00:02:06.000]  但要我們活躍的心
[00:02:06.000 --> 00:02:09.000]  和我們的意志歸順於主
[00:02:09.000 --> 00:02:11.000]  問下你的配偶就知道了
[00:02:11.000 --> 00:02:13.000]  跪玻璃都改不了
[00:02:13.000 --> 00:02:15.000]  同不同意?
[00:02:15.000 --> 00:02:17.000]  跪完玻璃第二次又再來
[00:02:17.000 --> 00:02:18.000]  然後要跪廁所
[00:02:18.000 --> 00:02:20.000]  都不知道跪到整個屋都跪了
[00:02:20.000 --> 00:02:23.000]  你都未能歸降於你的配偶
[00:02:23.000 --> 00:02:24.000]  不要說歸降主
[00:02:24.000 --> 00:02:26.000]  但原來這麼困難
[00:02:26.000 --> 00:02:28.000]  要神要我們的意志
[00:02:28.000 --> 00:02:30.000]  給自由意志我們歸向主
[00:02:30.000 --> 00:02:33.000]  是要求神去釘在十字架上
[00:02:33.000 --> 00:02:36.000]  這個行動表明主是很尊重人的自由意志
[00:02:36.000 --> 00:02:39.000]  他沒有強迫背敵的人相信他
[00:02:39.000 --> 00:02:41.000]  他只能夠完全付上他完美的代價
[00:02:41.000 --> 00:02:42.000]  完美的付出
