
[00:00:00.000 --> 00:00:08.000]  Hello 大家好,我是Krya 神學生,很開心今天在這裡和大家分享上帝的話
[00:00:08.000 --> 00:00:13.000]  今天講的講題是「找上帝成為愛的頻道」
[00:00:13.000 --> 00:00:17.000]  我們在開始祈禱之前,先有一個禱告
[00:00:17.000 --> 00:00:27.000]  我們的天父上帝感謝你,因為你今天仍然是像我們生命,像我們有氣息
[00:00:27.000 --> 00:00:31.000]  以致我們剛剛仍然用歌唱去讚美你
[00:00:31.000 --> 00:00:37.000]  縱然現在我們不能實體回來,但是在我們的家裡,我們欣著同順一位主
[00:00:37.000 --> 00:00:43.000]  有同一個聖靈,我們能夠知道我們所敬拜、呼喚、呼喊的那一位是誰
[00:00:43.000 --> 00:00:49.000]  主是願你,的靈,親自教導我們,以致今天我們去看你自己的話的時候
[00:00:49.000 --> 00:00:53.000]  我們的生命得著更新,我們的目光得著更新
[00:00:53.000 --> 00:00:59.000]  以致我們真的把握你給我們的使命,找你的同事去擁抱你的使命
[00:00:59.000 --> 00:01:01.000]  在這個地上為你去作炎作光
[00:01:01.000 --> 00:01:04.000]  你聽我們祈禱,我們以前祈禱,從JSO的聖靈球
[00:01:04.000 --> 00:01:05.000]  對嗎?
[00:01:05.000 --> 00:01:16.000]  不知道大家應該都很熟悉,在坐巴士或坐地鐵的時候都會聽到一個很熟悉的廣播
[00:01:16.000 --> 00:01:19.000]  那個廣播就是「請乘客緊握副手」
[00:01:19.000 --> 00:01:25.000]  其實很多時候我都會看到很多人聽完這個廣播或呼籲就算了
[00:01:25.000 --> 00:01:32.000]  因為他們很多時候手會掛著玩手機,或者是用其他的東西而去到不抓住副手
[00:01:32.000 --> 00:01:35.000]  甚至最近因為疫情的緣故,他們害怕
[00:01:35.000 --> 00:01:39.000]  因為怕出門的時候會碰到細菌、嗨到病毒
[00:01:39.000 --> 00:01:42.000]  所以他們選擇盡量不要碰到副手是最好的
[00:01:42.000 --> 00:01:45.000]  而會選擇什麼呢?就是「習慣了」
[00:01:45.000 --> 00:01:53.000]  想在整個路程中盡量不要碰到副手,就可以去平安到達他的目的地
[00:01:53.000 --> 00:01:59.000]  但是你有沒有試過,當列車急停的時候
