
[00:00:00.000 --> 00:00:03.280]  在我們今天去正道之先
[00:00:03.280 --> 00:00:07.760]  我們一起去讀詩篇第一章一到六節
[00:00:07.760 --> 00:00:09.760]  我們一起讀吧
[00:00:09.760 --> 00:00:12.400]  不從惡人的計謀
[00:00:12.400 --> 00:00:14.720]  不贊罪人的道路
[00:00:14.720 --> 00:00:17.440]  不助亵渺人的座位
[00:00:17.440 --> 00:00:20.240]  唯喜愛耶和華的律法
[00:00:20.240 --> 00:00:22.560]  受耶思想貪
[00:00:22.560 --> 00:00:25.280]  者人便為有福
[00:00:25.280 --> 00:00:29.680]  他要像一棵樹栽在溪水旁
[00:00:29.680 --> 00:00:32.160]  按時候結果指
[00:00:32.160 --> 00:00:34.160]  孽子也不呼綱
[00:00:34.160 --> 00:00:37.680]  犯他所做的盡都順利
[00:00:37.680 --> 00:00:40.160]  惡人並不是這樣
[00:00:40.160 --> 00:00:43.520]  卻像螳臂被風吹散
[00:00:43.520 --> 00:00:46.560]  因此當審判的時候
[00:00:46.560 --> 00:00:48.960]  惡人必站立不住
[00:00:48.960 --> 00:00:51.680]  罪人在二人的會中
[00:00:51.680 --> 00:00:53.360]  也是如此
[00:00:53.360 --> 00:00:57.040]  因為耶和華知道二人的道路
[00:00:57.040 --> 00:01:00.320]  惡人的道路卻必滅亡
[00:01:00.320 --> 00:01:04.880]  想問大家知不知道詩篇一共有多少篇?
[00:01:04.880 --> 00:01:09.840]  是的,大家非常厲害
[00:01:09.840 --> 00:01:12.720]  全篇有150篇
[00:01:12.720 --> 00:01:15.680]  也可以分成五篇
[00:01:15.680 --> 00:01:17.680]  而詩篇的第一篇
[00:01:17.680 --> 00:01:21.680]  是整篇詩篇裡的一個引言
[00:01:21.680 --> 00:01:24.480]  也是直轉第一章裡
[00:01:24.480 --> 00:01:30.240]  向人展示有兩種相對的道路和人生
[00:01:30.240 --> 00:01:35.360]  而詩篇的第一篇提到有關「有福」這個字
[00:01:35.360 --> 00:01:38.800]  在和修本裡會看到
[00:01:38.800 --> 00:01:41.520]  是第二節最後的部分
[00:01:41.520 --> 00:01:43.760]  但其實在原文裡
[00:01:43.760 --> 00:01:48.640]  「有福」這個字應該是放在第一句裡
[00:01:48.640 --> 00:01:51.600]  就好像這個新譯本的譯法
[00:01:51.600 --> 00:01:55.040]  就是說「有福」的人放在第一句
[00:01:55.040 --> 00:01:56.320]  之後就會說
[00:01:56.320 --> 00:01:58.240]  「不從惡人的計謀
[00:01:58.240 --> 00:02:00.320]  不站罪人的道路
[00:02:00.320 --> 00:02:02.880]  不助好、譏笑人的座位
[00:02:02.880 --> 00:02:05.600]  他喜愛的是耶和華的律法
[00:02:05.600 --> 00:02:10.320]  他就耶脈頌的也是耶和華的律法」
[00:02:10.320 --> 00:02:13.280]  其實「有福」可以翻譯為什麼呢?
[00:02:13.280 --> 00:02:14.880]  翻譯為「有福」
[00:02:14.880 --> 00:02:19.200]  也可以翻譯為「快樂」和「蒙恩」的意思
[00:02:19.200 --> 00:02:22.320]  究竟在神的眼中
