
[00:00:00.000 --> 00:00:06.400]  我經常說,我最投入的競敗是在12樓的競敗
[00:00:06.400 --> 00:00:09.400]  特別是你們帶的競敗,對我來說是最投入的
[00:00:09.400 --> 00:00:10.400]  當然2樓也不錯的
[00:00:10.400 --> 00:00:14.000]  不過在我自己信仰的歷程中
[00:00:14.000 --> 00:00:17.200]  這十多年來,青少部的競敗都是很特別的
[00:00:17.200 --> 00:00:19.400]  而且我看到那隊競敗隊很開心
[00:00:19.400 --> 00:00:21.800]  好像有四、五個都曾經做過樂隊領袖
[00:00:21.800 --> 00:00:24.200]  即是每個人都可以負責的了
[00:00:24.200 --> 00:00:26.600]  Kate就是,那時候我看著她不懂結他
[00:00:26.600 --> 00:00:28.400]  到今天自己做樂隊領袖,可以彈結他
[00:00:28.400 --> 00:00:29.400]  真的很厲害
[00:00:29.400 --> 00:00:32.400]  鼓勵大家,給她掌聲
[00:00:32.400 --> 00:00:34.400]  今天就是她,其他都是
[00:00:34.400 --> 00:00:37.000]  如果你想,其實她真的不懂的
[00:00:37.000 --> 00:00:38.800]  我看著她拿著木結他
[00:00:38.800 --> 00:00:42.000]  1、2、3、4這樣數到今天她可以彈結他
[00:00:42.000 --> 00:00:45.200]  其實我相信是神使用她
[00:00:45.200 --> 00:00:47.000]  還有她自己也下功夫了
[00:00:47.000 --> 00:00:49.000]  我覺得仍然是青少部的傳統
[00:00:49.000 --> 00:00:50.400]  如果你願意侍奉的話
[00:00:50.400 --> 00:00:52.800]  在不同的時代、不同的時段裏面
[00:00:52.800 --> 00:00:55.400]  你投入,我們都很想跟你一起去同行
[00:00:55.400 --> 00:00:56.800]  這是很重要的
[00:00:56.800 --> 00:00:59.600]  很開心,放了三個月假回來教會
[00:00:59.600 --> 00:01:02.400]  感受上,很久沒有踩過這個台了
[00:01:02.400 --> 00:01:05.000]  其實上個星期的領袖會,我也有說過
[00:01:05.000 --> 00:01:07.400]  但是今天,特別是港獨
[00:01:07.400 --> 00:01:09.200]  對我來說,作為一個牧師
[00:01:09.200 --> 00:01:12.400]  可以分享神的話,是我其中一個照明
[00:01:12.400 --> 00:01:14.000]  無論什麼地方
[00:01:14.000 --> 00:01:17.200]  這個都是我很著約、很想跟大家一起分享
[00:01:17.200 --> 00:01:19.200]  我想讓大家在神的話裏面得到幫助
[00:01:19.200 --> 00:01:22.200]  這個是我自己心裏的呼召
[00:01:22.200 --> 00:01:24.400]  尤其是在神的話裏面被改變
[00:01:24.400 --> 00:01:27.400]  對我來說,更加是一個很美麗的圖畫
[00:01:27.400 --> 00:01:30.400]  包括我自己的經歷,同樣都是這樣去做
[00:01:30.400 --> 00:01:31.800]  青少部今年的主題
[00:01:31.800 --> 00:01:34.800]  我們很想讓大家展現上帝的角度
[00:01:34.800 --> 00:01:36.000]  成為基督徒的精兵
[00:01:36.000 --> 00:01:37.400]  特別我們強調的是
[00:01:37.400 --> 00:01:39.400]  我們很想裝備、我們很想操練
[00:01:39.400 --> 00:01:40.800]  當然裝備當然是說
[00:01:40.800 --> 00:01:43.000]  我們很想去上一些主要學課程
[00:01:43.000 --> 00:01:44.600]  或者認識聖經真理多一點
[00:01:44.600 --> 00:01:47.600]  這個時候也是一個認識聖經真理的時間
[00:01:47.600 --> 00:01:49.000]  當然更加可以在主要學
[00:01:49.000 --> 00:01:51.800]  在其他不同的小組、茶經裏面可以做到
[00:01:51.800 --> 00:01:54.200]  操練呢,我們很想在生活上
[00:01:54.200 --> 00:01:56.800]  去多一點用基督徒的特質
[00:01:56.800 --> 00:01:59.000]  基督徒一些生命的元素
[00:01:59.000 --> 00:02:00.600]  或者生命的質素
[00:02:00.600 --> 00:02:02.600]  去面對在你生活上
[00:02:02.600 --> 00:02:05.200]  刻意地今年希望你可以操練一下
[00:02:05.200 --> 00:02:09.000]  特別今天我想和大家講的是信心的功課
[00:02:09.000 --> 00:02:14.800]  我近來就面對一些很大的信心的功課
[00:02:14.800 --> 00:02:16.600]  你有想關心我,就走過來找我
[00:02:16.600 --> 00:02:18.600]  不過又不適合在咪裏面這樣講
[00:02:18.600 --> 00:02:20.800]  不過我覺得這個信心的功課對我來說
[00:02:20.800 --> 00:02:26.600]  作為一個牧師,原來也有不同階段性的學習
[00:02:26.600 --> 00:02:28.600]  這個也是很重要的
[00:02:28.600 --> 00:02:31.400]  那麼今天講到的題目叫「安然順靠」
[00:02:31.400 --> 00:02:34.800]  我不知道你現在此刻你的生命的狀態如何
[00:02:34.800 --> 00:02:36.200]  或者你人生面對著
[00:02:36.200 --> 00:02:38.000]  或者可能你會說:沒有那麼嚴重的
[00:02:38.000 --> 00:02:39.600]  但我相信仍然過去
[00:02:39.600 --> 00:02:41.600]  可能你也會遇到一些風浪
[00:02:41.600 --> 00:02:43.800]  甚至可能現在你在風浪裏面
[00:02:43.800 --> 00:02:45.600]  你面對著、經歷著
[00:02:45.600 --> 00:02:47.600]  你怎樣去回應這個風浪呢?
[00:02:47.600 --> 00:02:51.400]  我想今天透過這篇講道讓你一起認識一下
[00:02:51.400 --> 00:02:53.400]  原來屬神的人、跟隨神的人
[00:02:53.400 --> 00:02:56.400]  我們在信仰裏面怎樣去面對
[00:02:56.400 --> 00:02:58.600]  過去也好,或者眼前也好
[00:02:58.600 --> 00:03:00.400]  或者預知將來也好
[00:03:00.400 --> 00:03:01.800]  當在風浪裏面的時候
[00:03:01.800 --> 00:03:03.600]  我們應該要抓緊的是甚麼
[00:03:03.600 --> 00:03:06.400]  可能你們未必像我現在47歲
[00:03:06.400 --> 00:03:08.600]  變了那麼多,中間有些比我大
[00:03:08.600 --> 00:03:10.400]  見慣世面那麼多東西
[00:03:10.400 --> 00:03:13.200]  不過你不能夠擔保將來的路
[00:03:13.200 --> 00:03:15.200]  有很多風浪你會存在
[00:03:15.200 --> 00:03:16.400]  希望今天這篇道
[00:03:16.400 --> 00:03:18.600]  你能夠聽到放在心裏面
[00:03:18.600 --> 00:03:20.600]  在你往後人生的路裏面
[00:03:20.600 --> 00:03:21.800]  DSE也好
[00:03:21.800 --> 00:03:24.800]  大學畢業出來之後找工作也好
[00:03:24.800 --> 00:03:27.600]  甚至可能職場裏面遇到很多跌跌碰碰也好
[00:03:27.600 --> 00:03:29.400]  希望你能夠記得到
[00:03:29.400 --> 00:03:30.400]  放在心裏面
[00:03:30.400 --> 00:03:32.000]  想起今天神的說話
[00:03:32.000 --> 00:03:34.600]  《馬福音》四章35至41章經文裏面
[00:03:34.600 --> 00:03:36.600]  對你生命有甚麼幫助
[00:03:36.600 --> 00:03:37.600]  這個很重要
[00:03:37.600 --> 00:03:38.800]  先問一下大家
[00:03:38.800 --> 00:03:39.800]  當你想起風暴
[00:03:39.800 --> 00:03:41.600]  我不知道你會想起甚麼
[00:03:41.600 --> 00:03:44.200]  很簡單,如果你說即時想起香港的處境
[00:03:44.200 --> 00:03:45.200]  可能是疫情
[00:03:45.200 --> 00:03:47.600]  可能是過去的社會事件
[00:03:47.600 --> 00:03:48.600]  或者這樣說
[00:03:48.600 --> 00:03:49.600]  真正的風暴
[00:03:49.600 --> 00:03:50.600]  颱風
[00:03:50.600 --> 00:03:53.600]  記得上一個最大最勁的颱風是誰嗎
[00:03:53.600 --> 00:03:54.600]  山竹
[00:03:54.600 --> 00:03:58.600]  很明顯是有傾向記住這些東西的
[00:03:58.600 --> 00:04:01.600]  我知道他的特質是這樣的
[00:04:01.600 --> 00:04:04.600]  我記得我那時候在大埔住
[00:04:04.600 --> 00:04:05.600]  村屋
[00:04:05.600 --> 00:04:06.600]  那次多誇張
[00:04:06.600 --> 00:04:09.600]  我見到颱風的時候
[00:04:09.600 --> 00:04:10.600]  村屋
[00:04:10.600 --> 00:04:14.600]  有沒有人知道村屋最高的層有個天台
[00:04:14.600 --> 00:04:16.000]  有間屋的天台
[00:04:16.000 --> 00:04:20.000]  整個天台的扇棚吹走了
[00:04:20.000 --> 00:04:21.000]  吹了去哪裏呢
[00:04:21.000 --> 00:04:23.000]  吹了在我車附近
[00:04:23.000 --> 00:04:24.000]  紮在別人的車裏
[00:04:24.000 --> 00:04:26.000]  那個扇棚有多大呢
[00:04:26.000 --> 00:04:31.000]  是整個三樓天台的面積700呎這麼大
[00:04:31.000 --> 00:04:35.000]  然後我最後知道哪間屋的人飛了出來
[00:04:35.000 --> 00:04:36.000]  他紮爛了車
[00:04:36.000 --> 00:04:38.000]  但那間屋在那個車
[00:04:38.000 --> 00:04:41.000]  其實是相隔差不多500至1000米的距離
[00:04:41.000 --> 00:04:44.000]  所以可想而知那次是很嚴重
[00:04:44.000 --> 00:04:45.000]  你一想起風暴
[00:04:45.000 --> 00:04:47.000]  你會想起可能是疫情
[00:04:47.000 --> 00:04:48.000]  可能想起社會事件
[00:04:48.000 --> 00:04:50.000]  亦都可能想起真實
[00:04:50.000 --> 00:04:53.000]  一些天氣上的東西
[00:04:53.000 --> 00:04:56.000]  天文台說甚麼叫風暴呢
[00:04:56.000 --> 00:04:58.000]  簡單說如果風力達到10至11級
[00:04:58.000 --> 00:05:01.000]  它就算成為一個颱風一個風暴
[00:05:01.000 --> 00:05:04.000]  這個風暴必定會帶來一些破壞的
[00:05:04.000 --> 00:05:05.000]  無論是花草樹木
[00:05:05.000 --> 00:05:06.000]  流雨也好
[00:05:06.000 --> 00:05:08.000]  浪起白頭浪也好
[00:05:08.000 --> 00:05:11.000]  但原來風暴和破壞
[00:05:11.000 --> 00:05:14.000]  其實是常常都會放在一起去理解的
[00:05:14.000 --> 00:05:16.000]  可能你說風暴是大自然的
[00:05:16.000 --> 00:05:18.000]  可能是疫情的
[00:05:18.000 --> 00:05:19.000]  不過我更加作為一個牧師
[00:05:19.000 --> 00:05:21.000]  我不單止是說大自然
[00:05:21.000 --> 00:05:23.000]  其實我是說人生面對的風暴
[00:05:23.000 --> 00:05:26.000]  其實心靈的風暴都是很重要的
[00:05:26.000 --> 00:05:27.000]  或者這樣說
