
[00:00:00.000 --> 00:00:04.000]  今晚是農曆新年,周六晚堂第一個崇拜
[00:00:04.000 --> 00:00:08.000]  蘇牧師常常說要生活信仰化,然後甚麼?
[00:00:08.000 --> 00:00:10.000]  信仰要生活化
[00:00:10.000 --> 00:00:13.000]  所以我今天也很想跟大家說一聲
[00:00:13.000 --> 00:00:15.000]  恭喜發財!
[00:00:15.000 --> 00:00:18.000]  恭喜大家發天上的財
[00:00:18.000 --> 00:00:20.000]  積財於天,好不好?
[00:00:20.000 --> 00:00:23.000]  另外祝大家馬年進步
[00:00:23.000 --> 00:00:25.000]  靈命加碼
[00:00:25.000 --> 00:00:27.000]  快馬一鞭
[00:00:27.000 --> 00:00:28.000]  快馬一鞭做甚麼呢?
[00:00:28.000 --> 00:00:30.000]  直奔彪過
[00:00:30.000 --> 00:00:32.000]  但願大家在新的一年當中
[00:00:32.000 --> 00:00:35.000]  大大可以得到天上的賜福
[00:00:35.000 --> 00:00:38.000]  甚至我們要積財於天上
[00:00:38.000 --> 00:00:43.000]  好了,今年恩福家其實很想弟兄姊妹關心一個議題
[00:00:43.000 --> 00:00:44.000]  一個甚麼議題呢?
[00:00:44.000 --> 00:00:46.000]  就是接棒的議題
[00:00:46.000 --> 00:00:48.000]  甚至很想弟兄姊妹成為接棒人
[00:00:48.000 --> 00:00:52.000]  因為教會,甚至整個教會界
[00:00:52.000 --> 00:00:54.000]  都是面臨一個交接的時代
[00:00:54.000 --> 00:00:56.000]  如果是教會聚會
[00:00:56.000 --> 00:00:58.000]  有二十年讀的弟兄姊妹
[00:00:58.000 --> 00:00:59.000]  其實你也知道
[00:00:59.000 --> 00:01:02.000]  在上一代很出名的牧師
[00:01:02.000 --> 00:01:04.000]  一個一個退下來
[00:01:04.000 --> 00:01:06.000]  當中好像有畢孫的蕭秀華牧師
[00:01:06.000 --> 00:01:10.000]  又或者建道神學院的梁家倫院長
[00:01:10.000 --> 00:01:12.000]  甚至我們所愛的蘇牧師
[00:01:12.000 --> 00:01:14.000]  他都已經退休了
[00:01:14.000 --> 00:01:15.000]  那代表甚麼呢?
[00:01:15.000 --> 00:01:17.000]  代表其實有一班弟兄姊妹
[00:01:17.000 --> 00:01:21.000]  都和牧師們一起去擴展神覺
[00:01:21.000 --> 00:01:24.000]  但其實這班弟兄姊妹都會慢慢退下來
[00:01:24.000 --> 00:01:28.000]  所以今時今日教會很需要有接棒人
[00:01:28.000 --> 00:01:32.000]  由於約書亞紀在聖經當中
[00:01:32.000 --> 00:01:34.000]  都是一個接棒人的表表者
[00:01:34.000 --> 00:01:36.000]  都是一個學習的榜樣
[00:01:36.000 --> 00:01:38.000]  所以約書亞紀都成為恩福家
[00:01:38.000 --> 00:01:42.000]  每月一次教會講道主題的正道經卷
[00:01:42.000 --> 00:01:45.000]  其實要接棒不是一件容易的事
[00:01:45.000 --> 00:01:48.000]  當中都會面對很多的難度和困難
[00:01:48.000 --> 00:01:50.000]  大家覺得有甚麼難度呢?
[00:01:50.000 --> 00:01:52.000]  如果要接棒的話
[00:01:52.000 --> 00:01:55.000]  第一是不要找我接棒
[00:01:55.000 --> 00:01:56.000]  很害怕這件事
[00:01:56.000 --> 00:01:58.000]  第二是甚麼呢?
[00:01:58.000 --> 00:02:01.000]  可能是環境導致你懼怕去接棒
[00:02:01.000 --> 00:02:04.000]  甚至你都不想去接棒
[00:02:04.000 --> 00:02:06.000]  今日很想透過約書亞紀一個人物
[00:02:06.000 --> 00:02:09.000]  去看如何跨越恐懼
[00:02:09.000 --> 00:02:12.000]  其實這個人物身份都很具爭議性
[00:02:12.000 --> 00:02:13.000]  為甚麼爭議性呢?
[00:02:13.000 --> 00:02:15.000]  首先他是一個妓女
[00:02:15.000 --> 00:02:17.000]  另外他不是以色列人
[00:02:17.000 --> 00:02:19.000]  雖然他是一個妓女
[00:02:19.000 --> 00:02:21.000]  一個人人太低的人
[00:02:21.000 --> 00:02:24.000]  但他居然在耶穌的族譜中
[00:02:24.000 --> 00:02:26.000]  四個女士之中
[00:02:26.000 --> 00:02:28.000]  是其中一位
[00:02:28.000 --> 00:02:30.000]  這個妓女叫甚麼名字呢?
[00:02:30.000 --> 00:02:32.000]  就叫拉合
[00:02:32.000 --> 00:02:34.000]  其實當時拉合身處的城市
[00:02:34.000 --> 00:02:36.000]  都是充滿恐懼
[00:02:36.000 --> 00:02:37.000]  人心惶惶
[00:02:37.000 --> 00:02:39.000]  可能我們香港人
[00:02:39.000 --> 00:02:41.000]  叫香港這個城市都可能會是
[00:02:41.000 --> 00:02:44.000]  今日都很想和大家一起
[00:02:44.000 --> 00:02:46.000]  透過拉合的身相
[00:02:46.000 --> 00:02:49.000]  去看如何跨越恐懼
[00:02:49.000 --> 00:02:51.000]  和神有甚麼關係呢?
