
[00:00:00.000 --> 00:00:03.000]  我們請低頭,一起讀禱告
[00:00:03.000 --> 00:00:08.000]  耶穌,我們感謝祢
[00:00:08.000 --> 00:00:12.000]  祢賜下永生的禮物
[00:00:12.000 --> 00:00:16.000]  讓我們在祢所預定的日子
[00:00:16.000 --> 00:00:19.000]  能夠聽得明白福音,去歸向祢
[00:00:19.000 --> 00:00:22.000]  又賜給我們教會的生活
[00:00:22.000 --> 00:00:26.000]  又賜給我們弟兄姊妹
[00:00:26.000 --> 00:00:29.000]  也有祢給我們的家庭,我們的工作,我們的任務
[00:00:29.000 --> 00:00:31.000]  為這一切去感謝祢
[00:00:31.000 --> 00:00:35.000]  繼續讓我們同走永生的道路
[00:00:35.000 --> 00:00:39.000]  開我們眼睛,讓我們能夠聽得到祢的聲音
[00:00:39.000 --> 00:00:44.000]  也靠著祢給我們的信心,去作出合而的回應
[00:00:44.000 --> 00:00:45.000]  一切榮耀都歸給祢
[00:00:45.000 --> 00:00:48.000]  聽我們禱告,奉耶穌基督的名號
[00:00:48.000 --> 00:00:49.000]  阿們
[00:00:49.000 --> 00:00:57.000]  今晚的講題是「堅守信仰,保守又激進」
[00:00:57.000 --> 00:00:59.000]  是在說七教會別加摩
[00:00:59.000 --> 00:01:04.000]  昨晚我看到一幅圖
[00:01:04.000 --> 00:01:07.000]  我覺得這幅圖很能表達這一點
[00:01:07.000 --> 00:01:09.000]  有沒有人今天看過?
[00:01:09.000 --> 00:01:11.000]  在巴西有一個嬰兒
[00:01:11.000 --> 00:01:13.000]  他出生的時候
[00:01:13.000 --> 00:01:15.000]  左手拿著一個
[00:01:15.000 --> 00:01:21.000]  兩年前他媽媽想著避孕
[00:01:21.000 --> 00:01:24.000]  基本上這個嬰兒是不太可能出生的
[00:01:24.000 --> 00:01:27.000]  是放在體內
[00:01:27.000 --> 00:01:30.000]  但又在神跡的情況下
[00:01:30.000 --> 00:01:32.000]  我相信是神很愛這個嬰兒
[00:01:32.000 --> 00:01:34.000]  我自己有個感覺
[00:01:34.000 --> 00:01:37.000]  也讓我們反思一下什麼是生命
[00:01:37.000 --> 00:01:41.000]  這個嬰兒在未出生的時候已經在打這場硬仗
[00:01:41.000 --> 00:01:43.000]  就是要堅守他的生命
[00:01:43.000 --> 00:01:46.000]  他本身是個胚胎,可能什麼都沒有
[00:01:46.000 --> 00:01:50.000]  如何能夠和金屬共存
[00:01:50.000 --> 00:01:53.000]  而能夠安全地來到這個世界
[00:01:53.000 --> 00:01:56.000]  我相信有神為他的保守
[00:01:56.000 --> 00:01:58.000]  當然這幅圖很好
[00:01:58.000 --> 00:02:03.000]  他講的是以勝利者的姿態出生
[00:02:03.000 --> 00:02:06.000]  一個德性
[00:02:06.000 --> 00:02:09.000]  我們自己身為香港人
[00:02:09.000 --> 00:02:11.000]  或者本地的居民
[00:02:11.000 --> 00:02:15.000]  或多或少我們都承受不同的壓力
[00:02:15.000 --> 00:02:17.000]  如果你覺得有一點壓力的話
[00:02:17.000 --> 00:02:19.000]  請你舉手
[00:02:19.000 --> 00:02:22.000]  已經夠了
[00:02:22.000 --> 00:02:25.000]  有很多不同類型的壓力
[00:02:25.000 --> 00:02:26.000]  有經濟壓力
[00:02:26.000 --> 00:02:27.000]  有開飯的壓力
[00:02:27.000 --> 00:02:29.000]  有政治的壓力
[00:02:29.000 --> 00:02:31.000]  有新的施政報告
[00:02:31.000 --> 00:02:34.000]  最後那一項對某些人可能比較輕鬆
[00:02:34.000 --> 00:02:37.000]  可以放寬帶毛孩子去餐廳
[00:02:37.000 --> 00:02:40.000]  大家覺得這個好不好?
[00:02:40.000 --> 00:02:43.000]  好的,這個是正面的
[00:02:43.000 --> 00:02:47.000]  有工作壓力、人際壓力、消費壓力、退休壓力
[00:02:47.000 --> 00:02:49.000]  可以一直數下去
[00:02:49.000 --> 00:02:52.000]  但不知道大家回來教會有沒有壓力呢?
[00:02:52.000 --> 00:02:55.000]  今晚一起看別加摩的教會
[00:02:55.000 --> 00:03:00.000]  它正正是裡外都受很大壓力的教會
[00:03:00.000 --> 00:03:02.000]  一會兒一起看看
[00:03:02.000 --> 00:03:06.000]  主基督透過這教會想跟我們講什麼訊息
[00:03:06.000 --> 00:03:10.000]  第一是講到他外在的環境
[00:03:10.000 --> 00:03:12.000]  第二是他有內部的問題
[00:03:12.000 --> 00:03:15.000]  第三是基督次下的出路
