
[00:00:00.000 --> 00:00:03.160]  所以今天就但願我們繼續我們中堂的講道系列
[00:00:03.160 --> 00:00:04.160]  創世紀
[00:00:04.160 --> 00:00:05.320]  如果大家好記性
[00:00:05.320 --> 00:00:07.480]  可能你會記得上一次講道的時候
[00:00:07.480 --> 00:00:08.680]  跟大家分享到
[00:00:08.680 --> 00:00:10.280]  創世紀十一章
[00:00:10.280 --> 00:00:12.320]  有關巴別塔的故事
[00:00:12.320 --> 00:00:15.280]  講題是墮落的對症
[00:00:15.280 --> 00:00:18.080]  今天我們去到第二集了
[00:00:18.080 --> 00:00:19.920]  正所謂沒有最低
[00:00:19.920 --> 00:00:21.200]  就只有更低
[00:00:21.200 --> 00:00:22.760]  沒有最墮落
[00:00:22.760 --> 00:00:24.360]  只有更墮落
[00:00:24.360 --> 00:00:25.280]  可能你會覺得
[00:00:25.280 --> 00:00:27.400]  巴別塔的年代
[00:00:27.400 --> 00:00:30.320]  那時候的人已經是罪大惡極了
[00:00:30.320 --> 00:00:33.080]  但今天我們進到創世紀十八和十九章
[00:00:33.080 --> 00:00:35.240]  你會看到聖經當中很出名的
[00:00:35.240 --> 00:00:37.760]  罪惡之城所多瑪
[00:00:37.760 --> 00:00:39.880]  當中的罪惡的程度
[00:00:39.880 --> 00:00:42.120]  更加令人吃驚
[00:00:42.120 --> 00:00:44.600]  雖然今天講題是叫墮落的見證
[00:00:44.600 --> 00:00:45.800]  一個第二集
[00:00:45.800 --> 00:00:48.480]  但我不會再將焦點放在人的罪惡裡面
[00:00:48.480 --> 00:00:49.680]  因為有很長時間講
[00:00:49.680 --> 00:00:50.920]  講到明天都講不完
[00:00:50.920 --> 00:00:53.480]  反而我會想看看這兩章裡面
[00:00:53.480 --> 00:00:56.960]  在當時一個罪惡滿盈的背景裡面
[00:00:56.960 --> 00:00:59.480]  究竟神的真善美
[00:00:59.480 --> 00:01:02.280]  或者一個相信神的人
[00:01:02.280 --> 00:01:05.680]  怎樣靠著主的信、忘、愛
[00:01:05.680 --> 00:01:08.560]  仍然可以在邪惡和黑暗的世代當中
[00:01:08.560 --> 00:01:10.360]  為主發光呢?
[00:01:10.360 --> 00:01:12.520]  正如在教會的年曆裡面
[00:01:12.520 --> 00:01:15.200]  我們已經進入了復活期
[00:01:15.200 --> 00:01:16.160]  那可能你說
[00:01:16.160 --> 00:01:17.760]  「啊?復活期?不是過了嗎?」
