
[00:00:00.000 --> 00:00:02.000]  主持人:早晨,大家卿姐妹
[00:00:02.000 --> 00:00:08.000]  今早我們的訊息經文是取自於約翰一書一章一至十節全章
[00:00:08.000 --> 00:00:11.000]  約翰那個年代,諾斯底主義橫流
[00:00:11.000 --> 00:00:13.000]  他們相信物質世界是罪惡的
[00:00:13.000 --> 00:00:15.000]  所以信徒千萬不要碰物質
[00:00:15.000 --> 00:00:19.000]  他們相信人的得救就是在於否定物質世界
[00:00:19.000 --> 00:00:21.000]  我想問你,如果在現今的世代
[00:00:21.000 --> 00:00:23.000]  有這樣的諾斯底主義在教會跟你說
[00:00:23.000 --> 00:00:27.000]  要否定物質世界,你猜你和我能不能生存?
[00:00:27.000 --> 00:00:29.000]  一定不行,為什麼?
[00:00:29.000 --> 00:00:32.000]  因為每天我們看到你和我的Facebook裡面
[00:00:32.000 --> 00:00:34.000]  通常最容易顯示出來的是什麼?
[00:00:34.000 --> 00:00:37.000]  就是食物的物質世界
[00:00:37.000 --> 00:00:39.000]  突然間他們否定這一切的話
[00:00:39.000 --> 00:00:41.000]  你說你和我是不是死都不知道去哪裡了?
[00:00:41.000 --> 00:00:44.000]  當時他們真的這麼相信
[00:00:44.000 --> 00:00:47.000]  而且他們否認耶穌是人
[00:00:47.000 --> 00:00:50.000]  當時有個幻影說,相信耶穌只是一個影子而已
[00:00:50.000 --> 00:00:53.000]  所以這個主義走至極端的時候
[00:00:53.000 --> 00:00:55.000]  對當代的信徒成為了一個迷惑
[00:00:55.000 --> 00:00:57.000]  就是他們會否定物質世界
[00:00:57.000 --> 00:00:59.000]  而不是拒絕
[00:00:59.000 --> 00:01:02.000]  好像在約翰一書裡面提到
[00:01:02.000 --> 00:01:05.000]  不是拒絕物質世界帶來給我們的隱憂
[00:01:05.000 --> 00:01:07.000]  倒過來,他們走到另外一個極端
[00:01:07.000 --> 00:01:09.000]  就會走進放縱道德生活
[00:01:09.000 --> 00:01:12.000]  因為他們同時又不相信審判
[00:01:12.000 --> 00:01:15.000]  兩者都會叫信徒進入信仰離地
[00:01:15.000 --> 00:01:18.000]  或者放棄信仰的外邦人生活形態
[00:01:18.000 --> 00:01:21.000]  而約翰,藉著約翰一書強調
[00:01:21.000 --> 00:01:24.000]  信徒的生命不應該否定物質世界
[00:01:24.000 --> 00:01:27.000]  也不應該看它為罪惡、邪惡
[00:01:27.000 --> 00:01:30.000]  反而我們要靠神不要愛世界
[00:01:30.000 --> 00:01:32.000]  拒絕世界的隱憂
[00:01:32.000 --> 00:01:33.000]  另一方面他強調
[00:01:33.000 --> 00:01:37.000]  信徒在地上的見證能力在於彼此相愛
[00:01:37.000 --> 00:01:39.000]  建立基督信仰的聯繫
[00:01:39.000 --> 00:01:40.000]  才能夠有力見證神
[00:01:40.000 --> 00:01:42.000]  不過一切都是由第一章
[00:01:42.000 --> 00:01:44.000]  全章說如何與神相交
[00:01:44.000 --> 00:01:46.000]  建立親密的關係為起點
[00:01:46.000 --> 00:01:49.000]  抗衡異端橫流、道德歪風
[00:01:49.000 --> 00:01:52.000]  在當代的世界活出不一樣的信仰
[00:01:52.000 --> 00:01:55.000]  由個人起至群體
[00:01:55.000 --> 00:01:58.000]  有種不一樣的信仰新常態
[00:01:58.000 --> 00:02:05.000]  有沒有看過新聞這幅圖
[00:02:05.000 --> 00:02:08.000]  有多少人去過老人院探你的親友
[00:02:08.000 --> 00:02:10.000]  是這樣探過的
[00:02:10.000 --> 00:02:15.000]  其實這幅圖我不太想拿出來
[00:02:15.000 --> 00:02:18.000]  因為好像以前一套科幻片
[00:02:18.000 --> 00:02:19.000]  《ET瘋Home》
[00:02:19.000 --> 00:02:20.000]  記不記得ET
[00:02:20.000 --> 00:02:23.000]  看這套片的ET瘋Home
[00:02:23.000 --> 00:02:25.000]  其實是流著眼淚的
[00:02:25.000 --> 00:02:27.000]  而這幅圖不是一個
[00:02:27.000 --> 00:02:29.000]  我不覺得是一個開心的景象
[00:02:29.000 --> 00:02:31.000]  很多時候往往
[00:02:31.000 --> 00:02:33.000]  也是很多親友的親身經歷
[00:02:33.000 --> 00:02:35.000]  當我在厚的玻璃屏幕
[00:02:35.000 --> 00:02:38.000]  和親人手指對手指
[00:02:38.000 --> 00:02:40.000]  表明我們互相的愛惜之後
[00:02:40.000 --> 00:02:43.000]  這個見面可能是你最後一次見面
[00:02:43.000 --> 00:02:45.000]  所以在疫情中間
[00:02:45.000 --> 00:02:47.000]  很多的講座
[00:02:47.000 --> 00:02:48.000]  講關於如何找到幸福
[00:02:48.000 --> 00:02:50.000]  如何能夠保障精神健康
[00:02:50.000 --> 00:02:52.000]  我們要有正面情緒
[00:02:52.000 --> 00:02:54.000]  要全心投入我們的生活
[00:02:54.000 --> 00:02:55.000]  要有正面的關係
[00:02:55.000 --> 00:02:59.000]  要如何在沉悶的生活中找到意義
[00:02:59.000 --> 00:03:00.000]  其實容易嗎
[00:03:00.000 --> 00:03:03.000]  有多少人覺得可以的
[00:03:03.000 --> 00:03:04.000]  舉手看看
[00:03:04.000 --> 00:03:07.000]  好,不要動
[00:03:07.000 --> 00:03:09.000]  其實如果剛才拍的照片
[00:03:09.000 --> 00:03:11.000]  大部分人都不行的
[00:03:11.000 --> 00:03:13.000]  我反而想留影這張照片
[00:03:13.000 --> 00:03:15.000]  如果連教會的信眾都說不行
[00:03:15.000 --> 00:03:17.000]  我不知道外面的世界的人行不行
[00:03:17.000 --> 00:03:19.000]  其實今天我們這個世界
[00:03:19.000 --> 00:03:20.000]  落在新冠疫情底下
[00:03:20.000 --> 00:03:23.000]  同樣是揭露了人性生命的脆弱的真相
[00:03:23.000 --> 00:03:25.000]  長期的社交距離
[00:03:25.000 --> 00:03:27.000]  已經打垮了全人類的生命常態
[00:03:27.000 --> 00:03:29.000]  人心真的孤立了很多
[00:03:29.000 --> 00:03:31.000]  世紀不安
[00:03:31.000 --> 00:03:33.000]  精神心理健康大受打擊
[00:03:33.000 --> 00:03:34.000]  真的唯有等候
[00:03:34.000 --> 00:03:37.000]  呼求上帝完全超然的拯救
[00:03:37.000 --> 00:03:39.000]  和祂的連率將疫情除去
[00:03:39.000 --> 00:03:42.000]  慢慢叫我們信徒可以恢復信心
[00:03:42.000 --> 00:03:43.000]  團結一心的
[00:03:43.000 --> 00:03:46.000]  重建破損了的教會生活
[00:03:46.000 --> 00:03:48.000]  而我們不要再做獨行俠
[00:03:48.000 --> 00:03:51.000]  或者是隔空結連這種苦況
[00:03:51.000 --> 00:03:53.000]  大家Zoom夠了嗎?
[00:03:53.000 --> 00:03:56.000]  夠不夠?夠了
[00:03:56.000 --> 00:03:59.000]  你是不是應該想將你的電腦都丟掉?
[00:03:59.000 --> 00:04:01.000]  真的很折騰
[00:04:01.000 --> 00:04:03.000]  還有這種隔空結連是苦況
[00:04:03.000 --> 00:04:04.000]  是不真實的
[00:04:04.000 --> 00:04:06.000]  我們也不想再隔窗探望
[00:04:06.000 --> 00:04:09.000]  我們很呼求能夠實體的重建
