
[00:00:00.000 --> 00:00:04.160]  好,敬拜隊帶領我們剛才的敬拜
[00:00:04.160 --> 00:00:06.160]  那首新歌我覺得很感動
[00:00:06.160 --> 00:00:08.800]  其實帶我們回到上帝的根前
[00:00:08.800 --> 00:00:10.800]  其實是一件很美好的事
[00:00:10.800 --> 00:00:12.800]  很多時候生命裏面
[00:00:12.800 --> 00:00:14.800]  很忙碌
[00:00:14.800 --> 00:00:16.800]  很多時候很忙碌
[00:00:16.800 --> 00:00:18.800]  可能你會覺得孤單
[00:00:18.800 --> 00:00:21.360]  擔憂,或者靠自己的努力
[00:00:21.360 --> 00:00:23.360]  好像做到極限都做不到
[00:00:23.360 --> 00:00:25.360]  但其實這首歌好像在提醒我們
[00:00:25.360 --> 00:00:28.320]  其實不是靠我們的能力去做到
[00:00:28.320 --> 00:00:30.320]  很多時候我們要回到上帝的裏面
[00:00:30.320 --> 00:00:32.320]  讓祂帶領我們的生命
[00:00:32.320 --> 00:00:34.320]  其實來得更加緊要
[00:00:34.320 --> 00:00:36.320]  很盼望剛才的敬拜
[00:00:36.320 --> 00:00:38.320]  都可以帶領你渴望那種
[00:00:38.320 --> 00:00:40.320]  同主相遇,同住一齊
[00:00:40.320 --> 00:00:42.320]  那種日子
[00:00:42.320 --> 00:00:44.320]  很盼望大家往後
[00:00:44.320 --> 00:00:46.320]  即是你們無論是
[00:00:46.320 --> 00:00:48.320]  高中考試或者大專
[00:00:48.320 --> 00:00:50.320]  開始放假的裏面
[00:00:50.320 --> 00:00:52.320]  你都渴望那樣東西,好嗎?堅持的
[00:00:52.320 --> 00:00:54.320]  同神有那種親密,那種親近
[00:00:54.320 --> 00:00:56.320]  我們開始
[00:00:56.320 --> 00:00:58.320]  我們講到之前
[00:00:58.320 --> 00:01:00.320]  不如我們有少許禱告,好嗎?
[00:01:00.320 --> 00:01:02.320]  一起祈禱
[00:01:02.320 --> 00:01:04.320]  參與天父,我們很感謝你
[00:01:04.320 --> 00:01:06.320]  感謝你就是這樣
[00:01:06.320 --> 00:01:08.320]  牽引我們回到你的裏面
[00:01:08.320 --> 00:01:10.320]  並且你要做我們的主
[00:01:10.320 --> 00:01:12.320]  你要做我們的主
[00:01:12.320 --> 00:01:14.320]  你要做我們的保護者、看顧者
[00:01:14.320 --> 00:01:16.320]  主一向來就帶領我們
[00:01:16.320 --> 00:01:18.320]  將朝怎樣看著你,並且我們渴望去聆聽
[00:01:18.320 --> 00:01:20.320]  你的聲音
[00:01:20.320 --> 00:01:22.320]  讓我們在生命裏面,因著你的懷疑
[00:01:22.320 --> 00:01:24.320]  我們可以去知道我們生命的路
[00:01:24.320 --> 00:01:26.320]  應該怎樣去行主
[00:01:26.320 --> 00:01:28.320]  讓我們這班羊
[00:01:28.320 --> 00:01:30.320]  可以回到你好目人的裏面
[00:01:30.320 --> 00:01:32.320]  享受你的拖帶
[00:01:32.320 --> 00:01:34.320]  主我們感謝你,祈禱交托
[00:01:34.320 --> 00:01:36.320]  奉主耶穌基督的名義祈求,阿們
[00:01:36.320 --> 00:01:38.320]  2016年的時候
[00:01:38.320 --> 00:01:40.320]  有兩個作者
[00:01:40.320 --> 00:01:42.320]  叫Ted Klug
[00:01:42.320 --> 00:01:44.320]  和Ronnie Martin寫了一本書
[00:01:44.320 --> 00:01:46.320]  叫Bright Silla of Christ
[00:01:46.320 --> 00:01:48.320]  英文字很複雜
[00:01:48.320 --> 00:01:50.320]  其實是在講什麼呢?
[00:01:50.320 --> 00:01:52.320]  就是Bright這個字,就好像
[00:01:52.320 --> 00:01:54.320]  新娘
[00:01:54.320 --> 00:01:56.320]  在聖經裏面就形容
[00:01:56.320 --> 00:01:58.320]  教會就好像主耶穌基督的新娘
[00:01:58.320 --> 00:02:00.320]  會結連
[00:02:00.320 --> 00:02:02.320]  結連在一起,甚至在啟示錄裏面
[00:02:02.320 --> 00:02:04.320]  會說會有一個婚宴
[00:02:04.320 --> 00:02:06.320]  就是教會和主耶穌基督的
[00:02:06.320 --> 00:02:08.320]  一個婚宴,所以通常
[00:02:08.320 --> 00:02:10.320]  Bright這個新娘字
[00:02:10.320 --> 00:02:12.320]  是在形容教會
[00:02:12.320 --> 00:02:14.320]  但這兩個作者很諷刺
[00:02:14.320 --> 00:02:16.320]  他們寫了一本書,就在說
[00:02:16.320 --> 00:02:18.320]  為什麼基督的新娘
[00:02:18.320 --> 00:02:20.320]  好像哥斯拉
[00:02:20.320 --> 00:02:22.320]  給哥斯拉看看
[00:02:22.320 --> 00:02:24.320]  這個折心整的,我覺得很漂亮
[00:02:24.320 --> 00:02:26.320]  教會
[00:02:26.320 --> 00:02:28.320]  其實通常我們
[00:02:28.320 --> 00:02:30.320]  都會有些憧憬
[00:02:30.320 --> 00:02:32.320]  教會很溫馨,我們成為一家人
[00:02:32.320 --> 00:02:34.320]  大家抱頭抱頸,哭了
[00:02:34.320 --> 00:02:36.320]  很開心,很溫馨
[00:02:36.320 --> 00:02:38.320]  每天都掛念大家
[00:02:38.320 --> 00:02:40.320]  是不是?現實是不是這樣呢?
[00:02:40.320 --> 00:02:42.320]  兩個作者
[00:02:42.320 --> 00:02:44.320]  不斷找了很多個案
[00:02:44.320 --> 00:02:46.320]  很多個故事,甚至
[00:02:46.320 --> 00:02:48.320]  編輯了一本書
[00:02:48.320 --> 00:02:50.320]  就說為什麼有時候我們的教會
[00:02:50.320 --> 00:02:52.320]  有時候好像變了哥斯拉
[00:02:52.320 --> 00:02:54.320]  不單止不是一個家
[00:02:54.320 --> 00:02:56.320]  甚至嚇到人,這麼恐怖
[00:02:56.320 --> 00:02:58.320]  有時候的確
[00:02:58.320 --> 00:03:00.320]  教會裡面有紛爭
[00:03:00.320 --> 00:03:02.320]  有不和,都真的很難避免
[00:03:02.320 --> 00:03:04.320]  不知道大家覺不覺得
[00:03:04.320 --> 00:03:06.320]  的確是的,是不是?
[00:03:06.320 --> 00:03:08.320]  每一個人都有不同的性格
[00:03:08.320 --> 00:03:10.320]  不同的看法,不同的信念,不同的喜好
[00:03:10.320 --> 00:03:12.320]  吃一頓飯都可以搞很久
[00:03:12.320 --> 00:03:14.320]  可以吃兩餐
[00:03:14.320 --> 00:03:16.320]  或者家聚做什麼
[00:03:16.320 --> 00:03:18.320]  都可以搞一餐
[00:03:18.320 --> 00:03:20.320]  每一個人都有不同的
[00:03:20.320 --> 00:03:22.320]  獨特性在裡面
[00:03:22.320 --> 00:03:24.320]  要這麼多不同獨特性的人
[00:03:24.320 --> 00:03:26.320]  走在一起,其實很容易會有衝突
[00:03:26.320 --> 00:03:28.320]  講個故事給你聽
[00:03:28.320 --> 00:03:30.320]  那時候
[00:03:30.320 --> 00:03:32.320]  我太太,她去澳洲讀書
[00:03:32.320 --> 00:03:34.320]  回到一間教會
[00:03:34.320 --> 00:03:36.320]  那間教會,百多人左右
