
[00:00:00.000 --> 00:00:04.120]  亦很感恩今天能夠跟大家分享訊息
[00:00:04.120 --> 00:00:07.800]  因為在週末有點不舒服
[00:00:07.800 --> 00:00:09.680]  昨天也不敢怎樣活動
[00:00:09.680 --> 00:00:11.160]  只好留在家中
[00:00:11.160 --> 00:00:16.040]  很感恩能夠回來分享上帝說話
[00:00:16.040 --> 00:00:17.120]  非常開心
[00:00:17.120 --> 00:00:19.200]  也很想鼓勵大家
[00:00:19.200 --> 00:00:22.000]  在本星期有講九培靈言經大會
[00:00:22.000 --> 00:00:24.120]  我們恩福也是其中一個轉播中心
[00:00:24.120 --> 00:00:27.800]  很期望大家能夠抽時間出來參與
[00:00:27.800 --> 00:00:30.280]  無論是曾家法牧師、龔永軒博士
[00:00:30.280 --> 00:00:32.240]  和董家華牧師
[00:00:32.240 --> 00:00:34.480]  我們都很熟悉和敬愛
[00:00:34.480 --> 00:00:37.360]  當中有些是我私下認識的港元
[00:00:37.360 --> 00:00:39.520]  知道他們的生命有很好的見證
[00:00:39.520 --> 00:00:41.600]  很鼓勵大家一起出席
[00:00:41.600 --> 00:00:43.600]  我們開始的時候一起禱告
[00:00:43.600 --> 00:00:46.680]  真是天父我們感謝你
[00:00:46.680 --> 00:00:49.520]  讓我們能夠來到主你面前
[00:00:49.520 --> 00:00:51.040]  去聆聽你的話語
[00:00:51.040 --> 00:00:53.240]  求主你繼續在今天裡面
[00:00:53.240 --> 00:00:54.440]  向我們說話
[00:00:54.440 --> 00:00:58.000]  成為我們心中的安慰、激勵和幫助
[00:00:58.000 --> 00:01:02.320]  也願意讓我們在一個很大雨的情況
[00:01:02.320 --> 00:01:05.200]  剛才走過來的時候居然一滴雨也沒有
[00:01:05.200 --> 00:01:08.480]  上帝你也在每一個間隔裡照顧我們
[00:01:08.480 --> 00:01:09.600]  我們也很感謝你
[00:01:09.600 --> 00:01:11.480]  求主你繼續祝福我們接下來的時間
[00:01:11.480 --> 00:01:13.640]  我們禱告奉耶穌基督的名
[00:01:13.640 --> 00:01:14.440]  阿們
[00:01:14.440 --> 00:01:18.960]  今天想和大家繼續分享尼加書
[00:01:18.960 --> 00:01:21.080]  上次和大家說了尼加書
[00:01:21.080 --> 00:01:23.040]  是一個很艱難的日子
[00:01:23.040 --> 00:01:25.040]  是一個普世失控的日子
[00:01:25.040 --> 00:01:26.360]  上帝的掌權
[00:01:26.360 --> 00:01:28.360]  今天尼加書我想這樣
[00:01:28.360 --> 00:01:30.560]  首先我會讀一至二節
