
[00:00:00.000 --> 00:00:02.000]  鄧英姐妹午安
[00:00:02.000 --> 00:00:06.000]  很開心今天跟大家分享整個說話
[00:00:06.000 --> 00:00:10.000]  對我來說是一件不容易的事
[00:00:10.000 --> 00:00:13.000]  因為分享整個說話也是我的使命
[00:00:13.000 --> 00:00:17.000]  同樣也知道比較尷尬
[00:00:17.000 --> 00:00:20.000]  因為這是最後一次能夠在這裡講道
[00:00:20.000 --> 00:00:22.000]  不過我仍然在今天開始的時候
[00:00:22.000 --> 00:00:25.000]  跟整個視訪團隊的鄧英姐妹分享
[00:00:25.000 --> 00:00:27.000]  其實很享受或者很開心
[00:00:27.000 --> 00:00:30.000]  很開心跟大家一起在青少部敬拜
[00:00:30.000 --> 00:00:32.000]  講道聽道
[00:00:32.000 --> 00:00:33.000]  要斥美
[00:00:33.000 --> 00:00:34.000]  非常好
[00:00:34.000 --> 00:00:35.000]  很開心的
[00:00:35.000 --> 00:00:37.000]  不過盼望我仍然覺得
[00:00:37.000 --> 00:00:39.000]  雖然心情很忐忑
[00:00:39.000 --> 00:00:41.000]  不過我仍然覺得當我要講神的說話的時候
[00:00:41.000 --> 00:00:43.000]  我相信神明在中間工作
[00:00:43.000 --> 00:00:46.000]  盼望你記得的都是神的說話
[00:00:46.000 --> 00:00:48.000]  希望神的說話幫助你改變生命
[00:00:48.000 --> 00:00:49.000]  這也是我作為牧師
[00:00:49.000 --> 00:00:50.000]  作為傳道童功
[00:00:50.000 --> 00:00:52.000]  致力很想做的事
[00:00:52.000 --> 00:00:54.000]  我鼓勵你今天坐在這裡聽道
[00:00:54.000 --> 00:00:56.000]  也想邀請你心裡也禱告
[00:00:56.000 --> 00:00:58.000]  希望神的說話能夠放在你心裡
[00:00:58.000 --> 00:01:00.000]  變成你人生或日後
[00:01:00.000 --> 00:01:03.000]  你要走的路上一個很重要的幫助
[00:01:03.000 --> 00:01:06.000]  幫我先給你旁邊的一個燦爛的笑容
[00:01:06.000 --> 00:01:07.000]  可以嗎?
[00:01:07.000 --> 00:01:11.000]  不要每個人都像送殯般看著我
[00:01:11.000 --> 00:01:12.000]  可以嗎?
[00:01:12.000 --> 00:01:14.000]  我都不知道怎麼一直講下去
[00:01:14.000 --> 00:01:15.000]  知道很艱難
[00:01:15.000 --> 00:01:18.000]  不過希望這個崇拜不是一個安息禮拜
[00:01:18.000 --> 00:01:19.000]  我經常覺得
[00:01:19.000 --> 00:01:20.000]  我十五年前來的時候
[00:01:20.000 --> 00:01:21.000]  青少部的崇拜
[00:01:21.000 --> 00:01:22.000]  我第一次來實習
[00:01:22.000 --> 00:01:23.000]  那時候其實不是十五年前
[00:01:23.000 --> 00:01:25.000]  其實是2007、2008年
[00:01:25.000 --> 00:01:28.000]  那時候應該是多少年了?
[00:01:28.000 --> 00:01:31.000]  也十五、六年前了
[00:01:31.000 --> 00:01:32.000]  那時候崇拜
[00:01:32.000 --> 00:01:37.000]  那時候還沒有星期六的青年崇拜
[00:01:37.000 --> 00:01:40.000]  我看到中一到A級的都坐在那裡
[00:01:40.000 --> 00:01:42.000]  主席很努力地大師歌
