
[00:00:00.000 --> 00:00:05.600]  很感恩今天有機會在第四子堂的崇拜
[00:00:05.600 --> 00:00:08.880]  有正道的時間
[00:00:08.880 --> 00:00:10.960]  來到這個地方其實很親切
[00:00:10.960 --> 00:00:14.400]  感覺就像回到自己的團契一樣
[00:00:14.400 --> 00:00:18.720]  當然也看到有另外一些團契的弟兄姊妹
[00:00:18.720 --> 00:00:22.640]  在當中一起崇拜也是一件很感恩的事
[00:00:22.640 --> 00:00:25.280]  開始的時候我們一起去禱告
[00:00:26.560 --> 00:00:29.440]  七夕天父我們再次感謝祢
[00:00:29.440 --> 00:00:32.960]  感謝祢的大愛 祢的拯救
[00:00:32.960 --> 00:00:35.120]  祢不單止在Linda的身上
[00:00:35.120 --> 00:00:39.680]  甚至在今天也有八十多位的弟妹
[00:00:39.680 --> 00:00:43.760]  一起去見證上帝祢的奇妙的拯救
[00:00:43.760 --> 00:00:46.720]  我們也為這些事情獻上感謝
[00:00:46.720 --> 00:00:51.280]  在這一段時間我們一起去聽祢的話
[00:00:51.280 --> 00:00:53.600]  願熱神祢自己的靈在我們當中
[00:00:53.600 --> 00:00:57.440]  讓講的聽的一同在祢的面前蒙恩
[00:00:57.440 --> 00:01:00.320]  藉著祢的話語成為我們的提醒
[00:01:00.320 --> 00:01:04.480]  讓我們的生命能夠可以有根生有變化
[00:01:04.480 --> 00:01:07.680]  主我也求祢恩代帶領我們以下這段時間
[00:01:07.680 --> 00:01:09.680]  我們這樣的祈禱交托仰望
[00:01:09.680 --> 00:01:11.680]  奉耶穌基督的名字
[00:01:11.680 --> 00:01:12.400]  阿們
[00:01:12.400 --> 00:01:17.600]  今天跟大家分享的題目叫做
[00:01:17.600 --> 00:01:21.120]  覺察當下享受人生
[00:01:21.120 --> 00:01:24.000]  我們還沒開始的時候
[00:01:24.000 --> 00:01:27.360]  先說一點東西
[00:01:27.360 --> 00:01:31.440]  不知道大家在前兩個月
[00:01:31.440 --> 00:01:34.800]  有沒有聽到有一段新聞
[00:01:34.800 --> 00:01:38.000]  發生在泰國這個地方
[00:01:38.000 --> 00:01:42.160]  話說有一次有一間旅遊巴
[00:01:42.160 --> 00:01:47.360]  載著有四十四位學生和老師
[00:01:47.360 --> 00:01:49.920]  到外面去玩耍
[00:01:49.920 --> 00:01:51.280]  郊遊的時候
[00:01:51.280 --> 00:01:55.680]  怎知道這個巴士發生了火警
[00:01:55.680 --> 00:02:01.040]  當時在車上的學生年紀都是很年輕的
[00:02:01.040 --> 00:02:03.200]  只有三歲到十四歲
[00:02:03.200 --> 00:02:08.480]  他們剛剛去參觀一個歷史公園之後
[00:02:08.480 --> 00:02:11.680]  準備去到另外一個目的地
[00:02:11.680 --> 00:02:13.280]  在途中的時候
[00:02:13.280 --> 00:02:18.560]  旅遊巴的輪胎突然爆炸
[00:02:18.560 --> 00:02:21.520]  於是撞了路障
[00:02:21.520 --> 00:02:25.920]  在碰撞當中產生了火花
[00:02:25.920 --> 00:02:28.800]  引起大火
[00:02:28.800 --> 00:02:34.480]  結果導致有二十三名師生不幸喪生
[00:02:34.480 --> 00:02:41.920]  在事故現場當時有警方和消防人員
[00:02:41.920 --> 00:02:46.720]  發現了一位女教師的遺體
[00:02:46.720 --> 00:02:54.240]  當時在她的身上緊抱著一位小學生
[00:02:54.240 --> 00:02:56.080]  而這位女教師
[00:02:56.080 --> 00:03:00.640]  她只是剛剛畢業了幾天的時間
[00:03:00.640 --> 00:03:01.840]  有時我們想一下
[00:03:01.840 --> 00:03:07.440]  原先這班師生本來很開心一起出去玩
[00:03:07.440 --> 00:03:12.240]  但為什麼突然間遇上這次不幸的意外呢?
[00:03:12.240 --> 00:03:15.600]  更加可惜的是這位剛剛畢業的老師
