
[00:00:00.000 --> 00:00:02.000]  北區寺堂的弟兄姊妹 你們好
[00:00:02.000 --> 00:00:03.200]  早安
[00:00:03.200 --> 00:00:05.200]  我們開始正道之先
[00:00:05.200 --> 00:00:06.320]  先低頭禱告
[00:00:06.320 --> 00:00:08.320]  慈悲恩愛父神
[00:00:08.320 --> 00:00:10.320]  感謝祢讓我們有機會在
[00:00:10.320 --> 00:00:12.320]  星期日的早上去敬拜祢
[00:00:12.320 --> 00:00:14.640]  也感謝祢讓我們有神的話語
[00:00:14.640 --> 00:00:18.080]  也感謝祢讓我們有禱告的權柄
[00:00:18.080 --> 00:00:18.880]  多謝主
[00:00:18.880 --> 00:00:19.720]  以上祈禱交上
[00:00:19.720 --> 00:00:21.320]  奉耶穌基督名之而求
[00:00:21.320 --> 00:00:22.120]  阿們
[00:00:22.120 --> 00:00:24.120]  來到北區寺堂這裡
[00:00:24.120 --> 00:00:25.600]  特別有種溫馨感
[00:00:25.600 --> 00:00:27.200]  因為我以前回教會
[00:00:27.200 --> 00:00:28.480]  在回恩福之前
[00:00:28.480 --> 00:00:29.760]  其實還是人少少
[00:00:29.760 --> 00:00:31.760]  今天來到就比較溫馨
[00:00:31.760 --> 00:00:34.240]  所以今天來到就有一種很溫馨的感覺
[00:00:34.240 --> 00:00:37.920]  特別到了一些小的教會聚會
[00:00:37.920 --> 00:00:39.360]  有一種特別就是
[00:00:39.360 --> 00:00:41.120]  有新朋友來
[00:00:41.120 --> 00:00:42.560]  是很容易認得的
[00:00:42.560 --> 00:00:44.560]  我想你將來去到寺堂
[00:00:44.560 --> 00:00:46.800]  你也會很容易認得哪些是新朋友
[00:00:46.800 --> 00:00:50.240]  我記得有一次有一個男性的新朋友來到
[00:00:50.240 --> 00:00:51.360]  我就見他
[00:00:51.360 --> 00:00:52.760]  好像沒有人跟他坐
[00:00:52.760 --> 00:00:54.000]  就跟他聊聊天
[00:00:54.000 --> 00:00:55.360]  你知道新朋友來到
[00:00:55.360 --> 00:00:57.280]  通常教會都說拍手歡迎他
[00:00:57.280 --> 00:00:57.880]  多謝他
[00:00:58.280 --> 00:00:59.880]  多謝完之後
[00:00:59.880 --> 00:01:01.880]  其實崇拜完了
[00:01:01.880 --> 00:01:03.880]  就沒有什麼人找他聊天
[00:01:03.880 --> 00:01:05.880]  然後我見他好像一個人那麼孤獨
[00:01:05.880 --> 00:01:07.880]  我就跟他聊天
[00:01:07.880 --> 00:01:09.880]  聊著聊著都聊得挺好的
[00:01:09.880 --> 00:01:11.640]  知道他應該是微信主
[00:01:11.640 --> 00:01:12.880]  不過聊到差不多
[00:01:12.880 --> 00:01:13.880]  因為我的朋友
[00:01:13.880 --> 00:01:15.080]  就是弟兄姊妹
[00:01:15.080 --> 00:01:16.280]  就要去吃飯了
[00:01:16.280 --> 00:01:17.400]  那時候我心想
[00:01:17.400 --> 00:01:19.080]  究竟跟他聊多一會
[00:01:19.080 --> 00:01:20.080]  跟他吃飯
[00:01:20.080 --> 00:01:21.880]  還是跟弟兄姊妹吃飯呢?
[00:01:21.880 --> 00:01:23.680]  那時候我心裡有一句話就是
[00:01:23.680 --> 00:01:25.280]  其實做基督徒來說
[00:01:25.280 --> 00:01:26.280]  我算是這樣了
[00:01:26.280 --> 00:01:27.680]  沒有什麼人跟你聊天
[00:01:27.680 --> 00:01:29.880]  我也聊了半小時
