
[00:00:00.000 --> 00:00:02.680]  好啊 好感恩敬拜隊帶領我們
[00:00:02.680 --> 00:00:03.680]  剛才有敬拜啦
[00:00:03.680 --> 00:00:05.680]  一首很有力的詩歌
[00:00:05.680 --> 00:00:06.800]  耶和華離西
[00:00:06.800 --> 00:00:09.480]  亦都好像帶領我們
[00:00:09.480 --> 00:00:11.080]  在新一年裏面
[00:00:11.080 --> 00:00:14.880]  我們將我們的目標看得清晰
[00:00:14.880 --> 00:00:18.200]  我們生命裏面很需要跟隨神的心意而行
[00:00:18.200 --> 00:00:19.880]  亦都帶領我們體會到
[00:00:19.880 --> 00:00:22.280]  上帝在我們當中帶領著我們
[00:00:22.280 --> 00:00:24.880]  亦都是祂是那個看顧顧念我們的神
[00:00:24.880 --> 00:00:27.000]  新一年啦 新開始
[00:00:27.000 --> 00:00:29.280]  2024年很多東西都新啦
[00:00:29.280 --> 00:00:30.680]  又有新歌唱
[00:00:30.680 --> 00:00:34.080]  亦都有新的轉變
[00:00:34.080 --> 00:00:35.280]  這個其實呢
[00:00:35.280 --> 00:00:37.480]  我在寫這篇講唱的時候
[00:00:37.480 --> 00:00:41.080]  心裏面都還有很多很多的疑惑的感覺
[00:00:41.080 --> 00:00:42.280]  房牧師走呢
[00:00:42.280 --> 00:00:43.280]  其實真的
[00:00:43.280 --> 00:00:45.280]  回到崇拜的時候
[00:00:45.280 --> 00:00:46.280]  沒有他在
[00:00:46.280 --> 00:00:48.080]  開會的時候又沒有他
[00:00:48.080 --> 00:00:49.880]  沒有精神領袖在
[00:00:49.880 --> 00:00:52.280]  其實心裏面都有一些很不安的感覺
[00:00:52.280 --> 00:00:53.880]  看著他的房間空空的
[00:00:53.880 --> 00:00:56.480]  心裏面自己都好像有些空空的感覺
[00:00:56.480 --> 00:00:57.680]  真的很不容易
[00:00:57.680 --> 00:01:00.080]  我都問過這些青少年
[00:01:00.080 --> 00:01:01.080]  其實很多都會說
[00:01:01.080 --> 00:01:02.680]  覺得很可惜
[00:01:02.680 --> 00:01:04.680]  都會不捨得
[00:01:04.680 --> 00:01:06.880]  不捨得他的教導
[00:01:06.880 --> 00:01:08.080]  但對我們來說
[00:01:08.080 --> 00:01:09.880]  特別是那份力的關係
[00:01:09.880 --> 00:01:11.880]  過去其實真的很多年
[00:01:11.880 --> 00:01:12.680]  在裏面
[00:01:12.680 --> 00:01:14.680]  所以都有很多不適應不捨得的
[00:01:14.680 --> 00:01:16.080]  在裏面呢
[00:01:16.080 --> 00:01:18.280]  其實我還有另一個感受在裏面
[00:01:18.280 --> 00:01:19.680]  那個就是擔心
[00:01:19.680 --> 00:01:21.080]  以及恐懼
[00:01:21.080 --> 00:01:21.480]  其實呢
[00:01:21.480 --> 00:01:22.880]  我都沒有辦法
[00:01:22.880 --> 00:01:24.480]  可能是童工來講
[00:01:24.480 --> 00:01:27.480]  可能是特別比較多容易恐懼
[00:01:27.480 --> 00:01:28.880]  容易擔心的一個人
[00:01:28.880 --> 00:01:31.080]  其實我都在裏面去學習
[00:01:31.080 --> 00:01:33.080]  去走出
[00:01:33.080 --> 00:01:34.280]  去學習去面對
[00:01:34.280 --> 00:01:35.880]  往後會是怎樣的呢
[00:01:35.880 --> 00:01:37.280]  究竟青少部會是怎樣呢
[00:01:37.280 --> 00:01:38.480]  試過
[00:01:38.480 --> 00:01:40.480]  不久之前有個青少同學說
[00:01:40.480 --> 00:01:42.880]  馮木斯走會不會青少部會不會倒塌了
[00:01:42.880 --> 00:01:44.880]  我突然之間嚇一嚇
[00:01:44.880 --> 00:01:46.480]  然後馬上打冷顫
[00:01:46.480 --> 00:01:47.280]  真的不知道怎麼辦
[00:01:47.280 --> 00:01:48.480]  是的
[00:01:48.480 --> 00:01:51.680]  所以的確很需要上帝的話語去激勵我們
[00:01:51.680 --> 00:01:52.680]  今天這篇報告
[00:01:52.680 --> 00:01:53.680]  跟大家講
