
[00:00:00.000 --> 00:00:04.000]  各位頂展會各位朋友,早安!
[00:00:04.000 --> 00:00:08.000]  我們很感恩用崇拜去完結一年
[00:00:08.000 --> 00:00:11.000]  都是上帝給我們一個很美好的恩典
[00:00:11.000 --> 00:00:13.000]  不過在今日崇拜的開始
[00:00:13.000 --> 00:00:17.000]  我也想跟大家分享一個我們難過的消息
[00:00:17.000 --> 00:00:19.000]  我們親愛的同工Tammy
[00:00:19.000 --> 00:00:26.000]  在上個主日25日安息在珠江淮裏
[00:00:26.000 --> 00:00:31.000]  她一直在病中12月開始進入昏迷
[00:00:31.000 --> 00:00:33.000]  我們都覺得很難過
[00:00:33.000 --> 00:00:36.000]  她丈夫子祥全都很認真的照顧
[00:00:36.000 --> 00:00:41.000]  他們兩個的孩子亦都相繼回來身邊陪她
[00:00:41.000 --> 00:00:44.000]  但是去到12月25日
[00:00:44.000 --> 00:00:47.000]  在神的時間她安反了天家
[00:00:47.000 --> 00:00:50.000]  我也很願意大家去紀念五成團契
[00:00:50.000 --> 00:00:52.000]  特別是Tammy牧養了很久的團契
[00:00:52.000 --> 00:00:54.000]  他們當中亦都曾經有不同的頂展會
[00:00:54.000 --> 00:00:56.000]  曾經有過病患
[00:00:56.000 --> 00:00:59.000]  所以都需要大家紀念這個艱難的團契
[00:00:59.000 --> 00:01:02.000]  和紀念子祥和他們兩個的孩子
[00:01:02.000 --> 00:01:05.000]  當然Tammy傳道給我們一個很好的榜樣
[00:01:05.000 --> 00:01:07.000]  她對聖經懷疑的追求
[00:01:07.000 --> 00:01:09.000]  她在最後的一兩個月
[00:01:09.000 --> 00:01:11.000]  仍然為我們寫多了一本書
[00:01:11.000 --> 00:01:13.000]  教導我們怎樣去傳福音
[00:01:13.000 --> 00:01:14.000]  這個我們都看得見
[00:01:14.000 --> 00:01:15.000]  她把握每一刻
[00:01:15.000 --> 00:01:17.000]  好像剛才師哥所說
[00:01:17.000 --> 00:01:19.000]  怎樣回應上帝在她身上的工作
[00:01:19.000 --> 00:01:21.000]  也成為我們一個榜樣
[00:01:21.000 --> 00:01:24.000]  讓我們在開心的時候一起禱告
[00:01:24.000 --> 00:01:27.000]  主祢讓我們來到
[00:01:27.000 --> 00:01:30.000]  我們身邊親愛的Tammy一家
