
[00:00:00.000 --> 00:00:05.240]  大家最記得的一種會彼此服侍的動物是什麼動物呢?
[00:00:05.240 --> 00:00:08.240]  彼此服侍的動物
[00:00:08.240 --> 00:00:10.240]  有人說馬騮
[00:00:10.240 --> 00:00:12.240]  我也是想起馬騮
[00:00:12.240 --> 00:00:16.240]  我問我太太的時候她是想起企鵝或者是眼裙
[00:00:16.240 --> 00:00:18.240]  但我也是想起馬騮
[00:00:18.240 --> 00:00:21.240]  證明馬騮很根深很入心
[00:00:21.240 --> 00:00:24.240]  馬騮在香港也不陌生
[00:00:24.240 --> 00:00:26.240]  如果你是在香港的馬騮
[00:00:26.240 --> 00:00:30.240]  如果你在城門水塘或者金山郊野公寓一帶應該也會見過
[00:00:30.240 --> 00:00:32.240]  大家見到牠的時候
[00:00:32.240 --> 00:00:34.240]  哇!不用出現
[00:00:34.240 --> 00:00:36.240]  可能出現了
[00:00:36.240 --> 00:00:39.240]  大家見到牠的時候牠通常會做什麼呢?
[00:00:39.240 --> 00:00:41.240]  有人說抓癢
[00:00:41.240 --> 00:00:42.240]  抓塞
[00:00:42.240 --> 00:00:46.240]  這個動作好像在互相抓塞
[00:00:46.240 --> 00:00:48.240]  但根據專家的研究
[00:00:48.240 --> 00:00:52.240]  更加闊的說法是牠們在互相梳毛
[00:00:52.240 --> 00:00:54.240]  而這種動作
[00:00:54.240 --> 00:00:56.240]  牠們在互相梳毛
[00:00:56.240 --> 00:00:59.240]  而這種互相梳毛有三種可能的目的
[00:00:59.240 --> 00:01:01.240]  第一種就是大家剛才說了
[00:01:01.240 --> 00:01:03.240]  可能是捉塞或者捉寄生蟲
[00:01:03.240 --> 00:01:05.240]  是一個衛生的考慮
[00:01:05.240 --> 00:01:08.240]  第二個是補充鹽分
[00:01:08.240 --> 00:01:12.240]  原來專家說馬騮拿了之後放進口裡的
[00:01:12.240 --> 00:01:14.240]  是牠們身體上的一種分泌物
[00:01:14.240 --> 00:01:16.240]  白色的顆粒
[00:01:16.240 --> 00:01:19.240]  裡面有鹽和其他物質
[00:01:19.240 --> 00:01:23.240]  所以是一種健康的考慮
[00:01:23.240 --> 00:01:29.240]  第三種是彼此交流和建立關係的目的
[00:01:29.240 --> 00:01:31.240]  所以無論哪種目的
[00:01:31.240 --> 00:01:35.240]  都有一種互相和彼此的成分在裡面
[00:01:35.240 --> 00:01:36.240]  不是單向的
[00:01:36.240 --> 00:01:38.240]  牠們是彼此這樣去做的
[00:01:38.240 --> 00:01:41.240]  所以彼此捉塞或者彼此梳毛
[00:01:41.240 --> 00:01:44.240]  成為了馬騮的標誌
[00:01:44.240 --> 00:01:48.240]  大家是不是覺得很有愛的感覺呢?
[00:01:48.240 --> 00:01:49.240]  是吧?
[00:01:49.240 --> 00:01:54.240]  今天的講道是講彼此洗腳的群體
[00:01:54.240 --> 00:01:57.240]  我們會透過《約翰福音》13章1至20節
[00:01:57.240 --> 00:02:00.240]  看看主耶穌有什麼要對我們個人
[00:02:00.240 --> 00:02:03.240]  或者是我們的屬靈群體說的
[00:02:03.240 --> 00:02:08.240]  我們先一起來讀《約翰福音》13章1至11節
[00:02:08.240 --> 00:02:14.240]  「與之以前,耶穌知道自己離世歸附的時候到了,
[00:02:14.240 --> 00:02:19.240]  他日向外世間贖自己的人,就愛他們到底。
[00:02:19.240 --> 00:02:23.240]  晚餐的時候,魔鬼以把出賣耶穌的義師
[00:02:23.240 --> 00:02:26.240]  放在加略人西門的兒子猶大心裡。
[00:02:26.240 --> 00:02:30.240]  耶穌知道父以把萬有交在他手裡,
[00:02:30.240 --> 00:02:35.240]  且知道自己是從神出來的,又要回到神那裡去,
[00:02:35.240 --> 00:02:39.240]  就離席站起來脫掉衣服,拿一條手巾束腰,
[00:02:39.240 --> 00:02:43.240]  隨後把水倒在盤裡,開始洗門徒的腳。
[00:02:43.240 --> 00:02:46.240]  用束腰的手巾擦乾。
[00:02:46.240 --> 00:02:48.240]  到了西門,在一章,
[00:02:48.240 --> 00:02:51.240]  彼得跟前,彼得對他說:
[00:02:51.240 --> 00:02:53.240]  「主啊,你洗我的腳嗎?」
[00:02:53.240 --> 00:02:54.240]  耶穌回答他說:
[00:02:54.240 --> 00:02:59.240]  「我所做的,你現在不知道,但以後會明白。」
[00:02:59.240 --> 00:03:00.240]  彼得對他說:
[00:03:00.240 --> 00:03:02.240]  「你絕對不可洗我的腳。」
[00:03:02.240 --> 00:03:03.240]  耶穌回答他:
[00:03:03.240 --> 00:03:07.240]  「我若不洗你,你就與我無分了。」
[00:03:07.240 --> 00:03:09.240]  西門彼得對他說:
[00:03:09.240 --> 00:03:13.240]  「主啊,不僅是我的腳,連手和頭也要洗。」
[00:03:13.240 --> 00:03:14.240]  耶穌對他說:
