
[00:00:00.000 --> 00:00:03.620]  多謝Hear-Re為我們祈禱
[00:00:03.620 --> 00:00:06.520]  但我預備講道的時候
[00:00:06.520 --> 00:00:08.520]  都感到緊張
[00:00:08.520 --> 00:00:09.920]  不過
[00:00:09.920 --> 00:00:13.420]  很想在這裡多謝一群年青人的服侍
[00:00:13.420 --> 00:00:15.920]  我想不知道大家有沒有同感呢?
[00:00:15.920 --> 00:00:19.420]  今時今日在這個不容易的時刻
[00:00:19.420 --> 00:00:20.920]  在這個困難的時刻
[00:00:20.920 --> 00:00:24.420]  能夠聽到年青人的聲音
[00:00:24.420 --> 00:00:26.120]  在教會的台上
[00:00:26.120 --> 00:00:28.120]  宣告神的同在
[00:00:28.120 --> 00:00:31.120]  並且帶領我們一起去敬拜神
[00:00:31.120 --> 00:00:33.120]  我覺得很感動
[00:00:33.120 --> 00:00:36.120]  年青人多謝你們的服侍和預備
[00:00:36.120 --> 00:00:37.120]  真的
[00:00:37.120 --> 00:00:38.620]  你們每一個人的生命
[00:00:38.620 --> 00:00:42.120]  其實都在鼓勵我們每一個成年人
[00:00:42.120 --> 00:00:43.620]  毀身在你們的成長裏面
[00:00:43.620 --> 00:00:45.120]  叫耶穌基督的光
[00:00:45.120 --> 00:00:47.120]  展現在我們恩福這個群體裏面
[00:00:47.120 --> 00:00:48.120]  多謝你們
[00:00:48.120 --> 00:00:49.120]  領子們
[00:00:49.120 --> 00:00:50.620]  今天是清少主日
[00:00:50.620 --> 00:00:54.120]  我是清少部的女傳道張孝君
[00:00:54.120 --> 00:00:55.120]  君傳道
[00:00:55.120 --> 00:00:57.620]  我是刻意講是女傳道的
[00:00:57.620 --> 00:01:00.120]  因為既然難得可以在成人堂
[00:01:00.120 --> 00:01:02.120]  成人崇拜這裏分享訊息
[00:01:02.120 --> 00:01:04.620]  很想在大家面前說明一下
[00:01:04.620 --> 00:01:05.620]  為什麼呢?
[00:01:05.620 --> 00:01:08.620]  因為早前我去探訪一個年青人的家
[00:01:08.620 --> 00:01:12.120]  他父母應該是恩福的人
[00:01:12.120 --> 00:01:14.120]  因為疫情的關係要戴口罩
[00:01:14.120 --> 00:01:16.120]  我自己又短頭髮
[00:01:16.120 --> 00:01:18.620]  穿衣服可能比較casual
[00:01:18.620 --> 00:01:22.120]  接待我的家人認錯了我是男生
[00:01:22.120 --> 00:01:25.120]  讓家人很尷尬
[00:01:25.120 --> 00:01:28.620]  抱歉我的形象令人模糊了
[00:01:28.620 --> 00:01:30.620]  不過今天很想在這裏澄清
[00:01:30.620 --> 00:01:32.620]  不過那天我也很感謝那位年青人
[00:01:32.620 --> 00:01:34.120]  立刻幫我澄清
[00:01:34.120 --> 00:01:36.120]  為我解決了一些我的煩惱
[00:01:36.120 --> 00:01:38.120]  所以今天很想和大家澄清
[00:01:38.120 --> 00:01:41.120]  我是清少部的女傳道叫孝君
[00:01:41.120 --> 00:01:42.620]  今天的講題叫
[00:01:42.620 --> 00:01:44.620]  Silent Eichel, Be the Light
[00:01:44.620 --> 00:01:45.620]  發光
[00:01:45.620 --> 00:01:46.620]  我自己翻譯
[00:01:46.620 --> 00:01:48.620]  發亮的家成為光
[00:01:48.620 --> 00:01:52.120]  這個主題其實同樣是清少部
[00:01:52.120 --> 00:01:56.120]  在2020年9月開始的主題
[00:01:56.120 --> 00:01:58.120]  在這個黑暗的日子
[00:01:58.120 --> 00:02:00.120]  清少部不單止是想
[00:02:00.120 --> 00:02:03.120]  清少部教育成為年青人的家
[00:02:03.120 --> 00:02:05.120]  更想成為一個發亮的家
[00:02:05.120 --> 00:02:07.120]  讓年青人走出去
[00:02:07.120 --> 00:02:10.120]  成為光照亮同樣在黑暗裏的人
[00:02:10.120 --> 00:02:14.120]  選舉經文也是我們今年的主題經文
[00:02:14.120 --> 00:02:16.120]  願意我們一起去看的時候
[00:02:16.120 --> 00:02:18.120]  耶穌的教導不單止是
[00:02:18.120 --> 00:02:20.120]  祝福我們恩福的年青人
[00:02:20.120 --> 00:02:24.120]  同時也在祝福你和我每一個基督徒的生命
[00:02:24.120 --> 00:02:27.120]  讓我們一起進入經文
[00:02:27.120 --> 00:02:30.120]  經文是《馬太福音》五章十三至十六節
[00:02:30.120 --> 00:02:32.120]  請聽我讀
[00:02:32.120 --> 00:02:36.120]  「你們是地上的鹽,鹽若失了味,怎能叫它再鹹呢?
[00:02:36.120 --> 00:02:40.120]  它不再有用,只好被雕在外面,任人踐踏。
[00:02:40.120 --> 00:02:45.120]  你們是世上的光,成造在山上,是不能隱藏的。
[00:02:45.120 --> 00:02:49.120]  人點燈,不放在斗底下,而是放在燈台上
[00:02:49.120 --> 00:02:51.120]  就照亮一家的人
[00:02:51.120 --> 00:02:54.120]  你們的光也要這樣照在人前
[00:02:54.120 --> 00:02:57.120]  叫他們看見你們的好行為
[00:02:57.120 --> 00:03:00.120]  把榮耀歸給你們在天上的父
[00:03:00.120 --> 00:03:02.120]  讓我們一起禱告
[00:03:02.120 --> 00:03:05.120]  主祈求祢藉著祢的話語去祝福我們
[00:03:05.120 --> 00:03:07.120]  求聖靈與我們同在
[00:03:07.120 --> 00:03:10.120]  幫助我們明白聖經要對我們說的話
[00:03:10.120 --> 00:03:12.120]  求祢與我們一起禱告
[00:03:12.120 --> 00:03:14.120]  奉主耶穌基督名字祈求,阿們」
[00:03:14.120 --> 00:03:17.120]  讓我先去講講這段經文的背景
[00:03:17.120 --> 00:03:21.120]  《馬太福音》第五章至第七章是登山補訓的內容
[00:03:21.120 --> 00:03:27.120]  登山補訓是耶穌在山上對門徒說有關天國的教導
[00:03:27.120 --> 00:03:31.120]  五章第一至十二節剛說完八福
[00:03:31.120 --> 00:03:35.120]  提及進入天國的人所擁有的特質
[00:03:35.120 --> 00:03:39.120]  然後在今天要看的第十三至十六節
[00:03:39.120 --> 00:03:42.120]  是天國子民在地上的使命
[00:03:42.120 --> 00:03:47.120]  然後十七節之後是天國子民要在地上生活的原則
[00:03:47.120 --> 00:03:52.120]  天國子民如何實踐耶穌基督的使命
[00:03:52.120 --> 00:03:54.120]  實踐炎和光的使命
[00:03:54.120 --> 00:03:56.120]  讓我們一起去看
[00:03:56.120 --> 00:03:59.120]  簡單看看這段經文的結構
[00:03:59.120 --> 00:04:03.120]  四節的經文主耶穌在裏面很清楚地表達
[00:04:03.120 --> 00:04:07.120]  門徒的本質就是地上的炎和世上的光
[00:04:07.120 --> 00:04:11.120]  當中炎和光這兩個比喻其實是平衡地出現的
[00:04:11.120 --> 00:04:16.120]  十三節用失了味的炎作為反面教材
[00:04:16.120 --> 00:04:18.120]  叫我們不要做失了味的炎
