
[00:00:00.000 --> 00:00:01.700]  我是Iris
[00:00:01.700 --> 00:00:05.600]  我是第一次在中堂講道
[00:00:05.600 --> 00:00:08.880]  我本身是祖堂的團隊
[00:00:08.880 --> 00:00:11.080]  也很感謝Erik 喬牧師
[00:00:11.080 --> 00:00:15.280]  他邀請我來到中堂為大家去正道
[00:00:15.280 --> 00:00:20.920]  我在這裡也向各位母親
[00:00:20.920 --> 00:00:22.920]  說一聲母親節快樂
[00:00:22.920 --> 00:00:25.320]  母親節快樂
[00:00:27.880 --> 00:00:30.800]  願在座每一位母親
[00:00:30.800 --> 00:00:32.200]  和屬靈的母親
[00:00:32.200 --> 00:00:34.400]  都可以在主裡面
[00:00:34.400 --> 00:00:35.800]  以及在家裡面
[00:00:35.800 --> 00:00:38.600]  可以浸在愛當中
[00:00:38.600 --> 00:00:41.560]  而且過著很甜蜜的生活
[00:00:41.560 --> 00:00:43.560]  我們同心同意
[00:00:43.560 --> 00:00:45.760]  親愛的恩主
[00:00:45.760 --> 00:00:47.400]  很感謝祢
[00:00:47.400 --> 00:00:50.120]  感謝祢讓我們有生命氣息
[00:00:50.120 --> 00:00:53.280]  以致我們能夠回到祢的家
[00:00:53.280 --> 00:00:54.880]  祢的殿當中
[00:00:54.880 --> 00:00:57.680]  主也求祢讓我們一時間
[00:00:57.680 --> 00:00:59.880]  能夠聽得明祢的道
[00:00:59.880 --> 00:01:03.960]  以致我們可以活在生活裡面
[00:01:03.960 --> 00:01:05.120]  多謝主聽我們祈禱
[00:01:05.120 --> 00:01:06.360]  奉主名求
[00:01:06.360 --> 00:01:07.720]  阿門
[00:01:07.720 --> 00:01:11.800]  我今天講題是「真的愛你」
[00:01:11.800 --> 00:01:15.000]  經文貫穿在《聖母耳記》上
[00:01:15.000 --> 00:01:21.880]  一章和二章的經文裡面
[00:01:21.880 --> 00:01:26.000]  曾經有一次我在網上看過一篇文章
[00:01:26.000 --> 00:01:28.400]  有些網絡有些
[00:01:28.400 --> 00:01:30.680]  就是說這個
[00:01:30.680 --> 00:01:33.120]  史上最準的功
[00:01:33.120 --> 00:01:33.880]  是什麼呢
[00:01:33.880 --> 00:01:37.560]  就是在2020年9月的時候
[00:01:37.560 --> 00:01:41.000]  他說被譽為世界上最準的功
[00:01:41.000 --> 00:01:41.840]  是什麼功呢
[00:01:41.840 --> 00:01:44.600]  就是在澳洲大堡礁
[00:01:44.600 --> 00:01:47.680]  那個島嶼那裡做看守員
[00:01:47.680 --> 00:01:51.320]  他這份功有三個要求
[00:01:51.320 --> 00:01:52.400]  第一個要求就是
[00:01:52.400 --> 00:01:54.400]  你很喜歡探險
[00:01:54.400 --> 00:01:56.400]  熱愛大自然
[00:01:56.400 --> 00:02:00.880]  第二就是你有良好的英語聽寫能力
[00:02:00.880 --> 00:02:05.840]  第三就是擅長游泳和潛水
[00:02:05.840 --> 00:02:08.000]  而這個工作
[00:02:08.000 --> 00:02:10.480]  其實他的薪金
[00:02:10.480 --> 00:02:14.440]  半年的薪金竟然有11萬美金
