
[00:00:00.000 --> 00:00:01.000]  難得來到晚堂
[00:00:01.000 --> 00:00:03.000]  首先我也是趁這個機會
[00:00:03.000 --> 00:00:05.000]  因為下次來就過了聖誕了
[00:00:05.000 --> 00:00:07.000]  在這裡恭祝大家聖誕快樂
[00:00:07.000 --> 00:00:09.000]  新年進步
[00:00:09.000 --> 00:00:13.000]  來到當中也分享一兩件家事
[00:00:13.000 --> 00:00:19.000]  今早剛出席何偉強牧師的愛母
[00:00:19.000 --> 00:00:22.000]  即何瑞薇牧師的爸爸的安息禮
[00:00:22.000 --> 00:00:26.000]  也看到上帝在那一代人身上有很多作為
[00:00:26.000 --> 00:00:29.000]  這位老人家也令我想起另一位老人家
[00:00:29.000 --> 00:00:33.000]  蘇牧師的爸爸蘇森先生
[00:00:33.000 --> 00:00:35.000]  我覺得兩位老人家
[00:00:35.000 --> 00:00:37.000]  何瑞薇師母的爸爸
[00:00:37.000 --> 00:00:38.000]  蘇牧師的爸爸
[00:00:38.000 --> 00:00:40.000]  都有一個很特別的地方
[00:00:40.000 --> 00:00:44.000]  他們也曾經去過南美洲工作
[00:00:44.000 --> 00:00:45.000]  也很遠
[00:00:45.000 --> 00:00:47.000]  當時去南美洲不是坐飛機去
[00:00:47.000 --> 00:00:48.000]  是坐船去
[00:00:48.000 --> 00:00:49.000]  大家想像一下
[00:00:49.000 --> 00:00:51.000]  坐船去南美洲
[00:00:51.000 --> 00:00:53.000]  蘇牧師的爸爸蘇森
[00:00:53.000 --> 00:00:54.000]  在南美洲工作
[00:00:54.000 --> 00:00:57.000]  後來抗戰的時候回來做游擊隊
[00:00:57.000 --> 00:00:59.000]  也不簡單
[00:00:59.000 --> 00:01:02.000]  原來蘇牧師這麼厲害
[00:01:02.000 --> 00:01:04.000]  在敵後
[00:01:04.000 --> 00:01:09.000]  在廣東一位出名的將軍下
[00:01:09.000 --> 00:01:11.000]  參與抗戰
[00:01:11.000 --> 00:01:13.000]  是一個很不簡單的人
[00:01:13.000 --> 00:01:16.000]  也看到何瑞薇牧師的爸爸
[00:01:16.000 --> 00:01:20.000]  當年他也曾經嘗試去過中美洲
[00:01:20.000 --> 00:01:23.000]  不過回來香港開酒樓也不簡單
[00:01:23.000 --> 00:01:26.000]  不知道大埔有沒有人吃過他的酒樓
[00:01:26.000 --> 00:01:28.000]  也很不容易
[00:01:28.000 --> 00:01:30.000]  但上帝也有很大的恩典
[00:01:30.000 --> 00:01:32.000]  將他們帶到主的面前
[00:01:32.000 --> 00:01:33.000]  經歷戰亂
[00:01:33.000 --> 00:01:36.000]  經歷中國最艱難的日子
[00:01:36.000 --> 00:01:38.000]  經歷謀生最艱難的日子
[00:01:38.000 --> 00:01:40.000]  神長日加一加帶到他的身邊
[00:01:40.000 --> 00:01:42.000]  也是很開心的事情
[00:01:42.000 --> 00:01:45.000]  當然驟然離開父親
[00:01:45.000 --> 00:01:48.000]  瑞薇牧師也是艱難的
[00:01:48.000 --> 00:01:51.000]  這是一個家事大家的紀念
[00:01:51.000 --> 00:01:54.000]  另外聖誕節也有很多美好的事情
[00:01:54.000 --> 00:01:57.000]  我們有剛剛下午
[00:01:57.000 --> 00:01:59.000]  恆仔我們的童工結婚
[00:01:59.000 --> 00:02:00.000]  有人認識他嗎?
[00:02:00.000 --> 00:02:01.000]  大家有沒有人認識他?
[00:02:01.000 --> 00:02:02.000]  很多人認識他
[00:02:02.000 --> 00:02:04.000]  我們真是滿心的感恩
[00:02:04.000 --> 00:02:07.000]  找到上帝為他預備的另一半
[00:02:07.000 --> 00:02:10.000]  很期望他能夠在婚姻上
[00:02:10.000 --> 00:02:14.000]  更加在婚姻的服事學習服事
[00:02:14.000 --> 00:02:17.000]  然後繼續在他們的長者裏學習服事
[00:02:17.000 --> 00:02:18.000]  我們也很開心
[00:02:18.000 --> 00:02:20.000]  在10月26日
[00:02:20.000 --> 00:02:25.000]  我們將會有Erica Lee和振峰傳道
[00:02:25.000 --> 00:02:26.000]  他們兩位傳道結婚
[00:02:26.000 --> 00:02:28.000]  他們是我們第一對
[00:02:28.000 --> 00:02:30.000]  因福是逢相識
[00:02:30.000 --> 00:02:33.000]  然後拍拖和結婚的傳道童工
[00:02:33.000 --> 00:02:35.000]  我們真是期望
[00:02:35.000 --> 00:02:37.000]  在往後神祝福我們的日子
[00:02:37.000 --> 00:02:40.000]  陸續有更加多的婚盟在我們裏面
[00:02:40.000 --> 00:02:42.000]  這是創我們先河
[00:02:42.000 --> 00:02:44.000]  大家也在禱告裏紀念
[00:02:44.000 --> 00:02:46.000]  這些都是我們家裏的一些事情
[00:02:46.000 --> 00:02:48.000]  也想大家去認識
[00:02:48.000 --> 00:02:51.000]  今天也來和大家分享迦勒泰書
