
[00:00:00.000 --> 00:00:05.440]  我也想說說這個月的標稱主題是什麼
[00:00:05.440 --> 00:00:08.840]  就是納至為主而活
[00:00:08.840 --> 00:00:13.520]  為主而活是作為信徒的操練
[00:00:13.520 --> 00:00:20.680]  操練就是信徒在生活中如何做耶穌基督的見證
[00:00:20.680 --> 00:00:23.400]  而今天我要說的主題是
[00:00:23.400 --> 00:00:27.320]  納至將一生的才幹為主而活
[00:00:27.320 --> 00:00:31.320]  我不知道你如何看待才幹
[00:00:31.320 --> 00:00:36.320]  才幹也可以說是才能或者是一些辦事能力
[00:00:36.320 --> 00:00:38.320]  我不知道你有沒有覺得
[00:00:38.320 --> 00:00:46.320]  有時候也不知道上帝和我們如何呼召我們去服事他
[00:00:46.320 --> 00:00:51.320]  才幹如何在服事上使用
[00:00:51.320 --> 00:00:53.320]  有時候你也會問自己
[00:00:53.320 --> 00:00:56.320]  究竟我有什麼才幹可以去服事呢
[00:00:56.320 --> 00:00:59.320]  或者最重要是思考
[00:00:59.320 --> 00:01:01.320]  為主而活
[00:01:01.320 --> 00:01:03.320]  這個課題很厲害
[00:01:03.320 --> 00:01:06.320]  是不是一定要做傳道人
[00:01:06.320 --> 00:01:08.320]  在教會全職服事
[00:01:08.320 --> 00:01:10.320]  是不是在說這件事呢
[00:01:10.320 --> 00:01:15.320]  我今天並不是在說全職服事的探討
[00:01:15.320 --> 00:01:17.320]  我們不是開這個課題
[00:01:17.320 --> 00:01:24.320]  我們去說說我們在生活上有什麼才能可以貢獻給上帝
[00:01:24.320 --> 00:01:26.320]  去擴展福音的工作
[00:01:26.320 --> 00:01:28.320]  可能你會這樣看
[00:01:28.320 --> 00:01:30.320]  有時候我們都
[00:01:30.320 --> 00:01:32.320]  好像敬拜隊
[00:01:32.320 --> 00:01:36.320]  有些人很擅長鍵盤彈琴和結他
[00:01:36.320 --> 00:01:39.320]  他們就很自然去敬拜隊
[00:01:39.320 --> 00:01:44.320]  如果你會想究竟我自己會怎樣呢
[00:01:44.320 --> 00:01:45.320]  剛才也說了
[00:01:45.320 --> 00:01:48.320]  是不是在說為主而活
[00:01:48.320 --> 00:01:52.320]  將一些才能和才幹為主而活
[00:01:52.320 --> 00:01:55.320]  我不是在說做傳道人
[00:01:55.320 --> 00:02:02.320]  我試用引用楊石昌楊醫的書中的一些說話
[00:02:02.320 --> 00:02:06.320]  去做一個intro
[00:02:06.320 --> 00:02:07.320]  他這樣說
[00:02:07.320 --> 00:02:10.320]  當上帝向人發出呼召的時候
[00:02:10.320 --> 00:02:14.320]  人就要以生命來回應
[00:02:14.320 --> 00:02:17.320]  因為上帝的呼召不只是限於聖供
[00:02:17.320 --> 00:02:21.320]  教會的侍奉和職業的工作
[00:02:21.320 --> 00:02:25.320]  是要包括整個人的個人生命
[00:02:25.320 --> 00:02:27.320]  楊醫這句說話
[00:02:27.320 --> 00:02:30.320]  是意味著我們作為信徒
[00:02:30.320 --> 00:02:31.320]  每一個信徒也好
[00:02:31.320 --> 00:02:36.320]  上帝都有不同的使命和工作給我們
[00:02:36.320 --> 00:02:38.320]  他不是限於某一個職業
[00:02:38.320 --> 00:02:39.320]  某一個身份
[00:02:39.320 --> 00:02:42.320]  甚至某一個場景
[00:02:42.320 --> 00:02:45.320]  呼召每個人都需要回應
[00:02:45.320 --> 00:02:46.320]  不過這樣說
[00:02:46.320 --> 00:02:48.320]  可能有些人都會說
[00:02:48.320 --> 00:02:53.320]  我的工作中有時候也會帶著一個使命去做
[00:02:53.320 --> 00:02:55.320]  我覺得這是非常好的
[00:02:55.320 --> 00:02:57.320]  我認識一些
[00:02:57.320 --> 00:03:00.320]  可能做醫生或做老師
[00:03:00.320 --> 00:03:01.320]  先做醫生
[00:03:01.320 --> 00:03:02.320]  他會
[00:03:02.320 --> 00:03:04.320]  我真的聽過
[00:03:04.320 --> 00:03:07.320]  他會在公立醫院工作
[00:03:07.320 --> 00:03:09.320]  同事會很趕急
[00:03:09.320 --> 00:03:12.320]  會罵一些病人
[00:03:12.320 --> 00:03:15.320]  他說作為一個基督徒
[00:03:15.320 --> 00:03:17.320]  我想用愛心去看他
[00:03:17.320 --> 00:03:19.320]  看一個病人
[00:03:19.320 --> 00:03:21.320]  他想在他的工作中
[00:03:21.320 --> 00:03:24.320]  做一些不同的狀況
[00:03:24.320 --> 00:03:26.320]  有些老師這樣說
[00:03:26.320 --> 00:03:30.320]  學生去考試
[00:03:30.320 --> 00:03:32.320]  他也用很多時間
[00:03:32.320 --> 00:03:34.320]  在考試之後
[00:03:34.320 --> 00:03:37.320]  去跟他review一下課題
[00:03:37.320 --> 00:03:38.320]  或者不明白的地方
[00:03:38.320 --> 00:03:39.320]  我覺得這些
[00:03:39.320 --> 00:03:42.320]  在工作中能夠展現福音
[00:03:42.320 --> 00:03:43.320]  能夠作鹽作乾
[00:03:43.320 --> 00:03:45.320]  是非常好的
[00:03:45.320 --> 00:03:48.320]  但我們今天就說一下除了工作以外
[00:03:48.320 --> 00:03:49.320]  我們不其然
[00:03:49.320 --> 00:03:51.320]  上帝也會跟我們說話
[00:03:51.320 --> 00:03:53.320]  我們如何察覺到呢
[00:03:53.320 --> 00:03:56.320]  因為我們作為一個信徒
[00:03:56.320 --> 00:03:57.320]  我們聖經經常說
[00:03:57.320 --> 00:03:59.320]  哇!傳福音啊!大使命啊!
