
[00:00:00.000 --> 00:00:03.000]  開始聽到之,我們一起祈禱
[00:00:03.000 --> 00:00:08.000]  神父,我們滿心感謝祢賜給我們生命
[00:00:08.000 --> 00:00:11.000]  賜給我們各樣的恩典
[00:00:11.000 --> 00:00:14.000]  我們的生命是祢所賜
[00:00:14.000 --> 00:00:21.000]  我們裡面所有的都是祢給我們獨特的恩典
[00:00:21.000 --> 00:00:24.000]  願祢讓我們都認識我們自己
[00:00:24.000 --> 00:00:29.000]  也認識天父祢給我們一切的資材
[00:00:29.000 --> 00:00:32.000]  以致我們好好運用
[00:00:32.000 --> 00:00:36.000]  也能好好活出豐盛的人生
[00:00:36.000 --> 00:00:39.000]  服侍祢,使人得益
[00:00:39.000 --> 00:00:43.000]  以下我們將以下講道的時間
[00:00:43.000 --> 00:00:45.000]  聽道的時間交託給祢
[00:00:45.000 --> 00:00:48.000]  願祢的聖靈在我們眾人的心靈裡面
[00:00:48.000 --> 00:00:49.000]  帶領著我們
[00:00:49.000 --> 00:00:54.000]  讓我們的心去領受從祢而來的得著
[00:00:54.000 --> 00:00:57.000]  讓我們的生命得著祢的滋潤
[00:00:57.000 --> 00:01:00.000]  得著祢的支持,得著祢的培育
[00:01:00.000 --> 00:01:02.000]  願祢祝福帶領以下時間
[00:01:02.000 --> 00:01:06.000]  我們獻上禱告奉耶穌基督的名求,阿們
[00:01:06.000 --> 00:01:12.000]  很開心今天和大家分享
[00:01:12.000 --> 00:01:17.000]  《馬太福音》25章24-30節這段經文
[00:01:17.000 --> 00:01:20.000]  主題是「主啊,容我」
[00:01:20.000 --> 00:01:25.000]  我曾經聽過一個很有趣的故事
[00:01:26.000 --> 00:01:31.000]  話說在天堂所有的信徒相聚
[00:01:31.000 --> 00:01:36.000]  而且都獲得天父的獎賞
[00:01:36.000 --> 00:01:41.000]  在當時呈現的現象是怎樣的呢?
[00:01:41.000 --> 00:01:44.000]  某一個不知名的婆婆
[00:01:44.000 --> 00:01:49.000]  竟然拿著名車勞斯萊斯
[00:01:49.000 --> 00:01:52.000]  另一個執事踩著單車
[00:01:52.000 --> 00:01:58.000]  另一位牧師在很遠的地方踩著滑雪機
[00:01:58.000 --> 00:02:06.000]  這些都是他們所得到的天父神的賞賜
[00:02:06.000 --> 00:02:09.000]  這個有趣的故事
