
[00:00:00.000 --> 00:00:02.000]  讓我們一起有個禱告
[00:00:02.000 --> 00:00:05.720]  親愛的主耶穌 我們多謝祢
[00:00:05.720 --> 00:00:07.520]  讓我們今天可以相聚
[00:00:07.520 --> 00:00:09.520]  實在是非偶然
[00:00:09.520 --> 00:00:11.520]  聖靈求祢高沒孩子的口
[00:00:11.520 --> 00:00:13.120]  充滿我們眾人的心
[00:00:13.120 --> 00:00:15.520]  讓我們將祢的道帶入我們的家
[00:00:15.520 --> 00:00:18.600]  讓我們的家都得著祢自己的祝福
[00:00:18.600 --> 00:00:19.920]  多謝祢 聽我們禱告
[00:00:19.920 --> 00:00:21.920]  奉耶穌基督的聖名 阿們
[00:00:21.920 --> 00:00:24.400]  大姐姐妹早安
[00:00:26.000 --> 00:00:30.200]  今天我們繼續中堂 憐於你的系列
[00:00:30.200 --> 00:00:32.200]  講憐於家人
[00:00:32.200 --> 00:00:35.000]  兩星期前Ada師母跟我們說了什麼
[00:00:35.000 --> 00:00:37.800]  回家 大家都很記得
[00:00:37.800 --> 00:00:41.000]  今天我的講題是家 所
[00:00:41.000 --> 00:00:44.600]  想問大家一個很基本的問題
[00:00:44.600 --> 00:00:46.600]  家是什麼
[00:00:46.600 --> 00:00:49.800]  你的腦海馬上出現了什麼呢
[00:00:52.800 --> 00:00:55.800]  家這個字原來是甲骨文裡
[00:00:55.800 --> 00:00:59.000]  由房屋和豬組成的
[00:00:59.000 --> 00:01:03.000]  所以我們常常叫家人做豬仔豬女
[00:01:03.000 --> 00:01:04.000]  是不是
[00:01:04.000 --> 00:01:06.400]  不是 原來以前的房屋
[00:01:06.400 --> 00:01:08.400]  樓下那層是養豬的
[00:01:08.400 --> 00:01:12.400]  所以家其實是有屋頂
[00:01:12.400 --> 00:01:15.400]  有遮陰 可以避風雨
[00:01:15.400 --> 00:01:18.400]  還有東西吃 有飽足的意思
[00:01:18.400 --> 00:01:22.000]  疫情期間大家有沒有發現
[00:01:22.000 --> 00:01:24.000]  家是不用戴口罩的
[00:01:24.000 --> 00:01:26.000]  家是可以實體相見的
[00:01:26.000 --> 00:01:28.000]  我們常常說
[00:01:28.000 --> 00:01:30.000]  我們很想快點實體相見
[00:01:30.000 --> 00:01:32.000]  我們的關係可以好一點
[00:01:32.000 --> 00:01:37.000]  但家其實正正就是一個可以實體相見的地方
[00:01:37.000 --> 00:01:39.000]  有多少人在疫情期間
[00:01:39.000 --> 00:01:41.000]  跟家人見多了
[00:01:41.000 --> 00:01:43.000]  可不可以舉手
[00:01:43.000 --> 00:01:45.000]  應該是吧
[00:01:45.000 --> 00:01:48.000]  我們這兩三年裡
[00:01:48.000 --> 00:01:51.000]  我們在家工作 在家上學
[00:01:51.000 --> 00:01:53.000]  在家補習
[00:01:53.000 --> 00:01:55.000]  可以出這張powerpoint
[00:01:55.000 --> 00:01:57.000]  在家上興趣班
[00:01:57.000 --> 00:01:59.000]  甚至在家游泳
[00:01:59.000 --> 00:02:00.000]  在家打乒乓球
[00:02:00.000 --> 00:02:02.000]  在家去街市
[00:02:02.000 --> 00:02:05.000]  在家全部都在家
[00:02:05.000 --> 00:02:08.000]  我真的發覺
[00:02:08.000 --> 00:02:11.000]  從未試過這麼多時間在家
[00:02:11.000 --> 00:02:14.000]  在疫情期間真的很多很多在家
[00:02:14.000 --> 00:02:18.000]  但是我們跟家人的關係是不是好了
[00:02:18.000 --> 00:02:20.000]  又是不是連結了
[00:02:20.000 --> 00:02:22.000]  很悲哀的一件事
[00:02:22.000 --> 00:02:25.000]  根據政府的統計
[00:02:25.000 --> 00:02:29.000]  告訴我們2020年正正是新冠這一年
[00:02:29.000 --> 00:02:31.000]  開始有新冠這一年
[00:02:31.000 --> 00:02:34.000]  結婚和離婚的數字都降低
[00:02:34.000 --> 00:02:39.000]  不過離婚率是八年以來最高的
[00:02:39.000 --> 00:02:42.000]  親子關係也一樣
[00:02:42.000 --> 00:02:43.000]  我們看看
[00:02:43.000 --> 00:02:46.000]  疫情之下有八成的家長
[00:02:46.000 --> 00:02:47.000]  下一張
[00:02:47.000 --> 00:02:52.000]  在世界各地的離婚率都一樣升高
[00:02:52.000 --> 00:02:54.000]  我們看看親子關係
[00:02:54.000 --> 00:02:57.000]  有近半的親子關係是惡化的
[00:02:57.000 --> 00:02:58.000]  下一張
[00:02:58.000 --> 00:03:00.000]  專家表示
[00:03:00.000 --> 00:03:05.000]  疫情是將人性裡面醜惡的一面顯露了出來
[00:03:05.000 --> 00:03:09.000]  有人說疫情是家人關係的檢測劑
[00:03:09.000 --> 00:03:11.000]  不知道你跟家人的關係
[00:03:11.000 --> 00:03:15.000]  檢測出來是陰性還是陽性呢
[00:03:15.000 --> 00:03:19.000]  究竟我們在疫情之下或者當中
[00:03:19.000 --> 00:03:21.000]  應該怎樣去連於家人呢
[00:03:21.000 --> 00:03:24.000]  今天我們會繼續說路德記
[00:03:24.000 --> 00:03:29.000]  這個路德記的家庭是很艱難的
[00:03:29.000 --> 00:03:31.000]  大家記不記得
[00:03:31.000 --> 00:03:35.000]  他們一家四口出了去移民去摩亞地
[00:03:35.000 --> 00:03:36.000]  死了多少個
[00:03:36.000 --> 00:03:37.000]  三個
[00:03:37.000 --> 00:03:39.000]  剩下那奧米一個
[00:03:39.000 --> 00:03:42.000]  其實都有點像我們香港的情況
[00:03:42.000 --> 00:03:43.000]  面對饑荒
[00:03:43.000 --> 00:03:44.000]  我們沒有
[00:03:44.000 --> 00:03:46.000]  一個面對經濟的困難
[00:03:46.000 --> 00:03:49.000]  面對新冠和移民帶來的生離死別
[00:03:49.000 --> 00:03:51.000]  面對時代的艱難
[00:03:51.000 --> 00:03:53.000]  當時是時思時代
[00:03:53.000 --> 00:03:57.000]  時思記那時是武王
[00:03:57.000 --> 00:03:59.000]  道德和信仰都很混亂
[00:03:59.000 --> 00:04:02.000]  今天我們就看第四章
[00:04:02.000 --> 00:04:03.000]  看看路德記的故事
[00:04:03.000 --> 00:04:06.000]  怎樣幫我們去連於家人
[00:04:06.000 --> 00:04:09.000]  首先我們會重溫一下頭三章
[00:04:09.000 --> 00:04:12.000]  第一章就說到息婦
[00:04:12.000 --> 00:04:14.000]  那奧米的息婦路德
[00:04:14.000 --> 00:04:17.000]  她決意跟隨那奧米
[00:04:17.000 --> 00:04:20.000]  回到她的家鄉伯利恆
