
[00:00:00.000 --> 00:00:03.200]  我們聽神的話之前一起祈禱吧
[00:00:03.200 --> 00:00:08.800]  慈愛信實的恩主 我們多謝你
[00:00:08.800 --> 00:00:15.500]  我們需要你說話的引導、督責、安慰、勉勵
[00:00:15.500 --> 00:00:19.400]  因為我們生命裡還有很多軟弱不足
[00:00:19.400 --> 00:00:22.800]  求你使用今天早上
[00:00:22.800 --> 00:00:26.600]  讓你自己的話語自由的來宣講
[00:00:27.300 --> 00:00:31.300]  讓我們的心都被聖靈感動、紮心
[00:00:31.300 --> 00:00:34.000]  以致我們願意去回應你的呼召
[00:00:34.000 --> 00:00:36.000]  多謝讚美你
[00:00:36.000 --> 00:00:38.600]  我們將以下時間恭敬交上
[00:00:38.600 --> 00:00:42.100]  祈禱交託仰望去奉主耶穌名字而求
[00:00:42.100 --> 00:00:43.100]  阿們
[00:00:43.100 --> 00:00:46.100]  丁姊妹
[00:00:46.100 --> 00:00:51.200]  聖經裡描述過很多神蹟奇事的發生
[00:00:51.200 --> 00:00:55.500]  有一些可能會超出了人類科學
[00:00:55.500 --> 00:00:58.500]  或者我們常識能夠理解的層面
[00:00:58.500 --> 00:01:01.100]  但是有一些普通到
[00:01:01.100 --> 00:01:03.800]  是我們日常生活之間發生的事情
[00:01:03.800 --> 00:01:06.100]  就以舊約為例
[00:01:06.100 --> 00:01:09.900]  神曾經以洪水來審判大地
[00:01:09.900 --> 00:01:14.700]  羅亞一家做了一隻很巨大的方舟來保命
[00:01:14.700 --> 00:01:19.500]  以色列民逃避埃及的追趕之下
[00:01:19.500 --> 00:01:23.600]  神就用分開洪海來拯救以色列民
[00:01:24.600 --> 00:01:27.300]  神又曾經令到白天停留
[00:01:27.300 --> 00:01:29.500]  月亮只住一整天
[00:01:29.500 --> 00:01:33.300]  讓耶穌可以戰勝阿摩利人
[00:01:33.300 --> 00:01:38.100]  以色列民在曠野行足四十年
[00:01:38.100 --> 00:01:40.700]  但是神就保守他們
[00:01:40.700 --> 00:01:43.700]  穿的衣服和鞋都沒有穿破
[00:01:43.700 --> 00:01:48.200]  又每天賜馬拿給他們做食物的供應
[00:01:48.200 --> 00:01:50.400]  丁姊妹
[00:01:51.200 --> 00:01:55.000]  你相信聖經中的每一件神蹟騎士嗎?
[00:01:55.000 --> 00:01:57.700]  如果你相信的話
[00:01:57.700 --> 00:01:59.700]  你的理據是什麼呢?
[00:01:59.700 --> 00:02:02.500]  如果你不相信的話
[00:02:02.500 --> 00:02:05.300]  卡住令你不相信的理由
[00:02:05.300 --> 00:02:06.500]  又是什麼呢?
[00:02:06.500 --> 00:02:09.800]  今天很想和大家分享
[00:02:09.800 --> 00:02:12.500]  文素記十三至十四章的經文
[00:02:12.500 --> 00:02:16.300]  我們今天只會看部分節錄的經文
[00:02:16.300 --> 00:02:19.300]  當中也有一些是信的
[00:02:19.500 --> 00:02:21.200]  有一些不信的人物
[00:02:21.200 --> 00:02:25.600]  我們就看看裡面會不會有我們的寫照
[00:02:25.600 --> 00:02:28.100]  我們先一起讀出
[00:02:28.100 --> 00:02:31.600]  文素記十三章的部分經文
[00:02:31.600 --> 00:02:33.400]  準備起
[00:02:33.400 --> 00:02:36.400]  耶和華曉遇摩西說
[00:02:36.400 --> 00:02:42.000]  「你打發人去窺探我所賜給以色列人的迦南地
[00:02:42.000 --> 00:02:45.700]  他們每支派中要打發一個人
[00:02:45.700 --> 00:02:47.700]  都要作首令的」
[00:02:48.200 --> 00:02:50.900]  摩西就照耶和華的吩咐
[00:02:50.900 --> 00:02:54.400]  從巴蘭的曠野打發他們去
[00:02:54.400 --> 00:02:57.800]  他們都是以色列人的族長
[00:02:57.800 --> 00:03:00.400]  他們到了以實角谷
[00:03:00.400 --> 00:03:04.000]  從那裡撞了葡萄樹的一支
[00:03:04.000 --> 00:03:06.600]  上頭有一掛葡萄
[00:03:06.600 --> 00:03:09.000]  兩個人用共抬著
[00:03:09.000 --> 00:03:12.700]  又帶了些石榴和無花果來
[00:03:12.700 --> 00:03:14.600]  過了四十天
[00:03:14.600 --> 00:03:17.500]  他們窺探那地才回來
[00:03:18.000 --> 00:03:19.600]  又告訴摩西說
[00:03:19.600 --> 00:03:23.600]  「我們到了你所打發我們去的那地
[00:03:23.600 --> 00:03:26.500]  果然是流奶與蜜之地
[00:03:26.500 --> 00:03:29.200]  這就是那地的果子
[00:03:29.200 --> 00:03:32.600]  然而住那地的民強壯
[00:03:32.600 --> 00:03:35.200]  誠邑也堅固寬大
[00:03:35.200 --> 00:03:39.800]  並且我們在那裡看見了阿納族的人
[00:03:39.800 --> 00:03:42.800]  阿瑪力人住在藍地
[00:03:42.800 --> 00:03:47.900]  赫人 耶布斯人 阿摩尼人住在山地
[00:03:48.400 --> 00:03:50.300]  迦南人住在海邊
[00:03:50.300 --> 00:03:52.000]  並約旦河旁」
[00:03:52.000 --> 00:03:53.100]  謝謝
[00:03:53.100 --> 00:03:54.700]  丙姐妹
[00:03:54.700 --> 00:03:57.800]  客觀的證據能不能夠幫助你
[00:03:57.800 --> 00:04:00.300]  作出一個正確的判斷呢
[00:04:00.300 --> 00:04:03.700]  文數記十三章是說到
[00:04:03.700 --> 00:04:07.200]  以色列民在荷列山領受完律法之後
[00:04:07.200 --> 00:04:09.900]  現在正準備要進入
[00:04:09.900 --> 00:04:12.900]  神賜給他們的應許之地的門口
[00:04:12.900 --> 00:04:16.500]  迦南地對於他們來說
