
[00:00:00.000 --> 00:00:05.000]  各位周六晚堂的弟兄姊妹晚安
[00:00:05.000 --> 00:00:08.000]  踏入2026年了
[00:00:08.000 --> 00:00:10.000]  在新的一年祝大家
[00:00:10.000 --> 00:00:12.000]  靈命進步
[00:00:12.000 --> 00:00:13.000]  心意更新
[00:00:13.000 --> 00:00:15.000]  以及身體健康
[00:00:15.000 --> 00:00:19.000]  今天是新的年度
[00:00:19.000 --> 00:00:22.000]  第一堂崇拜
[00:00:22.000 --> 00:00:24.000]  周六晚堂
[00:00:24.000 --> 00:00:26.000]  我選了一卷書
[00:00:26.000 --> 00:00:28.000]  大家猜到是哪一卷嗎?
[00:00:28.000 --> 00:00:31.000]  如果大家留意周刊
[00:00:31.000 --> 00:00:32.000]  就是《雅歌書》
[00:00:32.000 --> 00:00:35.000]  《雅歌書》
[00:00:35.000 --> 00:00:40.000]  我自己印象比較少人在崇拜裡面說
[00:00:40.000 --> 00:00:44.000]  偶爾在婚禮裡
[00:00:44.000 --> 00:00:46.000]  可能會聽到
[00:00:46.000 --> 00:00:52.000]  所以都很盼望能夠在接下來的時間
[00:00:52.000 --> 00:00:55.000]  跟大家分享整卷的《雅歌書》
[00:00:55.000 --> 00:00:59.000]  不過這不是教會的色影系列
[00:00:59.000 --> 00:01:01.000]  是我個人的選擇
[00:01:01.000 --> 00:01:04.000]  為什麼會選《雅歌書》呢?
[00:01:04.000 --> 00:01:06.000]  大家給你的印象
[00:01:06.000 --> 00:01:08.000]  《雅歌書》是在說什麼呢?
[00:01:08.000 --> 00:01:12.000]  是在說談情說愛
[00:01:12.000 --> 00:01:14.000]  談談情說說愛
[00:01:14.000 --> 00:01:18.000]  希望可以增加我們的溫暖度
[00:01:18.000 --> 00:01:20.000]  不過不要誤會
[00:01:20.000 --> 00:01:24.000]  這裡不僅是說地上男女之間的愛情
[00:01:24.000 --> 00:01:30.000]  更加是在說天上的上帝對我們的愛
[00:01:30.000 --> 00:01:35.000]  《雅歌書》可以分開不同的段落
[00:01:35.000 --> 00:01:40.000]  有些懂得經的學者有不同的分段
[00:01:40.000 --> 00:01:43.000]  我會將它分成六個大段落
[00:01:43.000 --> 00:01:46.000]  主要是說愛情的渴望
[00:01:46.000 --> 00:01:47.000]  沉覓
[00:01:47.000 --> 00:01:48.000]  親密
[00:01:48.000 --> 00:01:50.000]  和毀身
[00:01:50.000 --> 00:01:55.000]  我將它分成六個階段
[00:01:55.000 --> 00:01:57.000]  包括什麼呢?
[00:01:57.000 --> 00:02:00.000]  第一段是愛慕之歌
[00:02:00.000 --> 00:02:04.000]  就是今天跟大家思想的第一章二節
[00:02:04.000 --> 00:02:06.000]  到二章七節
[00:02:06.000 --> 00:02:12.000]  主要是說男女主角彼此的傾慕和相戀
[00:02:12.000 --> 00:02:18.000]  或者女主角如何表達對良人的愛慕和讚美
[00:02:18.000 --> 00:02:23.000]  描述愛情的吸引和甜美
[00:02:23.000 --> 00:02:26.000]  第二段是沉覓之歌
[00:02:26.000 --> 00:02:29.000]  二章八至三章五節
[00:02:29.000 --> 00:02:32.000]  第三段是緣分之歌
[00:02:32.000 --> 00:02:35.000]  三章六至五章一
[00:02:35.000 --> 00:02:38.000]  第四段是重尋之歌
[00:02:38.000 --> 00:02:42.000]  五章二節到六章三節
[00:02:42.000 --> 00:02:45.000]  第五段是互屬之歌
[00:02:45.000 --> 00:02:46.000]  彼此相屬的意思
[00:02:46.000 --> 00:02:49.000]  六章四節到八章第四節
[00:02:49.000 --> 00:02:53.000]  最後一段是期盼之歌
[00:02:53.000 --> 00:02:57.000]  八章五節到十四節
[00:02:57.000 --> 00:03:05.000]  說到書拉蜜女和良人彼此的愛情堅定和永恆性
[00:03:05.000 --> 00:03:10.000]  也總結了整個《雅歌書》的愛情主題
[00:03:10.000 --> 00:03:12.000]  不過我要提一提
[00:03:12.000 --> 00:03:14.000]  當我們要讀這本書的時候
[00:03:14.000 --> 00:03:19.000]  其實有不同的向度去思考
[00:03:19.000 --> 00:03:24.000]  當然第一個向度是男女兩性的角度
[00:03:24.000 --> 00:03:28.000]  來看男女的愛的關係
[00:03:28.000 --> 00:03:31.000]  不過猶太人
[00:03:31.000 --> 00:03:34.000]  我們知道在舊約聖經裡
[00:03:34.000 --> 00:03:36.000]  他們有分五卷
[00:03:36.000 --> 00:03:39.000]  五卷包括有路德記
[00:03:39.000 --> 00:03:42.000]  有《雅歌書》
[00:03:42.000 --> 00:03:44.000]  有《耶利米哀歌》
[00:03:44.000 --> 00:03:48.000]  還有《以色帖記》
[00:03:48.000 --> 00:03:49.000]  還有《傳道書》
[00:03:49.000 --> 00:03:57.000]  這五卷是分別在猶太人不同的節期中中讀
[00:03:57.000 --> 00:03:59.000]  路德記就在五旬節
[00:03:59.000 --> 00:04:02.000]  五旬節或者叫做修國節
[00:04:02.000 --> 00:04:06.000]  然後《雅歌書》就在哪個節期唱呢?
[00:04:06.000 --> 00:04:08.000]  大家猜得到嗎?
[00:04:08.000 --> 00:04:11.000]  是在如魚節
[00:04:11.000 --> 00:04:13.000]  大家記得如魚節說什麼嗎?
[00:04:13.000 --> 00:04:18.000]  離開愛河以色列離開埃及
[00:04:18.000 --> 00:04:20.000]  是在說上帝救贖的愛
[00:04:20.000 --> 00:04:24.000]  所以這裡也是猶太人的傳統
[00:04:24.000 --> 00:04:30.000]  他是在說神對以色列選民的愛
[00:04:30.000 --> 00:04:33.000]  而用基督教的角度
[00:04:33.000 --> 00:04:38.000]  我們就看到這是基督和教會之間的愛
[00:04:38.000 --> 00:04:41.000]  然後當然有第三方面
[00:04:41.000 --> 00:04:44.000]  就是在書中雖然沒有提到神
[00:04:44.000 --> 00:04:48.000]  但有些人就說他是在說上帝對人的愛
[00:04:48.000 --> 00:04:54.000]  我自己會從第一、第二兩個向度去思考
[00:04:54.000 --> 00:04:57.000]  所以一路去重讀經文的時候
[00:04:57.000 --> 00:05:01.000]  你會發現有些時候可能會提一提我們彼此之間
[00:05:01.000 --> 00:05:03.000]  夫婦兩性的關係
[00:05:03.000 --> 00:05:06.000]  如何能夠在裡面學習
[00:05:06.000 --> 00:05:09.000]  但也有更深入的層面
[00:05:09.000 --> 00:05:12.000]  是在說我們和神的關係
[00:05:12.000 --> 00:05:15.000]  所以希望大家能夠在這個過程中
[00:05:15.000 --> 00:05:17.000]  想到哪一個層面
[00:05:17.000 --> 00:05:22.000]  你可以在裡面再一次深入一點思考
[00:05:22.000 --> 00:05:25.000]  《雅歌書》的第一章第一節
[00:05:25.000 --> 00:05:30.000]  提到所羅門的歌是歌中的雅歌
[00:05:30.000 --> 00:05:33.000]  所以傳統的教會都相信
