
[00:00:00.000 --> 00:00:04.120]  很開心能夠來到這裡分享神的話語
[00:00:04.120 --> 00:00:07.100]  我今天講的是關於錢是什麼
[00:00:07.100 --> 00:00:08.900]  我想你跟旁邊的人說一下
[00:00:08.900 --> 00:00:11.320]  如果要你定義錢是什麼
[00:00:11.320 --> 00:00:12.520]  你會怎樣定義呢?
[00:00:12.520 --> 00:00:14.720]  你問問他錢是什麼,看他怎樣回答你
[00:00:14.720 --> 00:00:16.000]  問問旁邊的人
[00:00:16.000 --> 00:00:17.320]  錢是什麼?
[00:00:17.320 --> 00:00:21.320]  錢是什麼?
[00:00:21.320 --> 00:00:26.460]  有沒有答案給我?
[00:00:26.460 --> 00:00:27.560]  錢是什麼?
[00:00:28.560 --> 00:00:30.960]  錢是一個單位
[00:00:30.960 --> 00:00:33.260]  不錯,錢是一個單位
[00:00:33.260 --> 00:00:37.260]  錢是一個法定的貨幣
[00:00:37.260 --> 00:00:38.960]  就是合法的
[00:00:38.960 --> 00:00:40.660]  到底錢是什麼呢?
[00:00:40.660 --> 00:00:43.260]  我想今天跟大家去認識一下
[00:00:43.260 --> 00:00:46.860]  在互聯網的世界有一種錢叫做Bitcoin
[00:00:46.860 --> 00:00:48.360]  可能大家聽過
[00:00:48.360 --> 00:00:50.060]  一個叫虛擬貨幣
[00:00:50.060 --> 00:00:53.360]  虛擬貨幣的好處是什麼呢?
[00:00:53.360 --> 00:00:57.360]  它的好處就是你永遠不知道它去了哪裡
[00:00:57.360 --> 00:01:01.660]  它是一個你可以用來買玩具
[00:01:01.660 --> 00:01:03.460]  不過你知道比特幣用來做什麼嗎?
[00:01:03.460 --> 00:01:05.660]  因為國家不知道它去了哪裡
[00:01:05.660 --> 00:01:07.260]  人們用來買軍火
[00:01:07.260 --> 00:01:09.060]  甚至買毒品
[00:01:09.060 --> 00:01:11.060]  就好像你有張八達通
[00:01:11.060 --> 00:01:12.560]  我不知道你有沒有一張八達通
[00:01:12.560 --> 00:01:15.360]  你爸爸媽媽永遠不知道你那張八達通去了哪裡
[00:01:15.360 --> 00:01:17.260]  這樣好不好?
[00:01:17.260 --> 00:01:18.360]  其實是很好的
[00:01:18.360 --> 00:01:20.860]  它可以查到你每個交易去了哪裡
[00:01:20.860 --> 00:01:24.360]  但是比特幣是不知道每個交易去了哪裡
[00:01:24.360 --> 00:01:26.160]  這個就是一個很特別的貨幣
[00:01:26.160 --> 00:01:29.160]  所以它不是一種法定貨幣
[00:01:29.160 --> 00:01:33.560]  它是一種大家相信它的貨幣
[00:01:33.560 --> 00:01:34.560]  它在十年之前
[00:01:34.560 --> 00:01:35.960]  一個比特幣值不值幾錢?
[00:01:35.960 --> 00:01:39.160]  十年之前大概值三千元
[00:01:39.160 --> 00:01:42.160]  今天拿了一個比特幣值幾錢?
[00:01:42.160 --> 00:01:44.660]  值九十萬
[00:01:44.660 --> 00:01:47.260]  由三千元十年裡面去到九十萬
[00:01:47.260 --> 00:01:49.260]  證明很多人在相信它
[00:01:49.260 --> 00:01:50.260]  很多人願意使用它
[00:01:50.260 --> 00:01:53.260]  因為它有一種特性就是沒有人知道你怎麼用了它
[00:01:53.260 --> 00:01:54.560]  就正如一張八達通
[00:01:54.560 --> 00:01:56.560]  你爸爸媽媽不知道你怎麼用了它
[00:01:56.560 --> 00:01:58.560]  這是很特別的事情
[00:01:58.560 --> 00:02:02.560]  錢是一個很特別的定義
[00:02:02.560 --> 00:02:04.560]  就是大家相信它
[00:02:04.560 --> 00:02:06.560]  大家要相信它
[00:02:06.560 --> 00:02:09.060]  所以基本上今天大部分的錢
[00:02:09.060 --> 00:02:11.260]  都好像剛才說到是法定貨幣
[00:02:11.260 --> 00:02:12.560]  這個不是一個法定的貨幣
[00:02:12.560 --> 00:02:14.560]  這個是大家相信它的貨幣
[00:02:14.560 --> 00:02:16.560]  另一種就是大家平時用的那些
[00:02:16.560 --> 00:02:18.060]  港幣美金那些
[00:02:18.060 --> 00:02:19.560]  這是一種法定的貨幣
[00:02:19.560 --> 00:02:21.560]  這個都是基於一個相信
[00:02:21.560 --> 00:02:22.560]  這個相信很特別
[00:02:22.560 --> 00:02:27.560]  你相信銀行和銀行背後有政府
[00:02:27.560 --> 00:02:29.560]  所以你拿起每一張港幣
[00:02:29.560 --> 00:02:31.560]  都是一句這樣的說話
[00:02:31.560 --> 00:02:32.560]  我把它放大了
[00:02:32.560 --> 00:02:33.560]  那句英文
