
[00:00:00.000 --> 00:00:05.160]  介紹我自己,我是馬山堂的童工美恩
[00:00:05.160 --> 00:00:08.360]  代表馬山堂的童工、頂尖姊妹
[00:00:08.360 --> 00:00:12.520]  向第四子堂的童工及頂尖姊妹問候
[00:00:12.520 --> 00:00:16.640]  在聽到之前,我們再次低頭同心祈禱
[00:00:16.640 --> 00:00:22.760]  多謝主,無論任何境況
[00:00:22.760 --> 00:00:26.200]  主祢都是那位應許常與我們同在的神
[00:00:26.200 --> 00:00:30.640]  多謝祢帶領我們第四子堂的童工及頂尖姊妹
[00:00:30.640 --> 00:00:32.640]  真的靠著祢有這個意象
[00:00:32.640 --> 00:00:37.480]  在前面的日子,去到北區繼續建立神理自己的教會
[00:00:37.480 --> 00:00:39.480]  主祢再次血獻上感恩
[00:00:39.480 --> 00:00:42.920]  主祢也將以下我們聽到、說到的時間交託
[00:00:42.920 --> 00:00:44.920]  無論聽的,無論說的
[00:00:44.920 --> 00:00:47.760]  我們再次被神祢自己寶貴的說話
[00:00:47.760 --> 00:00:50.880]  去更新、改變我們的心思、意念
[00:00:50.880 --> 00:00:54.880]  也讓我們有力量去活出祢自己寶貴的話語
[00:00:54.880 --> 00:00:58.800]  我們祈禱交託,奉主耶穌德性的名字而求
[00:00:58.800 --> 00:01:00.800]  阿們
[00:01:00.800 --> 00:01:03.680]  有一個晚上,有一個瞎了的人
[00:01:03.680 --> 00:01:06.680]  他點了一盞燈在路上走
[00:01:06.680 --> 00:01:09.480]  有人問他,為什麼要這樣做?
[00:01:09.480 --> 00:01:14.640]  這個人說,如果白天我走路的時候
[00:01:14.640 --> 00:01:16.640]  其他人看到我是瞎的
[00:01:16.640 --> 00:01:19.040]  他們就會自然地避開我
[00:01:19.040 --> 00:01:24.040]  但到了晚上,其他人看不到他這個缺陷
[00:01:24.040 --> 00:01:27.320]  所以他說要點著一盞燈走路
[00:01:27.320 --> 00:01:30.440]  其實對這個瞎了的人來說
[00:01:30.440 --> 00:01:35.000]  白天和晚上基本上沒有太大分別
[00:01:35.000 --> 00:01:37.800]  他覺得這個瞎了的人
[00:01:37.800 --> 00:01:40.800]  他絕對有權利
[00:01:40.800 --> 00:01:44.320]  可以認為其他人應該主動避開他
[00:01:44.320 --> 00:01:46.120]  應該是理所當然的
[00:01:46.120 --> 00:01:47.600]  因為我是瞎的
[00:01:47.600 --> 00:01:50.000]  其他人應該這樣避開他
[00:01:50.000 --> 00:01:52.000]  不需要負責任
[00:01:52.000 --> 00:01:54.000]  因為他天生失明
[00:01:54.000 --> 00:01:56.320]  其他人應該體諒他
[00:01:56.320 --> 00:01:59.880]  其實這個故事中,這個瞎了的人
[00:01:59.880 --> 00:02:02.680]  他自我認知的能力很強
[00:02:02.680 --> 00:02:05.560]  其實是因為他謙卑自己
[00:02:05.560 --> 00:02:08.360]  他很接受自己的缺陷
[00:02:08.360 --> 00:02:12.480]  亦體會其他人在晚上
[00:02:12.480 --> 00:02:14.760]  亦可能有同樣的欠缺
[00:02:14.760 --> 00:02:16.760]  看不到這個人
[00:02:16.760 --> 00:02:20.960]  原來當我們要坦誠地認識自己
[00:02:20.960 --> 00:02:24.560]  原來第一步,我們首先要謙卑下來
[00:02:24.560 --> 00:02:29.080]  謙卑下來,我們才有機會認識自己
[00:02:29.080 --> 00:02:36.280]  正如楊世昌牧師在《照命》一本書中提到
[00:02:36.280 --> 00:02:40.960]  我們的人生就像一幅拼圖
[00:02:40.960 --> 00:02:45.560]  他說每張拼圖的小塊都不是偶然
[00:02:45.560 --> 00:02:47.560]  而是神的安排
[00:02:47.560 --> 00:02:51.200]  當這些拼圖越拼越多的時候
[00:02:51.200 --> 00:02:54.160]  我們就會慢慢看到神的照明
[00:02:54.160 --> 00:02:56.560]  看到神對我們的呼召
[00:02:56.560 --> 00:02:59.160]  如果我們謙卑自己
[00:02:59.160 --> 00:03:03.480]  去認識自己有什麼恩賜或缺陷
[00:03:03.480 --> 00:03:08.160]  我們就可以從容地回應神對我們的呼召
[00:03:08.160 --> 00:03:11.600]  謙卑自己,回顧經歷
[00:03:11.600 --> 00:03:16.640]  自我認識,我們就可以回應神對我們的照明
[00:03:16.640 --> 00:03:18.640]  神對我們的呼召
[00:03:18.640 --> 00:03:22.040]  很多時候我們想起呼召
[00:03:22.040 --> 00:03:25.440]  不知道大家通常會想起什麼人才需要呼召?
