
[00:00:00.000 --> 00:00:02.000]  當聆聽上帝的話的時候
[00:00:02.000 --> 00:00:04.000]  先讓我們低頭
[00:00:04.000 --> 00:00:06.000]  我們有一個禱告
[00:00:06.000 --> 00:00:08.000]  慈悲仁愛的天父
[00:00:08.000 --> 00:00:10.000]  當我們深深相信
[00:00:10.000 --> 00:00:13.000]  我知道我所信是誰的時候
[00:00:13.000 --> 00:00:16.000]  求你在你的話語裡面
[00:00:16.000 --> 00:00:18.000]  真的能夠讓我們看見
[00:00:18.000 --> 00:00:20.000]  一個不落地
[00:00:20.000 --> 00:00:22.000]  落到地的信仰
[00:00:22.000 --> 00:00:24.000]  能夠讓我們真的能夠去享受
[00:00:24.000 --> 00:00:27.000]  和能夠看著前行
[00:00:27.000 --> 00:00:30.000]  並且讓我們看見人生的意義
[00:00:30.000 --> 00:00:34.000]  因為上帝你創造一切都是美好的時候
[00:00:34.000 --> 00:00:36.000]  我們朝著一個這樣的相信
[00:00:36.000 --> 00:00:38.000]  並且這樣前行
[00:00:38.000 --> 00:00:40.000]  我們絕對相信得著那份祝福
[00:00:40.000 --> 00:00:43.000]  求你親自引導孩子說的
[00:00:43.000 --> 00:00:45.000]  和眾弟兄姊妹聽的
[00:00:45.000 --> 00:00:47.000]  得蒙你的保守
[00:00:47.000 --> 00:00:48.000]  傳言的交託
[00:00:48.000 --> 00:00:50.000]  奉主的明治
[00:00:50.000 --> 00:00:51.000]  阿門
[00:00:51.000 --> 00:01:00.000]  (音樂停止)
[00:01:00.000 --> 00:01:02.000]  世界衛星組織說到
[00:01:02.000 --> 00:01:04.000]  影響著我們今時今日的
[00:01:04.000 --> 00:01:06.000]  我相信大家都會同意
[00:01:06.000 --> 00:01:08.000]  他說是三個議題
[00:01:08.000 --> 00:01:10.000]  是一個氣候的變化
[00:01:10.000 --> 00:01:12.000]  絕對相信
[00:01:12.000 --> 00:01:14.000]  有水的地方現在沒有水
[00:01:14.000 --> 00:01:17.000]  要水的地方就沒有
[00:01:17.000 --> 00:01:19.000]  不要的就多過頭
[00:01:19.000 --> 00:01:21.000]  還有就是整個的逆轉
[00:01:21.000 --> 00:01:23.000]  我們都沒有辦法去改變
[00:01:23.000 --> 00:01:25.000]  還有就是社會的不公平
[00:01:25.000 --> 00:01:28.000]  我們看見的是比比皆是
[00:01:28.000 --> 00:01:32.000]  我們也都不能夠全然的將它挪開
