
[00:00:00.000 --> 00:00:04.200]  今日經文是《加泰說》五章二至十五節
[00:00:04.200 --> 00:00:06.600]  有三章投影片
[00:00:06.600 --> 00:00:08.600]  我請弟兄讀第一章
[00:00:08.600 --> 00:00:10.600]  第二章就姊妹讀第三章
[00:00:10.600 --> 00:00:11.600]  我們一起讀
[00:00:11.600 --> 00:00:13.000]  我們請弟兄
[00:00:13.000 --> 00:00:14.000]  1、2、3
[00:00:14.000 --> 00:00:16.800]  我保羅告訴你們
[00:00:16.800 --> 00:00:19.000]  你們若受割禮
[00:00:19.000 --> 00:00:22.000]  基督就對你們無益了
[00:00:22.000 --> 00:00:26.800]  我再指著凡受割禮的人確實地說
[00:00:26.800 --> 00:00:30.400]  他有義務進行全部的律法
[00:00:30.400 --> 00:00:36.000]  你們者要靠律法清義的事與基督隔絕
[00:00:36.000 --> 00:00:38.600]  從恩典中墜落了
[00:00:38.600 --> 00:00:40.000]  至於我們
[00:00:40.000 --> 00:00:42.200]  我們是靠著聖靈
[00:00:42.200 --> 00:00:43.800]  憑著信心
[00:00:43.800 --> 00:00:46.600]  等候所盼望的兒
[00:00:46.600 --> 00:00:49.200]  因為在基督耶穌裡
[00:00:49.200 --> 00:00:53.600]  受割禮不受割禮都沒有功效
[00:00:53.600 --> 00:00:58.800]  唯獨使人發出仁愛的信心才有功效
[00:00:58.800 --> 00:00:59.600]  請姊妹讀
[00:00:59.600 --> 00:01:00.600]  1、2、3
[00:01:00.600 --> 00:01:03.200]  你們向來跑得好
[00:01:03.200 --> 00:01:05.400]  誰攔阻了你們
[00:01:05.400 --> 00:01:08.400]  使你們不順從真理呢
[00:01:08.400 --> 00:01:13.000]  這樣的勸導不是出於那召你們的
[00:01:13.000 --> 00:01:17.600]  一點面教能使全團都發起來
[00:01:17.600 --> 00:01:23.000]  我再主裡深信你們必不懷別樣的心
[00:01:23.000 --> 00:01:25.200]  但騷擾你們的
[00:01:25.200 --> 00:01:29.400]  無論是誰必須承受懲罰
[00:01:29.400 --> 00:01:30.400]  弟兄們
[00:01:30.400 --> 00:01:33.400]  我若營救全割禮
[00:01:33.400 --> 00:01:36.200]  為什麼還受迫害呢
[00:01:36.200 --> 00:01:38.000]  若是這樣
[00:01:38.000 --> 00:01:42.600]  十字架叛道人的地方就沒有了
[00:01:42.600 --> 00:01:48.200]  恨不得那騷擾你們的人把自己閹割了
[00:01:48.200 --> 00:01:49.000]  最後我們一起
[00:01:49.000 --> 00:01:50.000]  1、2、3
[00:01:50.000 --> 00:01:51.000]  弟兄們
[00:01:51.000 --> 00:01:53.000]  我若營救你們
[00:01:53.000 --> 00:01:56.000]  蒙召是要得自由
[00:01:56.000 --> 00:02:02.000]  只是不可把借自由當作放縱情慾的機會
[00:02:02.000 --> 00:02:05.400]  總要用愛心互相服侍
[00:02:05.400 --> 00:02:13.000]  因為全部律法都包括在愛倫如己這一句話之內了
[00:02:13.000 --> 00:02:15.000]  你們要謹慎
[00:02:15.000 --> 00:02:18.000]  你們若相咬相吞
[00:02:18.000 --> 00:02:21.000]  就彼此消滅了
[00:02:21.000 --> 00:02:23.000]  早前有八號風球
[00:02:23.000 --> 00:02:27.000]  我聽見很多弟兄姐妹或打工仔都會覺得
[00:02:27.000 --> 00:02:29.000]  現在在家工作
[00:02:29.000 --> 00:02:32.000]  八號風球以前可以休息
[00:02:32.000 --> 00:02:35.000]  誰知八號風球都要在家工作
[00:02:35.000 --> 00:02:36.000]  很慘
[00:02:36.000 --> 00:02:37.000]  不知道有沒有人是這樣
[00:02:37.000 --> 00:02:39.000]  有沒有人八號風球在家工作
[00:02:39.000 --> 00:02:40.000]  有
[00:02:40.000 --> 00:02:41.000]  有不少
[00:02:41.000 --> 00:02:43.000]  都是姐妹多
[00:02:43.000 --> 00:02:45.000]  有七成的打工仔
[00:02:45.000 --> 00:02:47.000]  在日本訪問全球不同的打工仔
[00:02:47.000 --> 00:02:49.000]  問他們對在家工作的看法
[00:02:49.000 --> 00:02:52.000]  七成的打工仔覺得在家工作很受不了
[00:02:52.000 --> 00:02:54.000]  因為工時又長了
[00:02:54.000 --> 00:02:56.000]  日夜的分配時間又模糊了
[00:02:56.000 --> 00:02:58.000]  又不知道何時上班何時下班
[00:02:58.000 --> 00:02:59.000]  有些子女在
[00:02:59.000 --> 00:03:01.000]  有時支援又不夠
[00:03:01.000 --> 00:03:04.000]  甚至上風下雨原來都要上班
[00:03:04.000 --> 00:03:07.000]  有時我們以為有些事是自由了
[00:03:07.000 --> 00:03:12.000]  但原來卻最後帶來了一定的捆綁
[00:03:12.000 --> 00:03:14.000]  以為在家工作很好
[00:03:14.000 --> 00:03:15.000]  可以日夜分配
[00:03:15.000 --> 00:03:16.000]  原來不是
[00:03:16.000 --> 00:03:17.000]  很多打工仔
[00:03:17.000 --> 00:03:21.000]  過半數的打工仔覺得不對勁
[00:03:21.000 --> 00:03:23.000]  到底應該怎樣看呢
