
[00:00:00.000 --> 00:00:04.220]  很感謝Anka敬拜隊帶領我們有這麼好的敬拜
[00:00:04.220 --> 00:00:06.220]  我們給一點掌聲給敬拜隊好不好
[00:00:06.220 --> 00:00:08.220]  (掌聲)
[00:00:08.220 --> 00:00:11.020]  全部都是姊妹有沒有留意
[00:00:11.020 --> 00:00:14.020]  明天母親節是不是
[00:00:14.020 --> 00:00:17.020]  所以忍耐一下今晚的講完不是姊妹
[00:00:17.020 --> 00:00:19.020]  (笑)
[00:00:19.020 --> 00:00:25.520]  明天母親節不知道大家預備了禮物沒有
[00:00:25.520 --> 00:00:27.520]  有沒有人是未預備的
[00:00:29.020 --> 00:00:31.020]  未預備的好啊
[00:00:31.020 --> 00:00:33.020]  那你就留意今晚我的建議
[00:00:33.020 --> 00:00:37.020]  預備了的都可以額外多預備一份
[00:00:37.020 --> 00:00:39.020]  可以考慮一下
[00:00:39.020 --> 00:00:42.020]  問一下大家知不知道這是什麼
[00:00:42.020 --> 00:00:51.020]  什麼來的
[00:00:51.020 --> 00:00:53.020]  是啦肉燥飯
[00:00:53.020 --> 00:00:55.020]  有沒有吃過
[00:00:55.020 --> 00:00:58.020]  有沒有人很喜歡吃肉燥飯
[00:00:59.020 --> 00:01:01.020]  都是部分
[00:01:01.020 --> 00:01:04.020]  我都算是喜歡的
[00:01:04.020 --> 00:01:06.020]  肉燥飯
[00:01:06.020 --> 00:01:09.020]  肉燥飯又叫做老肉飯
[00:01:09.020 --> 00:01:10.020]  老肉飯
[00:01:10.020 --> 00:01:13.020]  原來它的典故其實很簡單
[00:01:13.020 --> 00:01:17.020]  就是在台灣以前農業社會的時候
[00:01:17.020 --> 00:01:20.020]  所傳承下來的美食
[00:01:20.020 --> 00:01:22.020]  今天大家要吃就很容易了
[00:01:22.020 --> 00:01:24.020]  周家你都可以吃
[00:01:24.020 --> 00:01:26.020]  在以前的台灣家庭
[00:01:26.020 --> 00:01:28.020]  一般都是比較貧窮
[00:01:28.020 --> 00:01:31.020]  要吃肉真的不是那麼容易
[00:01:31.020 --> 00:01:33.020]  其中一個方式
[00:01:33.020 --> 00:01:37.020]  一般人都能吃到肉的方法就是去秒回
[00:01:37.020 --> 00:01:42.020]  在秒回就很不容易地分到一份的豬肉
[00:01:42.020 --> 00:01:44.020]  然後就可以拿回家
[00:01:44.020 --> 00:01:46.020]  回到家問題來了
[00:01:46.020 --> 00:01:49.020]  一家不知道有多少口
[00:01:49.020 --> 00:01:51.020]  只有一塊小豬肉
[00:01:51.020 --> 00:01:53.020]  怎麼辦
[00:01:55.020 --> 00:01:57.020]  剁碎它
[00:01:57.020 --> 00:01:59.020]  剁碎它沒錯
[00:01:59.020 --> 00:02:01.020]  剁熟它煮熟它
[00:02:01.020 --> 00:02:05.020]  然後再在上面淋一些老汁
[00:02:05.020 --> 00:02:07.020]  再混合白飯
[00:02:07.020 --> 00:02:09.020]  就這樣吃了
[00:02:09.020 --> 00:02:12.020]  這樣就叫做肉燥飯
[00:02:12.020 --> 00:02:19.020]  所以我想很多台灣的小朋友就是這樣長大了
[00:02:19.020 --> 00:02:24.020]  肉燥飯正好代表了媽媽的愛
[00:02:24.020 --> 00:02:26.020]  和媽媽的智慧
[00:02:26.020 --> 00:02:29.020]  肉燥飯當然是誰發明的呢
[00:02:29.020 --> 00:02:30.020]  沒有人知道
[00:02:30.020 --> 00:02:31.020]  我也不知道
[00:02:31.020 --> 00:02:33.020]  我想那個媽媽
[00:02:33.020 --> 00:02:35.020]  她也不是故意要名流青史
[00:02:35.020 --> 00:02:38.020]  所以創作一道菜式
[00:02:38.020 --> 00:02:40.020]  她心裏面想的
[00:02:40.020 --> 00:02:44.020]  只是想她怎樣可以好好地照顧家庭
[00:02:44.020 --> 00:02:47.020]  今天我們也要看一位
[00:02:47.020 --> 00:02:50.020]  冒名卻是偉大的媽媽
[00:02:50.020 --> 00:02:52.020]  聖經沒有記載她的名字
[00:02:52.020 --> 00:02:54.020]  我不知道她叫甚麼名字
[00:02:54.020 --> 00:02:59.020]  正好好像肉燥飯發明的媽媽一樣
[00:02:59.020 --> 00:03:02.020]  聖經裏面這個媽媽是在碎餅裏面
[00:03:02.020 --> 00:03:04.020]  不是碎肉
[00:03:04.020 --> 00:03:06.020]  是碎餅裏面
[00:03:06.020 --> 00:03:09.020]  讓我們見到媽媽的偉大
[00:03:09.020 --> 00:03:11.020]  讓我們一起先一起祈禱吧
[00:03:11.020 --> 00:03:14.020]  親愛的主耶穌
[00:03:14.020 --> 00:03:17.020]  多謝你留下你寶貴的說話
[00:03:17.020 --> 00:03:19.020]  求親愛的聖靈帶領我們進入真理
[00:03:19.020 --> 00:03:22.020]  特別今晚我們要講到地上的媽媽
[00:03:22.020 --> 00:03:23.020]  她的母愛
[00:03:23.020 --> 00:03:24.020]  她的偉大
[00:03:24.020 --> 00:03:26.020]  無論我們在座是不是母親
[00:03:26.020 --> 00:03:28.020]  求主開我們的眼睛
[00:03:28.020 --> 00:03:30.020]  多謝聽我們祈禱
[00:03:30.020 --> 00:03:31.020]  奉主耶穌名求
[00:03:31.020 --> 00:03:32.020]  阿門
[00:03:32.020 --> 00:03:37.020]  我們先看看今晚的經文
[00:03:37.020 --> 00:03:39.020]  看一下程序表
[00:03:39.020 --> 00:03:42.020]  程序表有印出來
[00:03:42.020 --> 00:03:47.020]  我會讀旁述和耶穌的說話
[00:03:47.020 --> 00:03:53.020]  在座的姐妹請讀婦人的說話
[00:03:53.020 --> 00:03:57.020]  如果是弟兄請讀門徒的說話
[00:03:57.020 --> 00:03:59.020]  清楚了嗎
[00:03:59.020 --> 00:04:00.020]  清楚了嗎
[00:04:00.020 --> 00:04:02.020]  旁述和耶穌的說話我讀
[00:04:02.020 --> 00:04:05.020]  弟兄請讀門徒的說話
[00:04:05.020 --> 00:04:07.020]  姐妹請讀婦人的說話
[00:04:07.020 --> 00:04:09.020]  OK 好
[00:04:09.020 --> 00:04:12.020]  《馬太福音》十五章二十一節
[00:04:12.020 --> 00:04:15.020]  耶穌離開那裡
