
[00:00:00.000 --> 00:00:03.000]  在領受神的話與先人一起祈禱
[00:00:03.000 --> 00:00:07.000]  榮耀天父,當我們剛才唱到一生愛你的時候
[00:00:07.000 --> 00:00:10.000]  我們心裡百感交集
[00:00:10.000 --> 00:00:14.000]  一方面已經是我們心裡最誠懇的呼求
[00:00:14.000 --> 00:00:19.000]  我們能夠一生愛你,一生敬拜你,一生榮耀你
[00:00:19.000 --> 00:00:22.000]  但我們沒有想到短短兩年的疫情
[00:00:22.000 --> 00:00:24.000]  和社會的動盪
[00:00:24.000 --> 00:00:27.000]  都讓我們看到我們生命裡的脆弱
[00:00:27.000 --> 00:00:30.000]  我們生命裡的不濟
[00:00:30.000 --> 00:00:33.000]  我們怎樣需要靠著你恢復
[00:00:33.000 --> 00:00:35.000]  正如你恢復大地一樣
[00:00:35.000 --> 00:00:39.000]  神啊,我們仰望你的聖言再一次堅固我們的心
[00:00:39.000 --> 00:00:43.000]  警醒我們,教我們在等候你將臨的日子裡
[00:00:43.000 --> 00:00:45.000]  我們怎樣當預備自己
[00:00:45.000 --> 00:00:48.000]  你知道我們每一個人心底現在的掙扎
[00:00:48.000 --> 00:00:50.000]  我們心裡的盼望
[00:00:50.000 --> 00:00:54.000]  求你成為我們一切的盼望的源頭
[00:00:54.000 --> 00:00:57.000]  我們倒空我們的心,聆聽你的說話
[00:00:57.000 --> 00:01:02.000]  求你使我們壯在,並有力量進行你的說話
[00:01:02.000 --> 00:01:05.000]  祈禱奉主的名,阿們
[00:01:05.000 --> 00:01:08.000]  好,看看這個PowerPoint會不會行動
[00:01:08.000 --> 00:01:11.000]  會不會行動呢?
[00:01:11.000 --> 00:01:16.000]  好像不行
[00:01:16.000 --> 00:01:18.000]  不行
[00:01:19.000 --> 00:01:21.000]  還要給你一張筆
[00:01:21.000 --> 00:01:27.000]  我們有協議了,今天可能有少少障礙
[00:01:27.000 --> 00:01:29.000]  我可能要說PowerPoint頁
[00:01:29.000 --> 00:01:32.000]  麻煩Panel幫我們控制
[00:01:32.000 --> 00:01:38.000]  好,不要緊,第一版都是剛才那版來的
[00:01:38.000 --> 00:01:40.000]  電影節目早晨
[00:01:40.000 --> 00:01:44.000]  雖然近日印度變種病毒入侵全球各國
[00:01:44.000 --> 00:01:46.000]  香港打疫苗針的人數都大增
[00:01:46.000 --> 00:01:48.000]  有多少人打了疫苗呢?
[00:01:48.000 --> 00:01:50.000]  舉手看看
[00:01:50.000 --> 00:01:52.000]  其實不會有獎的
[00:01:52.000 --> 00:01:56.000]  不過都是一個很正面的鼓勵
[00:01:56.000 --> 00:01:58.000]  本土個案受控
[00:01:58.000 --> 00:02:00.000]  市民一般都似乎重拾盼望
[00:02:00.000 --> 00:02:03.000]  加上消費券大部分人都登記了
[00:02:03.000 --> 00:02:05.000]  不要告訴我你還沒登記
[00:02:05.000 --> 00:02:06.000]  誰還沒登記呢?
[00:02:06.000 --> 00:02:08.000]  舉手看看,不要舉了
[00:02:08.000 --> 00:02:10.000]  加上消費券推出之後
[00:02:10.000 --> 00:02:12.000]  整體的氣氛是否回穩了?
[00:02:12.000 --> 00:02:14.000]  你的心裡是否回穩了呢?
[00:02:14.000 --> 00:02:16.000]  如果回穩了,又不要告訴我
[00:02:16.000 --> 00:02:18.000]  因為我接下來的講道
[00:02:18.000 --> 00:02:20.000]  想你自己鑑測一下
[00:02:20.000 --> 00:02:22.000]  你心裡的回穩是靠什麼?
[00:02:22.000 --> 00:02:24.000]  是靠消費券?
[00:02:24.000 --> 00:02:26.000]  是靠打了疫苗?
[00:02:26.000 --> 00:02:28.000]  還是靠什麼呢?
[00:02:28.000 --> 00:02:30.000]  經過這兩年的疫情和社會事件的衝擊
