
[00:00:00.000 --> 00:00:01.400]  亦是一個很好的提醒
[00:00:01.400 --> 00:00:02.600]  今天是甚麼日子?
[00:00:02.600 --> 00:00:04.600]  母親節
[00:00:04.600 --> 00:00:08.120]  祝每位母親節快樂
[00:00:08.120 --> 00:00:10.320]  既然說到母親節
[00:00:10.320 --> 00:00:12.080]  大家可能會覺得有點奇怪
[00:00:12.080 --> 00:00:15.520]  為甚麼母親節會由一個男人上來這裡說呢?
[00:00:15.520 --> 00:00:18.160]  更奇怪的就是
[00:00:18.160 --> 00:00:20.400]  我被安排的港島經文
[00:00:20.400 --> 00:00:23.920]  是一篇更加奇怪的經文
[00:00:23.920 --> 00:00:28.160]  大家看下去就知道了
[00:00:28.440 --> 00:00:31.400]  經文其實跟母親節有甚麼關係呢?
[00:00:31.400 --> 00:00:34.440]  基本上是沒有的
[00:00:34.440 --> 00:00:36.880]  大家先不要太激動
[00:00:36.880 --> 00:00:41.040]  其實好像是可以有的
[00:00:41.040 --> 00:00:48.080]  經文是說一個很渴望成為媽媽的人的故事
[00:00:48.080 --> 00:00:51.760]  其實媽媽不容易做的
[00:00:51.760 --> 00:00:55.840]  又要生又要養又要教
[00:00:55.840 --> 00:00:57.440]  那麼容易嗎?
[00:00:58.080 --> 00:01:00.080]  生不再說了
[00:01:00.080 --> 00:01:02.480]  教養很多時候都是
[00:01:02.480 --> 00:01:04.080]  至少在我家裡
[00:01:04.080 --> 00:01:05.720]  是我老婆比較賣力
[00:01:05.720 --> 00:01:09.640]  所以趁著這個母親節
[00:01:09.640 --> 00:01:12.480]  我特別向每一位母親致敬
[00:01:12.480 --> 00:01:13.560]  請大家鼓掌
[00:01:13.560 --> 00:01:15.280]  為每一位母親鼓掌
[00:01:15.280 --> 00:01:19.480]  也謝謝上帝賜給我們有媽媽
[00:01:19.480 --> 00:01:20.720]  那麼
[00:01:20.720 --> 00:01:21.480]  好
[00:01:21.480 --> 00:01:22.600]  說回經文
[00:01:22.600 --> 00:01:26.360]  這位渴望成為母親的故事
[00:01:26.360 --> 00:01:27.960]  不單是奇特
[00:01:27.960 --> 00:01:29.800]  還要有爭議性
[00:01:29.800 --> 00:01:34.320]  單單是女主角的名字已經很爭議
[00:01:34.320 --> 00:01:35.720]  最初
[00:01:35.720 --> 00:01:38.360]  傳統中文翻譯
[00:01:38.360 --> 00:01:40.160]  和話本是「他媽」
[00:01:40.160 --> 00:01:43.240]  有沒有看到是「他」
[00:01:43.240 --> 00:01:45.120]  明明是女人
[00:01:45.120 --> 00:01:46.560]  有些人就說
[00:01:46.560 --> 00:01:48.800]  為甚麼會寫成這個「他」呢?
[00:01:48.800 --> 00:01:49.600]  然後
[00:01:49.600 --> 00:01:52.600]  現代的近代的中文翻譯
[00:01:52.600 --> 00:01:54.800]  就改成「女蜘蛛」了
[00:01:54.800 --> 00:01:56.160]  然後
[00:01:56.480 --> 00:01:59.040]  另一個問題又出來了
[00:01:59.040 --> 00:02:00.640]  甚麼問題呢?
[00:02:00.640 --> 00:02:04.640]  大家試試在這位女士的名字後面加個「的」字
[00:02:04.640 --> 00:02:06.560]  然後用普通話說
[00:02:06.560 --> 00:02:07.880]  你就很明白了
[00:02:07.880 --> 00:02:09.080]  所以
[00:02:09.080 --> 00:02:12.760]  現代中文譯本就改成「他媽」
[00:02:12.760 --> 00:02:15.880]  不過我就重複
[00:02:15.880 --> 00:02:17.000]  就是
[00:02:17.000 --> 00:02:21.120]  和秀版就是女士的「他媽」
[00:02:21.120 --> 00:02:22.040]  那麼
[00:02:22.040 --> 00:02:22.960]  沒辦法
[00:02:22.960 --> 00:02:24.800]  我們為了名字
[00:02:24.800 --> 00:02:26.240]  後現代社會
[00:02:26.240 --> 00:02:28.120]  甚麼都講政治正確的
[00:02:28.120 --> 00:02:30.120]  好像我最近看一部
[00:02:30.120 --> 00:02:33.280]  在Netflix有一部劇情紀錄片
[00:02:33.280 --> 00:02:34.520]  記住是紀錄片
[00:02:34.520 --> 00:02:35.960]  埃及妖后
[00:02:35.960 --> 00:02:39.040]  一出來
[00:02:39.040 --> 00:02:40.160]  還沒出而已
[00:02:40.160 --> 00:02:41.160]  已經預告
[00:02:41.160 --> 00:02:42.360]  網上很多人
[00:02:42.360 --> 00:02:45.160]  人人化身埃及學者
[00:02:45.160 --> 00:02:49.160]  在爭論埃及妖后究竟是黑人還是白人呢?
[00:02:49.160 --> 00:02:51.760]  不過聽聞
[00:02:51.760 --> 00:02:55.600]  今時今日的現代的一般埃及老百姓
[00:02:55.600 --> 00:02:56.880]  就不太在意
[00:02:56.880 --> 00:02:59.280]  要他們定義自己是甚麼身份
[00:02:59.280 --> 00:03:01.920]  他們多數定義自己是一個穆斯林
[00:03:01.920 --> 00:03:06.400]  又或者是受穆斯林文化影響的現代埃及人
[00:03:06.400 --> 00:03:08.600]  李得利這位古人
[00:03:08.600 --> 00:03:10.320]  是甚麼顏色呢?
[00:03:10.320 --> 00:03:13.160]  說回「他媽」
[00:03:13.160 --> 00:03:15.360]  名字已經是小事了
[00:03:15.360 --> 00:03:19.560]  經文記載這個故事爭議性更大
[00:03:19.560 --> 00:03:21.400]  為甚麼呢?
[00:03:21.400 --> 00:03:23.240]  很多時候我們看聖經的時候
[00:03:23.240 --> 00:03:26.040]  都會發覺一些故事很爭議性
[00:03:26.040 --> 00:03:28.920]  為甚麼仍然存在呢?
[00:03:28.920 --> 00:03:30.800]  我相信
[00:03:30.800 --> 00:03:32.800]  我也希望你這樣相信
